investissements,2019,2020,2021,2022,feuille
Tunis,413,1580,1068,1743,Feuil1
Ariana,3375,6013,6050,4405,Feuil1
Ben Arous,8246,7105,4719,24434,Feuil1
Nabeul,51690,36324,52908,49644,Feuil1
Zaghouan,51458,9563,41250,18410,Feuil1
Bizerte,41091,30908,43199,31977,Feuil1
Mannouba,27700,13215,4318,18902,Feuil1
Béjà,31205,11495,33232,22292,Feuil1
Jendouba,19337,19284,30999,33180,Feuil1
Kef,13888,14660,13289,24071,Feuil1
Siliana,33690,13568,15829,23625,Feuil1
Kairouan,43540,53857,37463,36670,Feuil1
Kasserine,53288,32019,45004,45243,Feuil1
Sidi Bouzid,50206,43963,42849,29288,Feuil1
Sousse,13384,11169,9440,13280,Feuil1
Monastir,31568,13397,16895,18987,Feuil1
Mahdia,54597,16860,24417,55177,Feuil1
Sfax,35772,46045,58741,82133,Feuil1
Gafsa,37082,28067,25588,17686,Feuil1
Tozeur,7010,7812,7406,5919,Feuil1
Kébili,11221,16254,8183,7780,Feuil1
Gabès,27917,43056,25214,41515,Feuil1
Médenine,24338,18255,16778,22505,Feuil1
Tatouine,8050,11836,12085,7287,Feuil1
