nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
34,3013991.0,تطاوين,تطاوين الشما لية,الفلاحي,SQL Results
16,585468.0,توزر,نفطة,الفلاحي,SQL Results
16,3213951.0,نابل,بني خلاد,الفلاحي,SQL Results
46,3115938.0,مدنين,مدنين الجنوبية,الفلاحي,SQL Results
26,3092833.0,سيدي بوزيد,سوق الجديد,الفلاحي,SQL Results
84,8389244.0,مدنين,بن قردان,الفلاحي,SQL Results
4,288000.0,المهدية,الجم,الخدمات,SQL Results
10,909445.0,صفاقس,الغريبة,الفلاحي,SQL Results
41,12158291.0,باجة,تستور,الفلاحي,SQL Results
25,3068906.0,قبلي,قبلي الجنوبية,الفلاحي,SQL Results
48,21750537.0,صفاقس,صفاقس المدينة,الصيد البحري,SQL Results
43,4069140.0,قابس,قابس الجنوبية,الفلاحي,SQL Results
45,3843576.0,الكاف,الكاف الشرقية,الفلاحي,SQL Results
22,1806165.0,قفصة,قفصة الجنوبية,الفلاحي,SQL Results
18,1368716.0,القيروان,سيدي عمر بوحجلة,الخدمات,SQL Results
30,4106433.0,مدنين,جرجيس,الفلاحي,SQL Results
10,682103.0,بنزرت,غار الملح,تربية الأحياء المائية,SQL Results
36,2510635.0,مدنين,سيدي مخلوف,الفلاحي,SQL Results
26,4135768.0,بنزرت,غار الملح,الفلاحي,SQL Results
27,3901573.0,القصرين,تا لة,الفلاحي,SQL Results
64,6473820.0,القصرين,ماجل با لعباس,الفلاحي,SQL Results
10,7982000.0,المهدية,سيدي علوان,التحويل الأولي,SQL Results
6,2334544.0,قابس,مطماطة,الفلاحي,SQL Results
5,454000.0,المنستير,المكنين,الخدمات,SQL Results
15,1785219.0,مدنين,جرجيس,الصيد البحري,SQL Results
39,6068821.0,صفاقس,الصخيرة,الفلاحي,SQL Results
21,3926791.0,نابل,بني خيار,الفلاحي,SQL Results
38,4488349.0,باجة,باجة الجنوبية,الفلاحي,SQL Results
18,4788274.0,باجة,باجة الشما لية,الفلاحي,SQL Results
19,2785800.0,تطاوين,بني مهيرة,الفلاحي,SQL Results
9,884000.0,المهدية,قصور الساف,الخدمات,SQL Results
40,3334190.0,الكاف,السرس,الفلاحي,SQL Results
11,873050.0,الكاف,الطويرف,الفلاحي,SQL Results
4,79200.0,المنستير,صيادة لمطة بوحجر,الصيد البحري,SQL Results
21,3004437.0,بنزرت,جومين,الفلاحي,SQL Results
7,479616.0,القيروان,العلا,الخدمات,SQL Results
5,775497.0,صفاقس,العامرة,الفلاحي,SQL Results
7,1443509.0,سليانة,مكثر,الخدمات,SQL Results
14,2130093.0,سليانة,بوعرادة,الفلاحي,SQL Results
18,7121998.0,نابل,سليمان,الفلاحي,SQL Results
19,5784538.0,بنزرت,العا لية,الفلاحي,SQL Results
12,1133132.0,أريانة,قلعة الأندلس,الفلاحي,SQL Results
3,216724.0,صفاقس,بئر علي بن خليفة,الخدمات,SQL Results
3,319000.0,المنستير,طبلبة,التحويل الأولي,SQL Results
6,803000.0,المهدية,الجم,الفلاحي,SQL Results
21,3325038.0,قفصة,المتلوي,الفلاحي,SQL Results
6,528213.0,سيدي بوزيد,الرقاب,الخدمات,SQL Results
12,6664339.0,صفاقس,ساقية الزيت,الفلاحي,SQL Results
1,270000.0,المهدية,بو مرداس,التحويل الأولي,SQL Results
10,1158433.0,سليانة,سليانة الجنوبية,الفلاحي,SQL Results
4,200500.0,المنستير,زرمدين,الفلاحي,SQL Results
2,186227.0,بنزرت,تينجة,الفلاحي,SQL Results
6,357198.0,قبلي,دوز الجنوبية,الفلاحي,SQL Results
1,135215.0,مدنين,مدنين الجنوبية,الصيد البحري,SQL Results
2,134951.0,تــونس,تونس المدينة,الخدمات,SQL Results
4,503247.0,باجة,باجة الجنوبية,الخدمات,SQL Results
3,95000.0,سيدي بوزيد,منزل بوزيان,الخدمات,SQL Results
10,557593.0,نابل,دار شعبان الفهري,الفلاحي,SQL Results
6,689032.0,سليانة,كسرى,الفلاحي,SQL Results
2,256185.0,نابل,بني خيار,الخدمات,SQL Results
2,365704.0,صفاقس,منزل شاكر,تربية الأحياء المائية,SQL Results
3,320000.0,تطاوين,البئر الأحمر,الفلاحي,SQL Results
1,90111.0,أريانة,التضامن,الخدمات,SQL Results
2,208950.0,بن عروس,فوشانة,الخدمات,SQL Results
4,549095.0,توزر,نفطة,الخدمات,SQL Results
2,501703.0,زغوان,الفحص,التحويل الأولي,SQL Results
4,327468.0,باجة,تيبار,الخدمات,SQL Results
1,67000.0,صفاقس,طينة,الفلاحي,SQL Results
2,121500.0,المنستير,طبلبة,الفلاحي,SQL Results
2,7750000.0,زغوان,صواف,التحويل الأولي,SQL Results
3,1942000.0,المهدية,شربان,التحويل الأولي,SQL Results
1,100000.0,المهدية,بو مرداس,الخدمات,SQL Results
1,31335.0,قبلي,رجيم معتوق,الخدمات,SQL Results
1,115000.0,المنستير,قصر هلال,الخدمات,SQL Results
3,246525.0,القصرين,القصرين الشما لية,الفلاحي,SQL Results
1,200935.0,مدنين,ميدون,الخدمات,SQL Results
1,87150.0,نابل,تاكلسة,الخدمات,SQL Results
1,67000.0,بن عروس,المروج,الخدمات,SQL Results
1,200000.0,توزر,حزوة,التحويل الأولي,SQL Results
17,8353983.0,منــوبة,طبربة,الفلاحي,SQL Results
24,1640607.0,القيروان,الوسلاتية,الفلاحي,SQL Results
136,16900979.0,القصرين,سبيطلة,الفلاحي,SQL Results
42,6741833.0,سيدي بوزيد,سيدي علي بن عون,الفلاحي,SQL Results
44,7511680.0,سيدي بوزيد,سبا لة أولاد عسكر,الفلاحي,SQL Results
24,6447798.0,الكاف,الدهماني,الفلاحي,SQL Results
7,784149.0,نابل,بني خيار,الصيد البحري,SQL Results
60,5209273.0,قفصة,أم  العرائس,الفلاحي,SQL Results
14,4902485.0,بنزرت,منزل جميل,الفلاحي,SQL Results
3,284619.0,قبلي,قبلي الشما لية,التحويل الأولي,SQL Results
3,161250.0,بن عروس,مرناق,الخدمات,SQL Results
33,6183325.0,سيدي بوزيد,المزونة,الفلاحي,SQL Results
7,742407.0,نابل,الحمامات,الفلاحي,SQL Results
15,1464000.0,المهدية,السواسي,الخدمات,SQL Results
19,7600000.0,المهدية,المهدية,الصيد البحري,SQL Results
20,2415625.0,صفاقس,صفاقس الجنوبية,الفلاحي,SQL Results
