annee,mois,nombre_doperation_dinvestissement_declaree,nombre_doperation_dinvestissement_approuvee,valeur_dinvestissement_declare_en_million_dinars,valeur_dinvestissement_approuve_en_million_dinars,nombre_des_prets_fonciers,valeur_de_pret_foncier_en_million_dinars,valeur_des_subventions_dinvestissement_en_million_dinars,valeur_dinvestissement_etranger_declare_en_million_dinars,valeur_dinvestissement_etranger_approuve_en_million_dinars,valeur_dautofinancement_en_million_dinars,valeur_des_prets_en_million_dinars,nombre_demploi_cree,feuille
2021,Mars,2134,753,407.676,87.29,9,1.499,29.712,4.101,0.0,43.017,14.56,741,Feuil1
2021,Avril,2690,1045,521.116,115.098,9,1.499,38.454,4.101,0.0,52.589,24.054,997,Feuil1
2021,Mai,3117,1322,607.759,166.167,16,1.743,51.143,4.101,0.0,84.141,30.891,1349,Feuil1
2021,Juin,3585,1576,704.223,210.206,27,4.441,67.1,4.101,0.0,102.248,40.858,1752,Feuil1
2021,Juillet,3938,1738,805.198,252.529,27,4.441,75.721,5.556,4.32,126.502,50.306,1979,Feuil1
2021,Aout,4448,1949,896.575,272.279,36,5.518,82.826,6.446,5.215,135.73,53.723,2156,Feuil1
2021,Septembre,5044,2258,1007.336,316.646,36,5.518,96.436,,5.215,158.761,61.449,2469,Feuil1
2021,Octobre,5565,2471,1090.008,380.857,51,8.034,112.969,6.528,17.58,198.459,69.43,2887,Feuil1
2021,Novembre,6211,2800,1200.82,415.267,51,8.034,125.704,6.528,17.58,214.29,75.273,3212,Feuil1
2021,Decembre,6664,3499,1308.583,576.921,67,10.768,162.482,6.615,20.552,303.087,111.352,4288,Feuil1
2022,Mars,1658,767,312.727,130.666,7,0.971,35.787,3.914,0.0,72.906,21.974,684,Feuil1
2022,Avril,2284,869,427.757,137.896,11,1.659,37.791,4.007,0.0,75.204,24.9,847,Feuil1
2022,Mai,2791,1279,536.361,233.157,11,1.659,61.565,5.772,0.0,119.821,51.772,1297,Feuil1
2022,Juin,2872,1629,547.141,292.786,26,4.283,79.722,6.226,1.955,144.669,68.395,1644,Feuil1
2022,Juillet,3630,1851,714.398,365.503,34,5.648,96.147,8.006,1.955,199.923,69.433,2056,Feuil1
2022,Aout,4155,2014,807.005,383.215,34,5.648,103.177,8.085,1.955,,83.015,2142,Feuil1
2022,Septembre,4758,2292,955.815,411.891,38,6.263,113.065,6.283,4.533,209.768,89.057,2379,Feuil1
2022,Octobre,5343,2559,1060.587,481.398,41,6.492,127.672,8.752,4.533,250.781,102.945,2674,Feuil1
2022,Novembre,5946,2967,1218.552,544.172,41,6.492,146.239,8.752,4.613,282.076,115.856,3153,Feuil1
2022,Decembre,6534,3394,1319.564,640.706,58,9.44,168.16,6.615,4.613,342.416,130.13,3552,Feuil1
2023,Mars,1651,692,379.388,123.637,5,0.824,34.009,0.907,0.0,69.333,20.295,703,Feuil1
2023,Avril,2058,891,490.291,149.507,9,1.458,42.158,1.073,0.0,81.368,25.981,946,Feuil1
2023,Mai,2595,1116,604.653,173.864,19,3.127,50.812,1.073,0.0,84.92,38.132,1166,Feuil1
2023,Juin,2997,1411,685.234,229.491,26,4.359,68.747,1.381,0.266,63.155,34.94,1483,Feuil1
2023,Juillet,3344,1556,772.8,275.773,26,4.359,77.95,1.381,0.334,145.269,52.554,1639,Feuil1
2023,Aout,3875,1696,873.595,286.027,26,4.359,82.508,1.381,0.334,146.046,57.473,1794,Feuil1
2023,Septembre,4407,1983,983.877,314.857,26,4.359,92.236,1.381,6.914,157.347,65.274,2069,Feuil1
2023,Octobre,4985,2230,1104.109,350.305,30,4.694,103.328,2.97,12.543,174.228,72.749,2270,Feuil1
