nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
8,766246,قفصة,قفصة الجنوبية,الفلاحي,SQL Results
19,20188907,صفاقس,صفاقس المدينة,الصيد البحري,SQL Results
12,3880860,نابل,بني خيار,الفلاحي,SQL Results
8,1168600,قفصة,المتلوي,الفلاحي,SQL Results
7,467244,بنزرت,جومين,الفلاحي,SQL Results
3,293390,صفاقس,الغريبة,الفلاحي,SQL Results
27,3624546,مدنين,بن قردان,الفلاحي,SQL Results
13,1507349,مدنين,جرجيس,الفلاحي,SQL Results
7,543476,القيروان,سيدي عمر بوحجلة,الخدمات,SQL Results
7,1814323,نابل,سليمان,الفلاحي,SQL Results
2,150000,المهدية,قصور الساف,الخدمات,SQL Results
6,4867284,مدنين,جرجيس,الصيد البحري,SQL Results
8,1205271,سليانة,سليانة الجنوبية,الفلاحي,SQL Results
19,1614788,القصرين,ماجل با لعباس,الفلاحي,SQL Results
9,2068554,باجة,تستور,الفلاحي,SQL Results
1,6300535,مدنين,سيدي مخلوف,تربية الأحياء المائية,SQL Results
12,3273288,صفاقس,الصخيرة,الفلاحي,SQL Results
13,1124761,الكاف,السرس,الفلاحي,SQL Results
3,233244,صفاقس,بئر علي بن خليفة,الخدمات,SQL Results
6,452738,بنزرت,غار الملح,تربية الأحياء المائية,SQL Results
14,1125439,مدنين,مدنين الجنوبية,الفلاحي,SQL Results
1,420000,المنستير,زرمدين,الفلاحي,SQL Results
3,2338505,سليانة,كسرى,الفلاحي,SQL Results
3,165000,المهدية,الجم,الفلاحي,SQL Results
7,615650,باجة,باجة الجنوبية,الفلاحي,SQL Results
3,210750,باجة,باجة الشما لية,الفلاحي,SQL Results
14,1687686,قابس,قابس الجنوبية,الفلاحي,SQL Results
6,493766,سيدي بوزيد,سوق الجديد,الفلاحي,SQL Results
1,1068000,الكاف,القصور,التحويل الأولي,SQL Results
3,340000,بنزرت,العا لية,الفلاحي,SQL Results
6,585358,سليانة,بوعرادة,الفلاحي,SQL Results
5,2401283,نابل,بني خلاد,الفلاحي,SQL Results
15,920464,قبلي,قبلي الجنوبية,الفلاحي,SQL Results
5,354763,القصرين,تا لة,الفلاحي,SQL Results
2,107800,سيدي بوزيد,الهيشرية,الخدمات,SQL Results
3,692025,نابل,دار شعبان الفهري,الفلاحي,SQL Results
4,198942,سيدي بوزيد,الرقاب,الخدمات,SQL Results
1,9000,المهدية,بو مرداس,الخدمات,SQL Results
