col_inconnue,nbr_declaration,investissement_decalre,mois,secteur_activite,nature_investissement,feuille
13,3,1229500,أفريل,تربية الأحياء المائية,إحداث,SQL Results
14,6,120250,أفريل,الصيد البحري,تجديد,SQL Results
10,279,50754318,أفريل,الفلاحي,توسعة,SQL Results
39,3,285515,أفريل,التحويل الأولي,توسعة,SQL Results
64,3,4219000,أفريل,تربية الأحياء المائية,توسعة,SQL Results
22,26,5372894,أفريل,الخدمات,توسعة,SQL Results
32,82,9061535,أفريل,الخدمات,إحداث,SQL Results
16,5,448165,أفريل,الفلاحي,تجديد,SQL Results
4,258,52171454,أفريل,الفلاحي,إحداث,SQL Results
6,9,305148,أفريل,الصيد البحري,توسعة,SQL Results
57,1,270000,أفريل,تربية الأحياء المائية,تجديد,SQL Results
56,4,6001000,أفريل,التحويل الأولي,إحداث,SQL Results
8,6,3932500,أفريل,الصيد البحري,إحداث,SQL Results
28,9,3396993,جانفي,التحويل الأولي,إحداث,SQL Results
29,3,786077,جانفي,تربية الأحياء المائية,توسعة,SQL Results
23,80,7818373,جانفي,الخدمات,إحداث,SQL Results
47,13,3525662,جانفي,الفلاحي,تجديد,SQL Results
49,1,51395,جانفي,الصيد البحري,إعادة تهيئة,SQL Results
36,4,1693835,جانفي,التحويل الأولي,توسعة,SQL Results
48,1,597500,جانفي,تربية الأحياء المائية,إحداث,SQL Results
30,1,1152000,جانفي,التحويل الأولي,تجديد,SQL Results
55,22,1427779,جانفي,الصيد البحري,توسعة,SQL Results
65,1,66000,جانفي,الخدمات,تجديد,SQL Results
2,240,34181456,جانفي,الفلاحي,توسعة,SQL Results
68,2,89950,جانفي,تربية الأحياء المائية,تجديد,SQL Results
66,6,2451200,جانفي,الصيد البحري,إحداث,SQL Results
20,29,3009242,جانفي,الخدمات,توسعة,SQL Results
9,5,907800,جانفي,الصيد البحري,تجديد,SQL Results
1,249,47494260,جانفي,الفلاحي,إحداث,SQL Results
11,4,417124,فيفري,تربية الأحياء المائية,توسعة,SQL Results
38,4,307123,فيفري,الصيد البحري,تجديد,SQL Results
51,255,28354354,فيفري,الفلاحي,توسعة,SQL Results
44,5,905760,فيفري,التحويل الأولي,توسعة,SQL Results
5,82,7298554,فيفري,الخدمات,إحداث,SQL Results
42,21,1295470,فيفري,الصيد البحري,توسعة,SQL Results
12,248,43391467,فيفري,الفلاحي,إحداث,SQL Results
15,1,28785,فيفري,الصيد البحري,إعادة تهيئة,SQL Results
31,1,47278,فيفري,الخدمات,تجديد,SQL Results
17,8,257296,فيفري,الفلاحي,تجديد,SQL Results
53,11,6728453,فيفري,الصيد البحري,إحداث,SQL Results
21,7,5571866,فيفري,التحويل الأولي,إحداث,SQL Results
62,26,2849461,فيفري,الخدمات,توسعة,SQL Results
67,2,815009,مارس,تربية الأحياء المائية,توسعة,SQL Results
58,1,950000,مارس,التحويل الأولي,تجديد,SQL Results
60,242,37514756,مارس,الفلاحي,توسعة,SQL Results
50,6,4575017,مارس,التحويل الأولي,توسعة,SQL Results
33,260,44503036,مارس,الفلاحي,إحداث,SQL Results
35,5,602856,مارس,الفلاحي,تجديد,SQL Results
63,19,2647328,مارس,الخدمات,توسعة,SQL Results
25,1,20559,مارس,تربية الأحياء المائية,تجديد,SQL Results
26,12,1082641,مارس,الصيد البحري,توسعة,SQL Results
37,1,220000,مارس,تربية الأحياء المائية,إحداث,SQL Results
45,4,71286,مارس,الصيد البحري,تجديد,SQL Results
46,103,13154965,مارس,الخدمات,إحداث,SQL Results
41,4,1158930,مارس,الصيد البحري,إحداث,SQL Results
40,12,9185260,مارس,التحويل الأولي,إحداث,SQL Results
59,5,16285603,ماي,التحويل الأولي,إحداث,SQL Results
61,55,7026173,ماي,الخدمات,إحداث,SQL Results
19,1,90000,ماي,تربية الأحياء المائية,إحداث,SQL Results
24,4,93872,ماي,الصيد البحري,توسعة,SQL Results
18,7,6838098,ماي,الصيد البحري,إحداث,SQL Results
3,201,38658768,ماي,الفلاحي,إحداث,SQL Results
7,12,884707,ماي,الخدمات,توسعة,SQL Results
52,170,20518549,ماي,الفلاحي,توسعة,SQL Results
54,8,941508,ماي,الفلاحي,تجديد,SQL Results
43,5,110978,ماي,الصيد البحري,تجديد,SQL Results
27,1,71810,ماي,تربية الأحياء المائية,توسعة,SQL Results
34,9,1720313,ماي,التحويل الأولي,توسعة,SQL Results
