inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2252060,23,21,1,قفصة,SQL Results
892116,7,12,3,تطاوين,SQL Results
3937916,44,46,5,سيدي بوزيد,SQL Results
4402885,17,127,4,زغوان,SQL Results
3988828,48,190,5,الكاف,SQL Results
1261563,20,0,6,زغوان,SQL Results
2175688,34,28,8,نابل,SQL Results
3678979,82,92,4,الكاف,SQL Results
7177562,55,46,9,نابل,SQL Results
8099782,73,82,12,نابل,SQL Results
369962,6,6,7,قبلي,SQL Results
2119821,18,36,7,صفاقس,SQL Results
10054000,5,52,8,المنستير,SQL Results
951189,19,9,8,بنزرت,SQL Results
1997511,18,21,9,قابس,SQL Results
2964090,32,30,2,قفصة,SQL Results
1151025,10,5,2,القصرين,SQL Results
4054200,38,50,1,المهدية,SQL Results
5128951,9,10,1,قابس,SQL Results
1781336,23,21,1,صفاقس,SQL Results
4000045,87,60,11,القصرين,SQL Results
3542840,29,35,10,قفصة,SQL Results
7634500,13,18,12,المنستير,SQL Results
1744000,20,7,10,سليانة,SQL Results
508295,5,0,9,قبلي,SQL Results
5035071,26,31,10,صفاقس,SQL Results
2288000,19,37,12,سليانة,SQL Results
4414181,19,32,10,قابس,SQL Results
410767,5,7,11,أريانة,SQL Results
1881107,14,13,9,بن عروس,SQL Results
408814,6,13,9,تــونس,SQL Results
5943166,24,28,10,بنزرت,SQL Results
352220,9,9,5,تطاوين,SQL Results
1482502,23,29,8,صفاقس,SQL Results
318500,6,7,12,سوسة,SQL Results
566571,13,24,11,الكاف,SQL Results
2338082,7,11,10,منــوبة,SQL Results
762183,9,11,6,توزر,SQL Results
1314482,9,9,6,قابس,SQL Results
118800,2,6,6,تــونس,SQL Results
292392,3,3,3,أريانة,SQL Results
37172,2,0,1,قبلي,SQL Results
2603083,26,14,2,صفاقس,SQL Results
4928600,35,87,6,نابل,SQL Results
1633000,20,22,6,القيروان,SQL Results
5316927,34,144,6,سيدي بوزيد,SQL Results
5081641,54,41,4,سيدي بوزيد,SQL Results
6080167,71,82,4,القصرين,SQL Results
5380802,18,9,4,المنستير,SQL Results
2122789,18,21,6,قفصة,SQL Results
1072992,15,11,7,قابس,SQL Results
5548000,10,27,5,سوسة,SQL Results
395613,8,2,12,أريانة,SQL Results
1358026,5,3,6,منــوبة,SQL Results
3880102,19,39,4,منــوبة,SQL Results
1222353,17,12,4,توزر,SQL Results
3280000,47,8,4,القيروان,SQL Results
2157000,23,39,5,المنستير,SQL Results
2334623,21,10,7,منــوبة,SQL Results
4238575,93,99,1,القصرين,SQL Results
1136377,19,18,3,قابس,SQL Results
658953,8,11,1,نابل,SQL Results
4034100,24,57,3,المهدية,SQL Results
539000,9,6,7,سليانة,SQL Results
