inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2799672,22,36,1,بنزرت,SQL Results
2672852,43,40,1,باجة,SQL Results
1782226,2,11,1,منــوبة,SQL Results
594422,9,0,1,زغوان,SQL Results
41000,1,1,1,سوسة,SQL Results
200000,1,5,1,توزر,SQL Results
581767,18,4,1,جندوبة,SQL Results
2524000,26,33,1,القيروان,SQL Results
3015446,33,47,1,نابل,SQL Results
6732208,141,103,1,القصرين,SQL Results
1645269,15,26,1,تطاوين,SQL Results
4034000,44,14,1,سليانة,SQL Results
1618579,17,35,1,مدنين,SQL Results
724428,5,5,1,تــونس,SQL Results
235734,3,0,1,بن عروس,SQL Results
2446709,34,16,1,الكاف,SQL Results
406240,8,9,1,أريانة,SQL Results
8903000,26,50,1,المهدية,SQL Results
3002000,9,10,1,المنستير,SQL Results
766849,9,8,1,قبلي,SQL Results
1540831,11,17,1,قفصة,SQL Results
2004387,25,17,1,صفاقس,SQL Results
4058227,17,46,1,قابس,SQL Results
7227003,65,100,1,سيدي بوزيد,SQL Results
684340,7,3,2,سوسة,SQL Results
4868771,44,44,2,صفاقس,SQL Results
2215419,19,33,2,قبلي,SQL Results
1693724,34,21,2,الكاف,SQL Results
2499804,19,33,2,باجة,SQL Results
6209870,72,67,2,نابل,SQL Results
1696496,17,17,2,منــوبة,SQL Results
287903,5,0,2,تــونس,SQL Results
4670517,33,45,2,سيدي بوزيد,SQL Results
547408,6,7,2,أريانة,SQL Results
1835392,22,16,2,جندوبة,SQL Results
2562576,26,39,2,بنزرت,SQL Results
2989875,19,73,2,بن عروس,SQL Results
5471229,24,59,2,المهدية,SQL Results
1101215,18,19,2,تطاوين,SQL Results
18118664,13,4,2,زغوان,SQL Results
110793,2,4,2,توزر,SQL Results
1723000,31,7,2,سليانة,SQL Results
1393620,15,15,2,قابس,SQL Results
2693872,21,26,2,مدنين,SQL Results
14738000,14,56,2,المنستير,SQL Results
2095000,19,256,2,القيروان,SQL Results
1449022,20,27,2,قفصة,SQL Results
861368,14,21,2,القصرين,SQL Results
4330685,80,69,3,القصرين,SQL Results
475271,8,13,3,تطاوين,SQL Results
4826849,36,45,3,سيدي بوزيد,SQL Results
503534,8,6,3,تــونس,SQL Results
13195634,14,223,3,قابس,SQL Results
2480100,28,25,3,المهدية,SQL Results
35859224,11,31,3,باجة,SQL Results
4557364,47,29,3,الكاف,SQL Results
2277433,12,18,3,منــوبة,SQL Results
2092585,25,68,3,القيروان,SQL Results
6389761,34,116,3,صفاقس,SQL Results
4457825,9,41,3,بن عروس,SQL Results
6738872,11,4,3,زغوان,SQL Results
6031040,16,60,3,المنستير,SQL Results
18495303,21,68,3,نابل,SQL Results
1344884,21,2,3,جندوبة,SQL Results
1229549,13,31,3,بنزرت,SQL Results
2626507,23,43,3,مدنين,SQL Results
236500,4,4,3,سوسة,SQL Results
2006867,21,27,3,قفصة,SQL Results
751499,9,9,3,توزر,SQL Results
1324776,12,12,3,سليانة,SQL Results
530616,10,6,3,قبلي,SQL Results
952347,5,111,3,أريانة,SQL Results
3017822,14,83,4,بن عروس,SQL Results
1107862,14,18,4,باجة,SQL Results
2403974,20,11,4,تــونس,SQL Results
7356061,37,48,4,بنزرت,SQL Results
7213351,48,57,4,صفاقس,SQL Results
2132000,21,24,4,المهدية,SQL Results
1228225,19,20,4,مدنين,SQL Results
960031,9,15,4,أريانة,SQL Results
4181559,83,90,4,القصرين,SQL Results
258300,4,2,4,سوسة,SQL Results
3574039,25,58,4,قفصة,SQL Results
1895200,27,166,4,القيروان,SQL Results
4600600,22,56,4,المنستير,SQL Results
5182541,9,11,4,توزر,SQL Results
2846000,38,18,4,سليانة,SQL Results
4304052,74,59,4,نابل,SQL Results
2870370,27,5,4,جندوبة,SQL Results
1360053,18,0,4,زغوان,SQL Results
2503522,19,17,4,قابس,SQL Results
1218842,44,20,4,الكاف,SQL Results
1758853,21,31,4,تطاوين,SQL Results
4243511,53,55,4,سيدي بوزيد,SQL Results
18319680,15,23,4,منــوبة,SQL Results
258776,4,4,4,قبلي,SQL Results
572603,8,4,5,قبلي,SQL Results
1035008,10,16,5,مدنين,SQL Results
2484860,15,23,5,القصرين,SQL Results
9240457,13,2,5,زغوان,SQL Results
1175025,11,20,5,توزر,SQL Results
264698,6,0,5,جندوبة,SQL Results
2534831,9,78,5,بن عروس,SQL Results
1300000,21,9,5,سليانة,SQL Results
2832005,26,35,5,قفصة,SQL Results
781735,6,10,5,منــوبة,SQL Results
715478,7,12,5,تطاوين,SQL Results
3479420,19,46,5,نابل,SQL Results
5851673,39,40,5,سيدي بوزيد,SQL Results
2582500,24,53,5,المهدية,SQL Results
6612352,32,154,5,القيروان,SQL Results
1067980,18,21,5,تــونس,SQL Results
1927992,45,27,5,باجة,SQL Results
7656049,34,32,5,صفاقس,SQL Results
1310984,17,34,5,بنزرت,SQL Results
2780000,6,11,5,سوسة,SQL Results
1187700,18,22,5,المنستير,SQL Results
3230210,16,25,5,قابس,SQL Results
1132383,22,18,5,الكاف,SQL Results
100224,3,6,5,أريانة,SQL Results
3407693,12,36,6,باجة,SQL Results
390000,8,4,6,سوسة,SQL Results
