المستوى,الاختصاص,نوع_التكوين,عدد_المحاور,مدة_التكوين,عدد_الساعات,شروط_الانتداب,الملاحظات,feuille
شهادة مهارة,مربي أبقار,تكوين أساسي,13.0,لا تقل عن ستة أشهر,708.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل في التحويل التقليدي للحليب,تكوين أساسي,11.0,لا تقل عن ستة أشهر,648.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,مربي أرانب,تكوين أساسي,12.0,لا تقل عن ستة أشهر,668.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في مفقس,تكوين أساسي,10.0,لا تقل عن ستة أشهر,658.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,مربي دجاج بيض,تكوين أساسي,12.0,لا تقل عن ستة أشهر,598.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,مربي دجاج اللحم,تكوين أساسي,12.0,لا تقل عن ستة أشهر,598.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,مربي النحل,تكوين أساسي,13.0,لا تقل عن ستة أشهر,688.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في تربية الأغنام والماعز,تكوين أساسي,11.0,لا تقل عن ستة أشهر,598.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في تربية الإبل,تكوين أساسي,11.0,لا تقل عن ستة أشهر,594.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في تربية الحلزون,تكوين أساسي,11.0,لا تقل عن ستة أشهر,608.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,سائق جرار ومستعمل للآلية الفلاحية,تكوين أساسي,9.0,لا تقل عن ستة أشهر,668.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في صيانة بستان أشجار المثمرة,تكوين أساسي,10.0,لا تقل عن ستة أشهر,658.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في إنتاج الشتلات النباتية,تكوين أساسي,12.0,لا تقل عن ستة أشهر,658.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,زبار /مطعم أشجار مثمرة,تكوين أساسي,10.0,لا تقل عن ستة أشهر,628.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في زراعة الخضروات المحمية,تكوين أساسي,11.0,لا تقل عن ستة أشهر,668.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في زراعة الخضروات الحقلية,تكوين أساسي,11.0,لا تقل عن ستة أشهر,668.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في إنتاج الحبوب والأعلاف,تكوين أساسي,10.0,لا تقل عن ستة أشهر,608.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل في إنتاج الفطريات,تكوين أساسي,12.0,لا تقل عن ستة أشهر,708.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في إنتاج الزهور,تكوين أساسي,15.0,لا تقل عن ستة أشهر,658.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في إنتاج نباتات الزينة,تكوين أساسي,12.0,لا تقل عن ستة أشهر,718.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,عامل ماهر في إنتاج وصيانة العشب,تكوين أساسي,10.0,لا تقل عن ستة أشهر,668.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة مهارة,جنان,تكوين أساسي,10.0,لا تقل عن ستة أشهر,643.0,دون السنة التاسعة وإلى حدود السنة السادسة إبتدائي منهاة,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في زراعة نباتات الزينة وتهيئة المناطق الخضراء,تكوين أساسي,26.0,سنتان,1660.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في زراعة وإنتاج الأشجار المثمرة,تكوين أساسي,21.0,سنتان,2005.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في الزراعات الواحاتية,تكوين أساسي,20.0,سنتان,1600.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في زراعة الخضروات,تكوين أساسي,25.0,سنتان,1615.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في تهيئة المناطق السقوية,تكوين أساسي,18.0,سنتان,1765.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في تربية الحيوانات الصغرى,تكوين أساسي,17.0,سنتان,1377.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في تربية البقر,تكوين أساسي,21.0,سنتان,1510.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
شهادة الكفاءة المهنية,عامل فلاحي في الزراعات الكبرى,تكوين أساسي,24.0,سنتان,1765.0,إنهاء السنة التاسعة أساسي,,برامج التكوين
