annee,delegation,centre_collecte,quantite_refroidissement,quantite_collecte,code_geographique,feuille
2014.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2014.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2014.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2014.0,قلعة الأندلس*,3.0,48500.0,19344.462,1254.0,Feuil1
2014.0,سيدي ثابت #,2.0,30500.0,11501.611,1255.0,Feuil1
2014.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2014.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2014.0,المجمـوع,5.0,79000.0,30846.073,,Feuil1
2015.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2015.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2015.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2015.0,قلعة الأندلس*,3.0,48500.0,19498.758,1254.0,Feuil1
2015.0,سيدي ثابت #,2.0,30500.0,9651.064,1255.0,Feuil1
2015.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2015.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2015.0,المجمـوع,5.0,79000.0,29149.822,,Feuil1
2016.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2016.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2016.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2016.0,قلعة الأندلس*,3.0,48500.0,21930.374,1254.0,Feuil1
2016.0,سيدي ثابت #,2.0,30500.0,9900.104,1255.0,Feuil1
2016.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2016.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2016.0,المجمـوع,5.0,79000.0,31830.478,,Feuil1
2017.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2017.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2017.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2017.0,قلعة الأندلس*,3.0,48500.0,21873.552,1254.0,Feuil1
2017.0,سيدي ثابت #,2.0,30500.0,9505.11,1255.0,Feuil1
2017.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2017.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2017.0,المجمـوع,5.0,79000.0,31378.662,,Feuil1
2018.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2018.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2018.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2018.0,قلعة الأندلس*,3.0,48500.0,21871.708,1254.0,Feuil1
2018.0,سيدي ثابت #,2.0,30500.0,9506.954,1255.0,Feuil1
2018.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2018.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2018.0,المجمـوع,5.0,79000.0,31379.0,,Feuil1
2019.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2019.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2019.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2019.0,قلعة الأندلس*,3.0,48500.0,23327.38,1254.0,Feuil1
2019.0,سيدي ثابت #,2.0,30500.0,9531.567,1255.0,Feuil1
2019.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2019.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2019.0,المجمـوع,5.0,79000.0,32859.0,,Feuil1
2020.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2020.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2020.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2020.0,قلعة الأندلس*,3.0,48500.0,21306.168,1254.0,Feuil1
2020.0,سيدي ثابت #,2.0,30500.0,9366.174,1255.0,Feuil1
2020.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2020.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2020.0,المجمـوع,5.0,79000.0,30672.0,,Feuil1
2021.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2021.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2021.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2021.0,قلعة الأندلس*,3.0,48500.0,16596.969,1254.0,Feuil1
2021.0,سيدي ثابت #,2.0,30500.0,7065.417,1255.0,Feuil1
2021.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2021.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2021.0,المجمـوع,5.0,79000.0,23662.0,,Feuil1
2022.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2022.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2022.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2022.0,قلعة الأندلس*,3.0,48500.0,14461.0,1254.0,Feuil1
2022.0,سيدي ثابت #,2.0,30500.0,6565.0,1255.0,Feuil1
2022.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2022.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2022.0,المجمـوع,5.0,79000.0,21026.0,,Feuil1
2023.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2023.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2023.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2023.0,قلعة الأندلس*,4.0,72500.0,15994.1,1254.0,Feuil1
2023.0,سيدي ثابت #,2.0,30500.0,6262.9,1255.0,Feuil1
2023.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2023.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2023.0,المجمـوع,6.0,103000.0,22257.0,,Feuil1
2024.0,أريانة المدينة,0.0,0.0,0.0,1251.0,Feuil1
2024.0,سكرة,0.0,0.0,0.0,1252.0,Feuil1
2024.0,رواد,0.0,0.0,0.0,1253.0,Feuil1
2024.0,قلعة الأندلس*,4.0,61500.0,16788.0,1254.0,Feuil1
2024.0,سيدي ثابت #,2.0,30500.0,5190.0,1255.0,Feuil1
2024.0,حي التضامن,0.0,0.0,0.0,1256.0,Feuil1
2024.0,المنيهلة,0.0,0.0,0.0,1257.0,Feuil1
2024.0,المجمـوع,6.0,92000.0,21978.0,,Feuil1
,,,,,,Feuil1
,,,,,,Feuil1
,,,,,,Feuil1
,,,,,,Feuil1
,,,,,,Feuil1
,,,,,,Feuil1
