annee,delegation,code_geographique,cultures_maraicheres_t,cultures_industrielles_t,arboriculture_t,cerealiculture_t,legumineuses_t,fourrages_t,olives_t,feuille
2014,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2014,سكرة,1252.0,822.0,8.0,3280.0,0.0,0.0,1453.0,49,Feuil1
2014,رواد,1253.0,2610.0,55.0,1098.0,1150.0,17.0,15069.0,174,Feuil1
2014,قلعة الأندلس,1254.0,29263.0,108.0,803.0,14734.0,112.0,98039.0,164,Feuil1
2014,سيدي ثابت,1255.0,7003.0,0.0,16162.0,4700.0,26.0,27203.0,1814,Feuil1
2014,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2014,المنيهلة,1257.0,0.0,0.0,509.0,500.0,7.8,2595.0,284,Feuil1
2014,المجموع,,39698.0,171.0,21852.0,21084.0,162.8,144359.0,2485,Feuil1
2015,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2015,سكرة,1252.0,807.0,5.0,3675.0,0.0,0.0,2146.0,41,Feuil1
2015,رواد,1253.0,2769.0,31.0,732.0,982.0,0.0,20883.0,125,Feuil1
2015,قلعة الأندلس,1254.0,25489.5,6.0,829.0,11923.0,34.4,73663.0,221,Feuil1
2015,سيدي ثابت,1255.0,9749.0,0.0,15540.0,4455.0,73.0,31726.0,1205,Feuil1
2015,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2015,المنيهلة,1257.0,0.0,0.0,380.0,485.0,5.0,2250.0,124,Feuil1
2015,المجموع,,38814.5,42.0,21156.0,17845.0,112.4,130668.0,1716,Feuil1
2016,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2016,سكرة,1252.0,869.0,0.0,2170.0,0.0,0.0,1466.0,87,Feuil1
2016,رواد,1253.0,2559.0,66.0,776.0,850.0,20.0,23052.0,311,Feuil1
2016,قلعة الأندلس,1254.0,23799.66,0.0,788.0,9570.0,52.6,70299.0,526,Feuil1
2016,سيدي ثابت,1255.0,10457.779999999999,0.0,13700.0,1964.0,12.25,27615.0,2925,Feuil1
2016,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2016,المنيهلة,1257.0,0.0,0.0,357.0,400.0,2.5,1085.0,331,Feuil1
2016,المجموع,,37685.44,66.0,17791.0,12784.0,87.35,123517.0,4180,Feuil1
2017,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2017,سكرة,1252.0,747.0,0.0,2183.0,0.0,0.0,840.0,37,Feuil1
2017,رواد,1253.0,3224.0,21.0,956.0,860.0,25.0,22860.4,91,Feuil1
2017,قلعة الأندلس,1254.0,16142.0,0.0,907.0,13000.0,138.0,52073.1,382,Feuil1
2017,سيدي ثابت,1255.0,7635.0,63.0,14382.5,5200.0,56.5,22033.6,976,Feuil1
2017,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2017,المنيهلة,1257.0,0.0,0.0,342.0,340.0,0.0,705.0,117,Feuil1
2017,المجموع,,27748.0,84.0,18770.5,19400.0,219.5,98512.1,1603,Feuil1
2018,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2018,سكرة,1252.0,625.5,0.0,2133.813,0.0,0.0,432.0,63,Feuil1
2018,رواد,1253.0,1132.4,56.0,932.975,1050.0,0.0,16375.0,263,Feuil1
2018,قلعة الأندلس,1254.0,9492.0,67.5,908.4595,14507.0,24.6,45711.5,316,Feuil1
2018,سيدي ثابت,1255.0,7420.0,0.0,14535.185250000002,5280.0,12.0,14966.2,1785,Feuil1
2018,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2018,المنيهلة,1257.0,0.0,0.0,314.601,170.0,8.0,1230.0,318,Feuil1
2018,المجموع,,18669.9,123.5,18825.033750000002,21007.0,44.6,78714.7,2745,Feuil1
2019,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2019,سكرة,1252.0,620.0,0.0,2102.304,0.0,0.0,840.0,56,Feuil1
2019,رواد,1253.0,1165.0,149.2,839.9359999999999,1411.0,10.0,18472.0,194,Feuil1
2019,قلعة الأندلس,1254.0,14413.0,180.8,1192.93,12685.0,3.9,44657.5,274,Feuil1
2019,سيدي ثابت,1255.0,9190.0,33.6,16015.705,5365.0,62.4,16109.0,1343,Feuil1
2019,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2019,المنيهلة,1257.0,0.0,0.0,248.8,89.0,1.3,0.0,193,Feuil1
2019,المجموع,,25388.0,363.6,20399.675,19550.0,77.6,80078.5,2060,Feuil1
2020,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2020,سكرة,1252.0,669.0,0.0,1962.0,0.0,0.0,329.0,62,Feuil1
2020,رواد,1253.0,1685.0,233.5,708.0,1193.0,0.0,12971.4,245,Feuil1
2020,قلعة الأندلس,1254.0,20845.0,100.8,1121.0,10237.0,45.6,54277.6,301,Feuil1
2020,سيدي ثابت,1255.0,9133.0,86.5,15314.0,3470.0,75.0,15754.5,2326,Feuil1
2020,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2020,المنيهلة,1257.0,0.0,0.0,222.0,200.0,1.3,725.0,331,Feuil1
2020,المجموع,,32332.0,420.8,19327.0,15100.0,121.89999999999999,84057.5,3265,Feuil1
2021,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2021,سكرة,1252.0,438.0,0.0,1850.0,0.0,0.0,1441.0,31,Feuil1
2021,رواد,1253.0,1045.0,14.0,500.0,1674.0,2.6,21285.0,86,Feuil1
2021,قلعة الأندلس,1254.0,13048.0,154.4,1083.0,11891.0,33.6,62019.0,234,Feuil1
2021,سيدي ثابت,1255.0,6589.0,127.0,15249.0,4468.0,88.2,12805.0,907,Feuil1
2021,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2021,المنيهلة,1257.0,0.0,0.0,215.0,247.0,0.0,1094.0,119,Feuil1
2021,المجموع,,21120.0,295.4,18897.0,18280.0,124.4,98644.0,1377,Feuil1
2022,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2022,سكرة,1252.0,486.0,0.0,1928.0,0.0,0.0,1490.0,56,Feuil1
2022,رواد,1253.0,1025.0,0.0,743.5,1503.0,0.0,17041.0,183,Feuil1
2022,قلعة الأندلس,1254.0,5902.0,0.0,1420.0,12310.0,20.0,54828.0,288,Feuil1
2022,سيدي ثابت,1255.0,5132.0,78.246,18322.0,4469.5,81.0,11330.4,1975,Feuil1
2022,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2022,المنيهلة,1257.0,0.0,0.0,410.0,217.5,0.0,937.5,218,Feuil1
2022,المجموع,,12545.0,78.246,22823.5,18500.0,101.0,85626.9,2720,Feuil1
2023,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2023,سكرة,1252.0,141.7,0.0,1450.0,0.0,0.0,1116.0,53,Feuil1
2023,رواد,1253.0,1361.8,0.0,556.0,792.5,0.0,6883.25,162,Feuil1
2023,قلعة الأندلس,1254.0,1527.5,0.0,1065.5,9626.3,10.5,32360.6,190,Feuil1
2023,سيدي ثابت,1255.0,3341.75,0.0,12318.0,2106.2,0.0,4919.2,1375,Feuil1
2023,حي التضامن,1256.0,0.0,83.7,0.0,0.0,0.0,0.0,0,Feuil1
2023,المنيهلة,1257.0,0.0,0.0,179.0,75.0,0.0,575.0,195,Feuil1
2023,المجموع,,6372.75,83.7,15568.5,12600.0,10.5,45854.049999999996,1975,Feuil1
2024,أريانة المدينة,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2024,سكرة,1252.0,102.0,0.0,855.0,0.0,0.0,1653.75,50,Feuil1
2024,رواد,1253.0,1698.0,0.0,445.0,653.0,0.0,7457.5,164,Feuil1
2024,قلعة الأندلس,1254.0,1015.0,50.0,640.0,9641.0,28.8,31140.5,269,Feuil1
2024,سيدي ثابت,1255.0,5155.0,24.0,7649.0,4173.5,3.0,6916.0,1548,Feuil1
2024,حي التضامن,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Feuil1
2024,المنيهلة,1257.0,0.0,0.0,138.0,82.5,0.0,325.0,194,Feuil1
2024,المجموع,,7970.0,74.0,9727.0,14550.0,31.8,47492.75,2225,Feuil1
