annee,delegation,terres_agricoles_ha,terres_non_labourables_ha,forets_et_parcours_ha,code_geographique,feuille
2014,أريانة المدينة,0,0,1164,1251.0,Feuil1
2014,سكرة,794,100,50,1252.0,Feuil1
2014,رواد,1900,2100,1433,1253.0,Feuil1
2014,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2014,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2014,حي التضامن,0,0,0,1256.0,Feuil1
2014,المنيهلة,930,251,75,1257.0,Feuil1
2014,المجمـوع,23380,8290,4534,,Feuil1
2015,أريانة المدينة,0,0,1164,1251.0,Feuil1
2015,سكرة,794,100,50,1252.0,Feuil1
2015,رواد,1900,2100,1433,1253.0,Feuil1
2015,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2015,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2015,حي التضامن,0,0,0,1256.0,Feuil1
2015,المنيهلة,930,251,75,1257.0,Feuil1
2015,المجمـوع,23380,8290,4534,,Feuil1
2016,أريانة المدينة,0,0,1164,1251.0,Feuil1
2016,سكرة,794,100,50,1252.0,Feuil1
2016,رواد,1900,2100,1433,1253.0,Feuil1
2016,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2016,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2016,حي التضامن,0,0,0,1256.0,Feuil1
2016,المنيهلة,930,251,75,1257.0,Feuil1
2016,المجمـوع,23380,8290,4534,,Feuil1
2017,أريانة المدينة,0,0,1164,1251.0,Feuil1
2017,سكرة,794,100,50,1252.0,Feuil1
2017,رواد,1900,2100,1433,1253.0,Feuil1
2017,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2017,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2017,حي التضامن,0,0,0,1256.0,Feuil1
2017,المنيهلة,930,251,75,1257.0,Feuil1
2017,المجمـوع,23380,8290,4534,,Feuil1
2018,أريانة المدينة,0,0,1164,1251.0,Feuil1
2018,سكرة,794,100,50,1252.0,Feuil1
2018,رواد,1900,2100,1433,1253.0,Feuil1
2018,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2018,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2018,حي التضامن,0,0,0,1256.0,Feuil1
2018,المنيهلة,930,251,75,1257.0,Feuil1
2018,المجمـوع,23380,8290,4534,,Feuil1
2019,أريانة المدينة,0,0,1164,1251.0,Feuil1
2019,سكرة,794,100,50,1252.0,Feuil1
2019,رواد,1900,2100,1433,1253.0,Feuil1
2019,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2019,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2019,حي التضامن,0,0,0,1256.0,Feuil1
2019,المنيهلة,930,251,75,1257.0,Feuil1
2019,المجمـوع,23380,8290,4534,,Feuil1
2020,أريانة المدينة,0,0,1164,1251.0,Feuil1
2020,سكرة,794,100,50,1252.0,Feuil1
2020,رواد,1900,2100,1433,1253.0,Feuil1
2020,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2020,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2020,حي التضامن,0,0,0,1256.0,Feuil1
2020,المنيهلة,930,251,75,1257.0,Feuil1
2020,المجمـوع,23380,8290,4534,,Feuil1
2021,أريانة المدينة,0,0,1164,1251.0,Feuil1
2021,سكرة,794,100,50,1252.0,Feuil1
2021,رواد,1900,2100,1433,1253.0,Feuil1
2021,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2021,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2021,حي التضامن,0,0,0,1256.0,Feuil1
2021,المنيهلة,930,251,75,1257.0,Feuil1
2021,المجمـوع,23380,8290,4534,,Feuil1
2022,أريانة المدينة,0,0,1164,1251.0,Feuil1
2022,سكرة,794,100,50,1252.0,Feuil1
2022,رواد,1900,2100,1433,1253.0,Feuil1
2022,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2022,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2022,حي التضامن,0,0,0,1256.0,Feuil1
2022,المنيهلة,930,251,75,1257.0,Feuil1
2022,المجمـوع,23380,8290,4534,,Feuil1
2023,أريانة المدينة,0,0,1164,1251.0,Feuil1
2023,سكرة,794,100,50,1252.0,Feuil1
2023,رواد,1900,2100,1433,1253.0,Feuil1
2023,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2023,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2023,حي التضامن,0,0,0,1256.0,Feuil1
2023,المنيهلة,930,251,75,1257.0,Feuil1
2023,المجمـوع,23380,8290,4534,,Feuil1
2024,أريانة المدينة,0,0,1164,1251.0,Feuil1
2024,سكرة,794,100,50,1252.0,Feuil1
2024,رواد,1900,2100,1433,1253.0,Feuil1
2024,قلعة الأندلس,12250,4875,207,1254.0,Feuil1
2024,سيدي ثابت,7506,964,1605,1255.0,Feuil1
2024,حي التضامن,0,0,0,1256.0,Feuil1
2024,المنيهلة,930,251,75,1257.0,Feuil1
2024,المجمـوع,23380,8290,4534,,Feuil1
