annee,delegation,aviculture_1000_unites,cuniculture_unites,apiculture_ruches,bovins_nombre_tete,ovins_nombre_tete,caprins_nombre_tete,camelides_nombre_tete,code_geographique,feuille
2014,أريانة المدينة,0.0,0.0,0.0,,0.0,0.0,0,1251.0,Feuil1
2014,سكرة,0.0,50.0,,4040.3225806451615,359.12118032786884,0.0,0,1252.0,Feuil1
2014,رواد,26.0,100.0,311.1111111111111,3595.8870967741937,2956.8360655737706,355.55555555555554,0,1253.0,Feuil1
2014,قلعة الأندلس,10.275229357798166,150.0,933.3333333333334,10999.77822580645,17458.235344262295,1422.2222222222222,0,1254.0,Feuil1
2014,سيدي ثابت,284.0,200.0,1244.4444444444443,5643.320564516129,10552.14150819672,1244.4444444444443,0,1255.0,Feuil1
2014,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2014,المنيهلة,,0.0,311.1111111111111,770.6915322580645,1467.6659016393442,177.77777777777777,0,1257.0,Feuil1
2014,المجمـوع,320.27522935779814,500.0,2800.0,25050.0,32794.0,3200.0,0,,Feuil1
2015,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2015,سكرة,3.5,40.0,1395.0,1500.0,400.0,0.0,0,1252.0,Feuil1
2015,رواد,0.0,0.0,1518.0,3470.0,1400.0,300.0,0,1253.0,Feuil1
2015,قلعة الأندلس,0.0,0.0,35.0,13000.0,17270.0,800.0,0,1254.0,Feuil1
2015,سيدي ثابت,1513.0,0.0,564.0,5600.0,11000.0,1000.0,0,1255.0,Feuil1
2015,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2015,المنيهلة,0.0,,200.0,1030.0,980.0,50.0,0,1257.0,Feuil1
2015,المجمـوع,1516.5,40.0,3712.0,24600.0,31050.0,2150.0,0,,Feuil1
2016,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2016,سكرة,4.0,0.0,800.0,1840.0,334.0,150.0,0,1252.0,Feuil1
2016,رواد,0.0,0.0,400.0,2450.0,2750.0,150.0,0,1253.0,Feuil1
2016,قلعة الأندلس,0.0,0.0,400.0,13960.0,19387.0,968.0,0,1254.0,Feuil1
2016,سيدي ثابت,1996.0,0.0,1050.0,5290.0,8564.0,661.0,0,1255.0,Feuil1
2016,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2016,المنيهلة,0.0,0.0,150.0,1360.0,1365.0,71.0,0,1257.0,Feuil1
2016,المجمـوع,2000.0,0.0,2800.0,24900.0,32400.0,2000.0,0,,Feuil1
2017,أريانة المدينة,0.0,0.0,0.0,20.0,200.0,0.0,0,1251.0,Feuil1
2017,سكرة,0.0,0.0,1200.0,1900.0,1000.0,200.0,0,1252.0,Feuil1
2017,رواد,0.0,0.0,850.0,2000.0,2000.0,200.0,0,1253.0,Feuil1
2017,قلعة الأندلس,0.0,0.0,700.0,12000.0,15500.0,1080.0,0,1254.0,Feuil1
2017,سيدي ثابت,1613.0,200.0,1592.0,3395.0,10315.0,711.0,0,1255.0,Feuil1
2017,حي التضامن,0.0,0.0,0.0,50.0,85.0,0.0,0,1256.0,Feuil1
2017,المنيهلة,0.0,0.0,150.0,635.0,850.0,59.0,0,1257.0,Feuil1
2017,المجمـوع,1613.0,200.0,4492.0,20000.0,29950.0,2250.0,0,,Feuil1
2018,أريانة المدينة,0.0,0.0,0.0,15.0,0.0,0.0,0,1251.0,Feuil1
2018,سكرة,0.0,0.0,1200.0,1425.0,2250.0,200.0,0,1252.0,Feuil1
2018,رواد,0.0,0.0,850.0,1500.0,4900.0,200.0,0,1253.0,Feuil1
2018,قلعة الأندلس,0.0,0.0,775.0,9000.0,15000.0,1100.0,0,1254.0,Feuil1
2018,سيدي ثابت,2000.0,0.0,1592.0,2545.0,9700.0,700.0,0,1255.0,Feuil1
2018,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2018,المنيهلة,0.0,0.0,150.0,515.0,2650.0,50.0,0,1257.0,Feuil1
2018,المجمـوع,2000.0,0.0,4567.0,15000.0,34500.0,2250.0,0,,Feuil1
2019,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2019,سكرة,0.0,0.0,1200.0,1310.0,818.0,211.0,0,1252.0,Feuil1
2019,رواد,0.0,0.0,850.0,1900.0,4211.0,227.0,0,1253.0,Feuil1
2019,قلعة الأندلس,0.0,0.0,775.0,10066.0,18836.0,758.0,0,1254.0,Feuil1
2019,سيدي ثابت,2000.0,200.0,1592.0,1837.0,11114.0,598.0,0,1255.0,Feuil1
2019,حي التضامن,0.0,0.0,0.0,0.0,0.0,0.0,0,1256.0,Feuil1
2019,المنيهلة,0.0,0.0,150.0,187.0,1837.0,306.0,0,1257.0,Feuil1
2019,المجمـوع,2000.0,200.0,4567.0,15300.0,36816.0,2100.0,0,,Feuil1
2020,أريانة المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0,1251.0,Feuil1
2020,سكرة,0.0,0.0,1200.0,1300.0,760.0,230.0,0,1252.0,Feuil1
2020,رواد,0.0,0.0,850.0,1800.0,3240.0,270.0,0,1253.0,Feuil1
2020,قلعة الأندلس,0.0,0.0,775.0,11451.0,18424.0,904.0,0,1254.0,Feuil1
