annee,delegation,viande_rouge_t,viande_blanche_t,lait_t,laine_t,œufs_milliers,miel_t,code_geographique,feuille
2014,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2014,سكرة,617.2190594059406,0.0,9589.169675090254,0.44186046511627913,0,3.3,1252.0,Feuil1
2014,رواد,441.31683168316835,182.55364806866953,6000.43321299639,3.645348837209302,0,6.6,1253.0,Feuil1
2014,قلعة الأندلس,2102.5,88.75536480686695,27779.992779783395,19.88372093023256,0,3.3,1254.0,Feuil1
2014,سيدي ثابت,883.674504950495,2078.6909871244634,11523.465703971118,12.151162790697676,700,6.6,1255.0,Feuil1
2014,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2014,المنيهلة,160.28960396039602,0.0,2107.148014440433,1.877906976744186,0,2.2,1257.0,Feuil1
2014,المجمـوع,4205.0,2350.0,57000.20938628159,38.0,700,21.999999999999996,,Feuil1
2015,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2015,سكرة,620.0,7.0,9589.169675090254,0.44,0,15.35,1252.0,Feuil1
2015,رواد,440.0,0.0,6000.43321299639,4.0,0,17.0,1253.0,Feuil1
2015,قلعة الأندلس,2153.0,0.0,28180.0,22.0,0,0.0,1254.0,Feuil1
2015,سيدي ثابت,897.0,2743.0,11723.0,12.0,700,6.2,1255.0,Feuil1
2015,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2015,المنيهلة,160.0,0.0,2107.0,2.0,0,2.2,1257.0,Feuil1
2015,المجمـوع,4270.0,2750.0,57599.60288808664,40.44,700,40.75000000000001,,Feuil1
2016,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2016,سكرة,620.0,7.0,4800.0,0.0,0,19.0,1252.0,Feuil1
2016,رواد,440.0,0.0,8400.0,4.0,0,20.0,1253.0,Feuil1
2016,قلعة الأندلس,2180.0,0.0,30100.0,22.0,0,0.0,1254.0,Feuil1
2016,سيدي ثابت,900.0,2823.0,13800.0,12.0,500,8.0,1255.0,Feuil1
2016,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2016,المنيهلة,160.0,0.0,900.0,2.0,0,2.0,1257.0,Feuil1
2016,المجمـوع,4300.0,2830.0,58000.0,40.0,500,49.0,,Feuil1
2017,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2017,سكرة,587.0,0.0,10860.0,0.0,0,19.0,1252.0,Feuil1
2017,رواد,416.0,0.0,6020.0,4.0,0,20.0,1253.0,Feuil1
2017,قلعة الأندلس,2063.0,0.0,25550.0,22.0,0,0.0,1254.0,Feuil1
2017,سيدي ثابت,851.0,1852.0,11270.0,12.0,603,8.0,1255.0,Feuil1
2017,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2017,المنيهلة,151.0,0.0,2300.0,2.0,0,2.0,1257.0,Feuil1
2017,المجمـوع,4068.0,1852.0,56000.0,40.0,603,49.0,,Feuil1
2018,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2018,سكرة,554.0,0.0,9500.0,0.0,0,19.0,1252.0,Feuil1
