nom_fr,nom_ar,date_creation,gestion,delegation,nbre_adherants,capacite_mille_litres,collecte_mensuelle_litres,latitude_utm_m,longitude_utm_m,feuille
Al Izdihar,الإزدهار,1992-04-07,SMSA,Thibar,580,7500,380757,509 097,4 041 324,Centres_de_collecte_de-lait
Il Baraka,البركة,1994-04-01,SMSA,Béja Sud,47,11000,111345,516 252,4 056 138,Centres_de_collecte_de-lait
El Amal - Zahret_medyen,الأمل - زهرة مدين,1994-05-01,SMSA,Amdoun,385,14000,104810,506 890,4 068 261,Centres_de_collecte_de-lait
Ksar hadid,قصر حديد,1996-01-01,Privé,Béja Sud,28,2000,80985,508 306,4 056 787,Centres_de_collecte_de-lait
Zaafrane,زعفران,1996-03-01,Privé,Béja Sud,240,15000,292312,505 630,4 053 615,Centres_de_collecte_de-lait
El Hamrounia,الحمرونية,1996-10-15,Privé,Béja Sud,370,28000,216388,509 548,4 063 331,Centres_de_collecte_de-lait
Khalled,خلاد,1998-04-24,Privé,Teboursouk,196,11000,184575,521 242,4 027 995,Centres_de_collecte_de-lait
El Ouelja,الولجة,1999-04-24,Privé,Béja Sud,230,13000,108984,517 820,4 053 579,Centres_de_collecte_de-lait
El Gouassim,القواسم,2002-03-25,Privé,Béja Sud,800,5000,415595,511 281,4 060 696,Centres_de_collecte_de-lait
Ras Il Wad,رأس الوادي,2002-03-31,Privé,Nefza,84,5000,68338,507 209,4 092 856,Centres_de_collecte_de-lait
Laith,ليث,2002-04-15,SMSA,Béja Sud,320,13000,172052,507 052,4 058 230,Centres_de_collecte_de-lait
El Amal - Ain Sallem,الأمل - عين سلام,2002-09-30,SMSA,Amdoun,200,6000,294866,509 100,4 072 347,Centres_de_collecte_de-lait
Laghoual,الأغوال,2003-03-13,SMSA,Béja Sud,700,6200,422396,520 077,4 052 247,Centres_de_collecte_de-lait
Nour,نور,2003-03-13,SMSA,Béja Sud,135,4000,94035,546 522,4 050 563,Centres_de_collecte_de-lait
Mastouta,مستوتة,2003-04-29,Privé,Béja Sud,60,14500,72008,520 086,4 050 415,Centres_de_collecte_de-lait
Boukhmira,بوخمير,2004-01-13,SMSA,Béja Sud,600,4400,330999,513 668,4 052 315,Centres_de_collecte_de-lait
Ghayadha,غياضة,2004-03-25,Privé,Nefza,73,7000,66697,519 644,4 086 755,Centres_de_collecte_de-lait
Hammem Sayala,حمام سيالة,2004-04-01,SMSA,Béja Sud,63,12500,72422,509 475,4 049 758,Centres_de_collecte_de-lait
SCOLAIT-Km16,سكولي - كلم 16,2004-05-13,SMSA,Béja Nord,135,13500,46422,519 101,4 078 661,Centres_de_collecte_de-lait
SCOLAIT-Teboursouk,سكولي - تبرسق,2004-05-13,SMSA,Teboursouk,564,8900,724858,522 680,4 033 429,Centres_de_collecte_de-lait
SOTUCOLAIT,سوتيكولي,2006-10-18,SMSA,Béja Nord,35,20000,31901,516 882,4 064 974,Centres_de_collecte_de-lait
Al Majd - Al Wadoud,المجد - الودود,2010-07-08,Privé,Amdoun,170,19500,262971,501 056,4 077 598,Centres_de_collecte_de-lait
M'khachbia,المخشبية,2015-11-04,Privé,Béja Sud,600,2000,612179,529 380,4 061 238,Centres_de_collecte_de-lait
Jmila,الجميلة,2016-03-07,Privé,Nefza,450,5000,235424,508 451,4 089 163,Centres_de_collecte_de-lait
Ksar Mezouar,قصر مزوار,2016-05-31,Privé,Béja Nord,600,8000,340123,529 227,4 071 103,Centres_de_collecte_de-lait
El Aman,الأمان,2017-11-27,SMSA,Thibar,300,24000,196421,509 021,4 041 907,Centres_de_collecte_de-lait
