annee,delegation,superficies_a_risque_derosion_ha,superficie_qui_necessite_une_intervention_rapide_ha,superficie_protegee_contre_lerosion_jusquau_fin_2024_ha,taux_damenagement_par_rapport_a_la_superficie_a_risque_derosion,feuille
2024,Nefza,14850,10942,10238,0.6894276094276094,Feuil1
2024,Amdoun,10725,9394,9530,0.8885780885780886,Feuil1
2024,Béja Nord,20900,13357,4272,0.20440191387559808,Feuil1
2024,Béja sud,21057,12964,7387,0.35080970698580044,Feuil1
2024,Thibar,6562,5563,7875,1.2000914355379457,Feuil1
2024,Teboursouk,17442,13713,5910,0.3388372893016856,Feuil1
2024,Testour,28443,17250,7458,0.26220862778187953,Feuil1
2024,Medjez,23021,14500,10835,0.4706572260110334,Feuil1
2024,Goubellat,22000,13285,12410,0.5640909090909091,Feuil1
2024,كامل الولاية,165000,110968,75915,0.4600909090909091,Feuil1
