anne_programme,nom_fr,nom_ar,delegation,secteur,cap_init_m3,cap_sed_m3,sup_bv_ha,cout_paye_milledt,equip,objectif,financement,latitude_utm_m,longitude_utm_m,latitude_dd,longitude_dd,feuille
1988,Bir El Krouna,بير الكرونة,NEFZA,Jamila,35000,0,40.0,32000.0,Non,Protection,ODESYPANO,505967,4088589,36.941878532,9.066135869,LC_actu
1988,Tabbouba,الطبوبة,NEFZA,Tebaba,30000,30000,,,Non,Protection,ODESYPANO,506409,4089238,36.952,9.072,LC_actu
1990,Sidi Mbarek,سيدي مبارك,BEJA NORD,El Munchar,96000,67000,187.0,87100.0,Oui,Exploitation,PN,528239,4062713,36.727300402,9.324551092,LC_actu
1991,O. El Ouaer,وادي الواعر,GOUBELLAT,Gammarti,67000,0,100.0,143900.0,non,Exploitation,PN,557642,4045836,36.554647821,9.643674806,LC_actu
1991,O. El - Mourra,وادي المرة,GOUBELLAT,Grem,68000,41000,200.0,163700.0,non,Protection,PN,555090,4043824,36.535935722,9.615781285,LC_actu
1992,Ain  Elharra,عين الحارة,BEJA SUD,Sidi Smail,160000,48000,165.0,218500.0,Oui,Protection,CEE,514526,4047333,36.570294946,9.161119313,LC_actu
1992,Dar Rouman,دار رومان,TESTOUR,Zeldou,40000,0,66.0,40000.0,Non,Protection,ODESYPANO,522230,4046601,36.563239955,9.248161246,LC_actu
1992,Dmina1,دمينة 1,BEJA SUD,Zouagha,8000,0,50.0,19300.0,Oui,Exploitation,CEE,509996,4058231,36.668228354,9.111278863,LC_actu
1992,Dmina2,دمينة 2,BEJA SUD,Zouagha,5000,0,30.0,17700.0,Oui,Exploitation,CEE,510296,4057709,36.662860504,9.115411372,LC_actu
1992,O. El Boul,وادي البول,BEJA NORD,El Munchar,125000,75000,110.0,176200.0,Oui,Exploitation,CEE,528175,4062911,36.708160891,9.314830527,LC_actu
1992,Ain Hamra,عين الحمراء,TEBOURSOUK,Ain melliti,60000,9000,225.0,175800.0,Non,Exploitation,CEE,516348,4040257,36.505886261,9.182851083,LC_actu
1992,O.El Melah,وادي المالح,MEDJEZ EL BAB,Toukaber,90000,32000,216.0,167700.0,Non,Exploitation,CEE,545132,4063698,36.725513056,9.512403953,LC_actu
1992,O.Torech,وادي طرش,BEJA SUD,Hammam Sayala,15000,5000,60.0,38600.0,Non,Protection,PN,513709,4057300,36.66083642,9.15177433,LC_actu
1993,O. Swawikh,وادي السواويخ,BEJA SUD,Sidi Smail,60000,0,150.0,134900.0,Non,Exploitation,CEE,516342,4047739,36.57359181,9.181781121,LC_actu
1993,O. El Morsaline,وادي المرسلين,TEBOURSOUK,Menchia,195000,39000,543.0,323100.0,Non,Exploitation,CEE,522252,4032123,36.432428635,9.248391273,LC_actu
