annee,delegation,nappe,salinite_g_l,ressources_million_m3,nombre_de_sources_deau_ayoun,exploitation_des_sources_deau_million_m3,nombre_de_puits,exploitation_des_puits_million_m3,nombre_total,exploitation_totale_million_m3,feuille
2024,Béja Nord,وادي باجة             Oued Béja,"0,5-1",3.0,2.0,0.07,26,1.03,28,1.1,Feuil1
2024,Béja Sud,بدرونة سيدي أسماعيل Bedrouna Sidi Smail,3-2,2.1,,,69,1.55,69,1.55,Feuil1
2024,Medjez,حوض مجردة     Bassin de la medjerd,6-2,0.9,,,15,0.73,15,0.73,Feuil1
2024,Goubellat,calcaire Goubellat    كلس  قبلاط,6-1,0.4,,,27,0.53,27,0.53,Feuil1
2024,,قصر الطير                   Ksar Etir,2-1,1.6,,,20,1.02,20,1.02,Feuil1
2024,,غار كريز                    Ghar Kriz,"1-,05",0.9,,,2,0.2,2,0.2,Feuil1
2024,,الخيمة                         El khima,4-2,0.6,,,31,0.88,31,0.88,Feuil1
2024,Testour,بلاد غنيمة             Bled Ghnima,4-2,0.8,,,18,0.91,18,0.91,Feuil1
2024,,تونقة                            Tounga,4-1,0.9,,,7,0.43,7,0.43,Feuil1
2024,Téboursouk,تبرسق                        Téboursouk,4-1,0.9,5.0,0.22,18,0.88,23,1.1,Feuil1
2024,Amdoun,Ain sallem                  عين سلام,"1-0,5",0.5,,,1,0.09,1,0.09,Feuil1
2024,,كثبان نفزة                   Dunes de Nefza,"1-0,5",11.4,1.0,0.06,6,0.37,7,0.43,Feuil1
2024,Nefza,جبل الديس                   Jbel Ediss,"1,5-1",1.6,,,1,0.01,1,0.01,Feuil1
2024,,سيدي أحمد              Sidi Ahmed,"1-0,5",1.9,6.0,0.37,5,0.93,11,1.3,Feuil1
2024,,بلليف                                Bellif,"1,5-1",0.4,,,1,0.08,1,0.08,Feuil1
2024,,كامل الولاية                                                                    Gouvernorat,,27.9,14.0,0.72,247,9.639999999999999,261,10.36,Feuil1
