annee,delegation,viandes_rouges_tonne,viandes_blanche_tonne,lait_tonne,miel_tonne,œufs_million,laine_tonne,feuille
2020,باجة الشمالية,1832,0.0,20700,8.0,,,Feuil1
2020,باجة الجنوبية,1508,30.0,29400,8.0,,,Feuil1
2020,مجاز الباب,1045,22200.0,7900,6.0,,,Feuil1
2020,قبلاط,1057,1500.0,5000,8.0,,,Feuil1
2020,تستور,923,14270.0,8100,10.0,108.0,,Feuil1
2020,تبرسق,1039,0.0,7150,12.0,,,Feuil1
2020,تيبار,520,0.0,7950,8.0,,,Feuil1
2020,عمدون,1207,0.0,16150,25.0,,,Feuil1
2020,نفزة,1269,0.0,9650,25.0,,,Feuil1
2020,كامل الولاية,10400,38000.0,112000,110.0,108.0,,Feuil1
2021,باجة الشمالية,1842,0.0,20850,8.0,,,Feuil1
2021,باجة الجنوبية,1514,20.0,29400,8.0,,,Feuil1
2021,مجاز الباب,1055,21000.0,8000,6.0,,,Feuil1
2021,قبلاط,1062,1480.0,5050,8.0,,,Feuil1
2021,تستور,936,12500.0,8170,10.0,80.0,,Feuil1
2021,تبرسق,1058,0.0,7200,12.0,,,Feuil1
2021,تيبار,535,0.0,8080,8.0,,,Feuil1
2021,عمدون,1242,0.0,16300,20.0,,,Feuil1
2021,نفزة,1316,0.0,9750,20.0,,,Feuil1
2021,كامل الولاية,10560,35000.0,112800,100.0,80.0,,Feuil1
2022,باجة الشمالية,1810,0.0,22000,6.0,,,Feuil1
2022,باجة الجنوبية,1495,,28000,6.0,,,Feuil1
2022,مجاز الباب,987,22000.0,7000,6.0,,,Feuil1
2022,قبلاط,1022,2000.0,5000,7.0,,,Feuil1
2022,تستور,884,14500.0,8000,8.0,68.0,,Feuil1
2022,تبرسق,1012,0.0,7000,10.0,,,Feuil1
2022,تيبار,485,0.0,7000,8.0,,,Feuil1
2022,عمدون,1120,0.0,12000,18.0,,,Feuil1
2022,نفزة,1195,0.0,9000,18.0,,,Feuil1
2022,كامل الولاية,10010,38500.0,105000,87.0,68.0,,Feuil1
2023,باجة الشمالية,1721,0.0,18000,,,,Feuil1
2023,باجة الجنوبية,1426,,16000,,,,Feuil1
2023,مجاز الباب,949,12000.0,5100,,,,Feuil1
2023,قبلاط,990,2000.0,2900,,,,Feuil1
2023,تستور,777,32000.0,4400,,,,Feuil1
2023,تبرسق,925,0.0,6000,,,,Feuil1
2023,تيبار,455,0.0,5800,,,,Feuil1
2023,عمدون,1104,0.0,11000,,,,Feuil1
2023,نفزة,1152,0.0,8000,,,,Feuil1
2023,كامل الولاية,9499,46000.0,77200,60.0,111.5,,Feuil1
2024,باجة الشمالية,1240,0.0,20000,5.0,,55.0,Feuil1
2024,باجة الجنوبية,1050,,14000,2.0,,50.0,Feuil1
2024,مجاز الباب,450,10175.0,6000,2.0,,75.0,Feuil1
2024,قبلاط,350,7700.0,3500,1.0,,90.0,Feuil1
2024,تستور,450,14125.0,5000,3.0,92810690.0,45.0,Feuil1
2024,تبرسق,430,0.0,7000,8.0,,60.0,Feuil1
2024,تيبار,380,0.0,6000,4.0,,15.0,Feuil1
2024,عمدون,800,0.0,16000,13.0,,30.0,Feuil1
2024,نفزة,800,0.0,13000,12.0,,35.0,Feuil1
2024,كامل الولاية,5950,32000.0,90500,50.0,92810690.0,455.0,Feuil1
