annee,delegation,nombre_de_barques_avec_moteur,nombre_de_barques_sans_moteur,autres_moyens_de_peche,production_tonne,feuille
2020,باجة الشمالية,,,,0.0,Feuil1
2020,باجة الجنوبية,,13,,88.0,Feuil1
2020,مجاز الباب,,,,,Feuil1
2020,قبلاط,,,,,Feuil1
2020,تستور,,54,,593.0,Feuil1
2020,تبرسق,,,,,Feuil1
2020,تيبار,,,,,Feuil1
2020,عمدون,,3,,12.0,Feuil1
2020,نفزة,,17,,108.0,Feuil1
2020,كامل الولاية,,87,0.0,801.0,Feuil1
2021,باجة الشمالية,,,,0.0,Feuil1
2021,باجة الجنوبية,,13,,88.0,Feuil1
2021,مجاز الباب,,,,,Feuil1
2021,قبلاط,,,,,Feuil1
2021,تستور,,54,,593.0,Feuil1
2021,تبرسق,,,,,Feuil1
2021,تيبار,,,,,Feuil1
2021,عمدون,,3,,12.0,Feuil1
2021,نفزة,,17,,108.0,Feuil1
2021,كامل الولاية,,87,0.0,801.0,Feuil1
2022,باجة الشمالية,,,,0.0,Feuil1
2022,باجة الجنوبية,,4,,85.0,Feuil1
2022,مجاز الباب,,,,,Feuil1
2022,قبلاط,,,,,Feuil1
2022,تستور,,58,,542.0,Feuil1
2022,تبرسق,,,,,Feuil1
2022,تيبار,,,,,Feuil1
2022,عمدون,,2,,10.0,Feuil1
2022,نفزة,,16,,128.0,Feuil1
2022,كامل الولاية,,80,0.0,765.0,Feuil1
2023,باجة الشمالية,,,,0.0,Feuil1
2023,باجة الجنوبية,,,,,Feuil1
2023,مجاز الباب,,,,,Feuil1
2023,قبلاط,,,,,Feuil1
2023,تستور,,,,380.2,Feuil1
2023,تبرسق,,,,,Feuil1
2023,تيبار,,,,,Feuil1
2023,عمدون,,2,,10.0,Feuil1
2023,نفزة,,1,,110.2,Feuil1
2023,كامل الولاية,,3,0.0,500.4,Feuil1
2024,باجة الشمالية,1 (بحيرة ب 35),,,3.0,Feuil1
2024,باجة الجنوبية,,16 المخشبية,,,Feuil1
2024,مجاز الباب,,,,,Feuil1
2024,قبلاط,,,,,Feuil1
2024,تستور,,36 سد سيدي سالم,,61.0,Feuil1
2024,تبرسق,,,,,Feuil1
2024,تيبار,,,,,Feuil1
2024,عمدون,,1 سد كساب,,6.0,Feuil1
2024,نفزة,,9 سد سيدي البراق,,10.0,Feuil1
2024,كامل الولاية,,62,0.0,77.0,Feuil1
