annee,delegation,nombre_de_barques_avec_moteur,nombre_de_barques_sans_moteur,production_tonne,feuille
2020,باجة الشمالية,,,,Feuil1
2020,باجة الجنوبية,,,,Feuil1
2020,مجاز الباب,,,,Feuil1
2020,قبلاط,,,,Feuil1
2020,تستور,,,,Feuil1
2020,تبرسق,,,,Feuil1
2020,تيبار,,,,Feuil1
2020,عمدون,,,,Feuil1
2020,نفزة,16.0,21.0,157.0,Feuil1
2020,كامل الولاية,16.0,21.0,157.0,Feuil1
2021,باجة الشمالية,,,,Feuil1
2021,باجة الجنوبية,,,,Feuil1
2021,مجاز الباب,,,,Feuil1
2021,قبلاط,,,,Feuil1
2021,تستور,,,,Feuil1
2021,تبرسق,,,,Feuil1
2021,تيبار,,,,Feuil1
2021,عمدون,,,,Feuil1
2021,نفزة,14.0,20.0,141.0,Feuil1
2021,كامل الولاية,14.0,20.0,141.0,Feuil1
2022,باجة الشمالية,,,,Feuil1
2022,باجة الجنوبية,,,,Feuil1
2022,مجاز الباب,,,,Feuil1
2022,قبلاط,,,,Feuil1
2022,تستور,,,,Feuil1
2022,تبرسق,,,,Feuil1
2022,تيبار,,,,Feuil1
2022,عمدون,,,,Feuil1
2022,نفزة,14.0,20.0,141.0,Feuil1
2022,كامل الولاية,14.0,20.0,141.0,Feuil1
2023,باجة الشمالية,,,,Feuil1
2023,باجة الجنوبية,,,,Feuil1
2023,مجاز الباب,,,,Feuil1
2023,قبلاط,,,,Feuil1
2023,تستور,,,,Feuil1
2023,تبرسق,,,,Feuil1
2023,تيبار,,,,Feuil1
2023,عمدون,,,,Feuil1
2023,نفزة,20.0,11.0,130.25,Feuil1
2023,كامل الولاية,20.0,11.0,130.25,Feuil1
2024,باجة الشمالية,,,,Feuil1
2024,باجة الجنوبية,,,,Feuil1
2024,مجاز الباب,,,,Feuil1
2024,قبلاط,,,,Feuil1
2024,تستور,,,,Feuil1
2024,تبرسق,,,,Feuil1
2024,تيبار,,,,Feuil1
2024,عمدون,,,,Feuil1
2024,نفزة,1.0,46.0,1.5,Feuil1
2024,كامل الولاية,1.0,46.0,1.5,Feuil1
