annee,delegation,puits_de_surface_equipes,puits_de_surface_non_equipes,total,puits_profonds_equipes,puits_profonds_non_equipes,total_1,nombre_de_grands_barrages,capacite_des_grands_barrages_million_m3,apport_aux_grands_barrages_million_m3,taux_de_remplissage_des_barrages,nombre_de_barrages_collinaires,capacite_des_barrages_collinaires_mille_m3,nombre_de_lacs_collinaires,capacie_des_lacs_collinaires_mille_m3,feuille
2020,باجة الشمالية,40,81,121,21,9,30,,,,,,,,,Feuil1
2020,باجة الجنوبية,170,12,182,35,11,46,,,,,,,,,Feuil1
2020,مجاز الباب,94,86,180,22,2,24,,,,,,,,,Feuil1
2020,قبلاط,148,150,198,32,6,38,,,,,,,,,Feuil1
2020,تستور,340,231,571,57,15,72,1.0,580.0,140.0,0.24,,,,,Feuil1
2020,تبرسق,141,196,337,36,5,41,,,,,,,,,Feuil1
2020,تيبار,116,94,210,13,2,15,,,,,,,,,Feuil1
2020,عمدون,11,99,110,4,3,7,1.0,80.0,16.0,0.2,,,,,Feuil1
2020,نفزة,134,170,304,17,2,19,1.0,286.0,140.0,0.49,,,,,Feuil1
2020,كامل الولاية,1194,1119,2213,237,55,292,3.0,946000.0,296000.0,0.31,,,,,Feuil1
2021,باجة الشمالية,40,79,119,21,12,33,,,,,,,,,Feuil1
2021,باجة الجنوبية,167,16,183,35,18,53,,,,,,,,,Feuil1
2021,مجاز الباب,84,157,241,22,4,26,,,,,,,,,Feuil1
2021,قبلاط,123,148,271,32,10,42,,,,,,,,,Feuil1
2021,تستور,318,335,653,57,15,72,1.0,580.0,225.0,0.39,,,,,Feuil1
2021,تبرسق,116,194,310,36,5,41,,,,,,,,,Feuil1
2021,تيبار,114,95,209,13,5,18,,,,,,,,,Feuil1
2021,عمدون,11,99,110,4,3,7,1.0,80.0,36.0,0.45,,,,,Feuil1
2021,نفزة,153,486,639,17,2,19,1.0,286.0,281.0,0.98,,,,,Feuil1
2021,كامل الولاية,1126,1609,2735,237,74,311,3.0,946.0,542.0,0.57,,,,,Feuil1
2022,باجة الشمالية,40,79,119,22,13,35,,,,,,,,,Feuil1
2022,باجة الجنوبية,167,16,183,41,17,58,,,,,,,,,Feuil1
2022,مجاز الباب,84,157,241,24,3,27,,,,,,,,,Feuil1
2022,قبلاط,123,148,271,36,15,51,,,,,,,,,Feuil1
2022,تستور,318,335,653,63,18,80,1.0,580.0,87.269,0.15,,,,,Feuil1
2022,تبرسق,116,194,310,36,8,44,,,,,,,,,Feuil1
2022,تيبار,114,95,209,16,3,19,,,,,,,,,Feuil1
2022,عمدون,11,99,110,4,3,7,1.0,80.0,15.084,0.19,,,,,Feuil1
2022,نفزة,153,486,639,17,2,19,1.0,286.0,173.319,0.61,,,,,Feuil1
2022,كامل الولاية,1126,1609,2735,259,82,340,3.0,946000.0,275.672,0.29,,,,,Feuil1
2024,باجة الشمالية,40,79,119,23,12,35,,,,,4.0,2370.0,4.0,521.0,Feuil1
2024,باجة الجنوبية,167,16,183,51,20,71,,,,,,,11.0,1665.0,Feuil1
2024,مجاز الباب,84,157,241,27,9,36,,,,,1.0,2000.0,11.0,1756.0,Feuil1
2024,قبلاط,123,148,271,47,15,62,,,,,3.0,1935.0,4.0,505.0,Feuil1
2024,تستور,318,335,653,73,17,80,1.0,580.0,93.216,0.16071724137931034,6.0,6630.0,15.0,2008.0,Feuil1
2024,تبرسق,116,194,310,37,11,48,,,,,2.0,1850.0,11.0,1393.0,Feuil1
2024,تيبار,114,95,209,23,8,31,,,,,2.0,2500.0,1.0,15.0,Feuil1
2024,عمدون,11,99,110,4,3,7,1.0,80.0,14.75,0.184375,1.0,470.0,,0.0,Feuil1
2024,نفزة,153,486,639,17,2,19,1.0,286.0,110.519,0.38643006993006995,4.0,1860.0,1.0,35.0,Feuil1
2024,كامل الولاية,1126,1609,2735,302,97,389,3.0,946.0,218.485,0.23095665961945033,23.0,19615.0,58.0,7898.0,Feuil1
