annee,plantation_irriguee,superficier_raisins_entiers_h,n_arbres_entiers,superficier_raisins_de_saison_h,n_arbres_saisonnaires,feuille
2017/2018,plantations_jeunes,17,20400.0,62,74400.0,طاولة
2017/2018,plantations_productives,183,219600.0,1873,2247600.0,طاولة
2017/2018,plantations_vieux,0,,55,66000.0,طاولة
2017/2018,totales,200,240000.0,1990,2388000.0,طاولة
2018/2019,plantations_jeunes,17,20400.0,62,74400.0,طاولة
2018/2019,plantations_productives,183,219600.0,1873,2247600.0,طاولة
2018/2019,plantations_vieux,0,0.0,55,66000.0,طاولة
2018/2019,totales,200,240000.0,1990,2388000.0,طاولة
2019/2020,plantations_jeunes,0,0.0,40,48000.0,طاولة
2019/2020,plantations_productives,200,240000.0,1895,2274000.0,طاولة
2019/2020,plantations_vieux,0,0.0,35,42000.0,طاولة
2019/2020,totales,200,240000.0,1970,2364000.0,طاولة
2020/2021,plantations_jeunes,0,0.0,40,48000.0,طاولة
2020/2021,plantations_productives,180,216000.0,1895,2274000.0,طاولة
2020/2021,plantations_vieux,0,,15,18000.0,طاولة
2020/2021,totales,180,216000.0,1950,2340000.0,طاولة
2021/2022,plantations_jeunes,0,0.0,40,48000.0,طاولة
2021/2022,plantations_productives,180,216000.0,1850,2220000.0,طاولة
2021/2022,plantations_vieux,0,,0,,طاولة
2021/2022,totales,180,216000.0,1890,2268000.0,طاولة
2022/2023,plantations_jeunes,0,0.0,40,48000.0,طاولة
2022/2023,plantations_productives,180,216000.0,1850,2220000.0,طاولة
2022/2023,plantations_vieux,0,,0,,طاولة
2022/2023,totales,180,216000.0,1890,2268000.0,طاولة
2023/2024,plantations_jeunes,0,0.0,40,48000.0,طاولة
2023/2024,plantations_productives,180,216000.0,1850,2220000.0,طاولة
2023/2024,plantations_vieux,0,,0,,طاولة
2023/2024,totales,180,216000.0,1890,2268000.0,طاولة
