annee,delegation,avicultures_1000_unites,cunicultures_1000_unites,apicultures_ruches_1000_unites,feuille
2023,Ben Arous,,,,Feuil1
2023,Médina Jedida,,,,Feuil1
2023,Mourouj,,,,Feuil1
2023,Hammam-Lif,,,10.0,Feuil1
2023,Hammam-Chott,,,240.0,Feuil1
2023,Bou Mhel,565.0,,10.0,Feuil1
2023,Ezzahra,,,,Feuil1
2023,Rades,,,,Feuil1
2023,Megrine,,,,Feuil1
2023,M'hamdia,,,270.0,Feuil1
2023,Fouchana,,27.0,,Feuil1
2023,Mornag,2994.0,221.0,1865.0,Feuil1
2023,TOTAL,3559.0,248.0,2395.0,Feuil1
2024,Ben Arous,,,,Feuil1
2024,Médina Jedida,,,,Feuil1
2024,Mourouj,,,,Feuil1
2024,Hammam-Lif,,,350.0,Feuil1
2024,Hammam-Chott,,,1080.0,Feuil1
2024,Bou Mhel,566.0,,20.0,Feuil1
2024,Ezzahra,,,,Feuil1
2024,Rades,,10.0,,Feuil1
2024,Megrine,,,,Feuil1
2024,M'hamdia,,,250.0,Feuil1
2024,Fouchana,,80.0,,Feuil1
2024,Mornag,2396.0,203.0,800.0,Feuil1
2024,TOTAL,2962.0,293.0,2500.0,Feuil1
2025,Ben Arous,,,,Feuil1
2025,Médina Jedida,,,,Feuil1
2025,Mourouj,,,,Feuil1
2025,Hammam-Lif,,,400.0,Feuil1
2025,Hammam-Chott,,,400.0,Feuil1
2025,Bou Mhel,566.0,,20.0,Feuil1
2025,Ezzahra,,,,Feuil1
2025,Rades,,0.0,150.0,Feuil1
2025,Megrine,,,,Feuil1
2025,M'hamdia,,,500.0,Feuil1
2025,Fouchana,,70.0,,Feuil1
2025,Mornag,2396.0,230.0,800.0,Feuil1
2025,TOTAL,2962.0,300.0,2270.0,Feuil1
