annee,delegation,viandes_rouges_t,viandes_blanches_t,lait_1000l,œufs_1000_unites,miel_t,feuille
2023,Ben Arous,,,,,,Feuil1
2023,Médina Jedida,120.0,,1585.0,,,Feuil1
2023,Mourouj,45.0,,260.0,,,Feuil1
2023,Hammam-Lif,,,95.0,,0.5,Feuil1
2023,Hammam-Chott,95.0,,810.0,,2.2,Feuil1
2023,Bou Mhel,135.0,1885.0,970.0,,0.5,Feuil1
2023,Ezzahra,,,135.0,,,Feuil1
2023,Rades,45.0,,780.0,,,Feuil1
2023,Megrine,,,,,,Feuil1
2023,M'hamdia,340.0,,2215.0,,2.8,Feuil1
2023,Fouchana,395.0,,1220.0,,,Feuil1
2023,Mornag,2267.0,10010.0,9130.0,17000.0,9.0,Feuil1
2023,TOTAL,3442.0,11895.0,17200.0,17000.0,15.0,Feuil1
2024,Ben Arous,,,,,,Feuil1
2024,Médina Jedida,108.0,,1680.0,,,Feuil1
2024,Mourouj,32.0,,320.0,,,Feuil1
2024,Hammam-Lif,,,115.0,,2.0,Feuil1
2024,Hammam-Chott,76.0,,1015.0,,8.0,Feuil1
2024,Bou Mhel,98.0,2120.0,1120.0,,0.2,Feuil1
2024,Ezzahra,,,150.0,,,Feuil1
2024,Rades,32.0,,905.0,,,Feuil1
2024,Megrine,,,,,,Feuil1
2024,M'hamdia,202.0,,2340.0,,1.8,Feuil1
2024,Fouchana,215.0,,1345.0,,,Feuil1
2024,Mornag,1581.0,10360.0,9310.0,17000.0,6.0,Feuil1
2024,TOTAL,2344.0,12480.0,18300.0,17000.0,18.0,Feuil1
2025,Ben Arous,,,,,,Feuil1
2025,Médina Jedida,72.0,,1725.0,,,Feuil1
2025,Mourouj,21.0,,332.0,,,Feuil1
2025,Hammam-Lif,,,120.0,,2.4,Feuil1
2025,Hammam-Chott,57.0,,1042.0,,2.6,Feuil1
2025,Bou Mhel,66.0,2125.0,1150.0,,0.3,Feuil1
2025,Ezzahra,,,155.0,,,Feuil1
2025,Rades,21.0,,930.0,,1.0,Feuil1
2025,Megrine,,,,,,Feuil1
2025,M'hamdia,134.0,,2405.0,,3.6,Feuil1
2025,Fouchana,142.0,,1381.0,,,Feuil1
2025,Mornag,1059.0,10375.0,9560.0,21600.0,6.1,Feuil1
2025,TOTAL,1572.0,12500.0,18800.0,21600.0,16.0,Feuil1
