annee,delegation,nembre_bateaux_peche_non_equipe,nembre_bateaux_peche_equipe,nombre_main_oeuvre,feuille
2018,rades,94,50,288,flotille et main d'oeuvre
2018,ezzahra,43,22,130,flotille et main d'oeuvre
2018,ham_life,41,25,132,flotille et main d'oeuvre
2018,ham_chat,25,13,76,flotille et main d'oeuvre
2018,lac_barrage,2,0,4,flotille et main d'oeuvre
2019,rades,94,50,288,flotille et main d'oeuvre
2019,ezzahra,43,22,130,flotille et main d'oeuvre
2019,ham_life,45,25,132,flotille et main d'oeuvre
2019,ham_chat,31,13,76,flotille et main d'oeuvre
2019,lac_barrage,2,0,4,flotille et main d'oeuvre
2020,rades,90,46,272,flotille et main d'oeuvre
2020,ezzahra,41,19,120,flotille et main d'oeuvre
2020,ham_life,43,25,136,flotille et main d'oeuvre
2020,ham_chat,31,12,86,flotille et main d'oeuvre
2020,lac_barrage,5,0,10,flotille et main d'oeuvre
2021,rades,89,46,270,flotille et main d'oeuvre
2021,ezzahra,41,19,120,flotille et main d'oeuvre
2021,ham_life,43,25,136,flotille et main d'oeuvre
2021,ham_chat,30,12,84,flotille et main d'oeuvre
2021,lac_barrage,6,0,12,flotille et main d'oeuvre
2022,rades,68,69,274,flotille et main d'oeuvre
2022,ezzahra,25,24,98,flotille et main d'oeuvre
2022,ham_life,35,33,136,flotille et main d'oeuvre
2022,ham_chat,10,9,38,flotille et main d'oeuvre
2022,lac_barrage,0,6,20,flotille et main d'oeuvre
2023,rades,51,62,280,flotille et main d'oeuvre
2023,ezzahra,25,21,102,flotille et main d'oeuvre
2023,ham_life,30,33,134,flotille et main d'oeuvre
2023,ham_chat,10,9,38,flotille et main d'oeuvre
2023,lac_barrage,0,6,101,flotille et main d'oeuvre
2024,rades,51,62,280,flotille et main d'oeuvre
2024,ezzahra,25,21,102,flotille et main d'oeuvre
2024,ham_life,30,33,134,flotille et main d'oeuvre
2024,ham_chat,10,9,38,flotille et main d'oeuvre
2024,lac_barrage,0,6,20,flotille et main d'oeuvre
2025,rades,51,62,280,flotille et main d'oeuvre
2025,ezzahra,25,21,102,flotille et main d'oeuvre
2025,ham_life,30,33,134,flotille et main d'oeuvre
2025,ham_chat,10,9,38,flotille et main d'oeuvre
2025,lac_barrage,0,6,20,flotille et main d'oeuvre
