annee,stock_mille_m3,feuille
2016-01-01 00:00:00,1467,Feuil1
2016-02-01 00:00:00,1441,Feuil1
2016-03-01 00:00:00,1391,Feuil1
2016-04-01 00:00:00,1323,Feuil1
2016-06-01 00:00:00,1275,Feuil1
2016-07-01 00:00:00,1094,Feuil1
2016-08-01 00:00:00,974,Feuil1
2016-10-01 00:00:00,657,Feuil1
2016-11-01 00:00:00,757,Feuil1
2016-11-18 00:00:00,1503,Feuil1
2016-12-26 00:00:00,2733,Feuil1
2017-02-02 00:00:00,2953,Feuil1
2017-04-04 00:00:00,2750,Feuil1
2017-05-05 00:00:00,2740,Feuil1
2017-06-02 00:00:00,2256,Feuil1
2017-08-03 00:00:00,1700,Feuil1
2017-09-04 00:00:00,1700,Feuil1
2017-10-04 00:00:00,1565,Feuil1
2017-12-04 00:00:00,1292,Feuil1
2018-02-05 00:00:00,1205,Feuil1
2018-03-15 00:00:00,1979,Feuil1
2018-04-30 00:00:00,1109,Feuil1
2018-05-30 00:00:00,1109,Feuil1
2018-06-28 00:00:00,850,Feuil1
2018-07-31 00:00:00,757,Feuil1
2018-09-03 00:00:00,757,Feuil1
2018-10-01 00:00:00,676,Feuil1
2018-10-30 00:00:00,2600,Feuil1
2018-12-31 00:00:00,2818,Feuil1
2019-01-31 00:00:00,2820,Feuil1
2019-02-28 00:00:00,3064,Feuil1
2019-03-25 00:00:00,4190,Feuil1
2019-04-25 00:00:00,3964,Feuil1
2019-06-30 00:00:00,3182,Feuil1
2019-07-01 00:00:00,2659,Feuil1
2019-08-01 00:00:00,2659,Feuil1
2019-09-01 00:00:00,2366,Feuil1
2019-10-31 00:00:00,2623,Feuil1
2019-11-30 00:00:00,2623,Feuil1
2019-12-31 00:00:00,2822,Feuil1
2020-01-31 00:00:00,1990,Feuil1
2020-02-25 00:00:00,3052,Feuil1
2020-05-31 00:00:00,1763,Feuil1
2020-06-30 00:00:00,1568,Feuil1
2020-07-28 00:00:00,1282,Feuil1
2020-08-26 00:00:00,1030,Feuil1
2020-09-30 00:00:00,836,Feuil1
2020-10-27 00:00:00,699,Feuil1
2020-11-25 00:00:00,1700,Feuil1
2020-12-31 00:00:00,2202,Feuil1
2021-01-29 00:00:00,2102,Feuil1
2021-02-28 00:00:00,1960,Feuil1
2021-03-26 00:00:00,2008,Feuil1
2021-04-29 00:00:00,1880,Feuil1
2021-05-31 00:00:00,1730,Feuil1
2021-06-25 00:00:00,1511,Feuil1
2021-07-23 00:00:00,1255,Feuil1
2021-08-31 00:00:00,949,Feuil1
2021-09-30 00:00:00,849,Feuil1
2021-10-31 00:00:00,856,Feuil1
2021-11-30 00:00:00,789,Feuil1
2021-12-31 00:00:00,744,Feuil1
2022-01-31 00:00:00,699,Feuil1
2022-02-28 00:00:00,666,Feuil1
2022-03-31 00:00:00,669,Feuil1
2022-04-30 00:00:00,583,Feuil1
2022-05-31 00:00:00,548,Feuil1
2022-06-30 00:00:00,471,Feuil1
2022-07-28 00:00:00,403,Feuil1
2022-08-31 00:00:00,366,Feuil1
2022-09-30 00:00:00,346,Feuil1
2022-10-26 00:00:00,319,Feuil1
2022-11-29 00:00:00,290,Feuil1
2022-12-29 00:00:00,268,Feuil1
2023-01-31 00:00:00,252,Feuil1
2023-02-28 00:00:00,286,Feuil1
2023-03-31 00:00:00,245,Feuil1
2023-04-30 00:00:00,165,Feuil1
2023-05-31 00:00:00,132,Feuil1
2023-06-30 00:00:00,93,Feuil1
2023-07-24 00:00:00,36,Feuil1
2023-08-31 00:00:00,1,Feuil1
2023-09-30 00:00:00,0,Feuil1
2023-10-31 00:00:00,0,Feuil1
2024-01-31 00:00:00,1900,Feuil1
2024-02-29 00:00:00,2350,Feuil1
2024-03-30 00:00:00,2080,Feuil1
31/04/2024,2030,Feuil1
2024-05-30 00:00:00,1600,Feuil1
31/06/2024,850,Feuil1
2024-07-30 00:00:00,370,Feuil1
2024-08-31 00:00:00,370,Feuil1
2024-09-30 00:00:00,1225,Feuil1
2024-10-31 00:00:00,1380,Feuil1
2024-11-30 00:00:00,1180,Feuil1
2024-12-31 00:00:00,1375,Feuil1
