ع_ر,البحيرة,سنة_الانجاز,المنطقة,المعتمدية,مساحة_المصب_هك,طاقة_الخزن_الاصلية_الف_م3,حجم_الترسبات_الف_م3,نسبة_الترسب,طاقة_الخزن_الحالية_الف_م3,feuille
1.0,الكرب1,1988.0,القصيبي,مرناق,173.0,70,70,100,0,Feuil1
2.0,الكرب2,1988.0,القصيبي,مرناق,266.0,90,90,100,0,Feuil1
3.0,الجبس,1988.0,الرسالة,مرناق,200.0,38,38,100,0,Feuil1
4.0,المعيزات,1988.0,مرناق,مرناق,140.0,40,40,100,0,Feuil1
5.0,شوشة الورد,1990.0,القصيبي,مرناق,220.0,100,100,100,0,Feuil1
6.0,ام القصيبي,1991.0,القصيبي,مرناق,110.0,45,30,66,15,Feuil1
7.0,عين المرة,1991.0,شبدة,المحمدية,45.0,45,7,15,38,Feuil1
8.0,المالح,1992.0,القصيبي,مرناق,110.0,40,20,50,20,Feuil1
9.0,عين كحولة,1992.0,اوذنة,مرناق,117.0,76,54,71,22,Feuil1
10.0,فيض المال,1993.0,القنة,مرناق,42.0,50,50,100,0,Feuil1
11.0,بوشقشق,1993.0,القنة,مرناق,98.0,70,70,100,0,Feuil1
12.0,بن حسين,1994.0,القنة,مرناق,160.0,78,78,100,0,Feuil1
13.0,النشيمة,1994.0,عين الرقاد,مرناق,85.0,50,50,100,0,Feuil1
14.0,عين الكلبة,1994.0,اوذنة,مرناق,174.0,60,60,100,0,Feuil1
15.0,بوعجيلة,1995.0,اوذنة,مرناق,95.0,62,16,26,46,Feuil1
16.0,العباير,1995.0,اوذنة,مرناق,100.0,53,17,32,36,Feuil1
17.0,الزيتوني1,1995.0,حي السعادة,المحمدية,45.0,38,8,21,30,Feuil1
18.0,القطار,1996.0,القصيبي,مرناق,700.0,200,113,43,87,Feuil1
19.0,الجباس,1996.0,سيدي سالم القارصي,مرناق,165.0,90,90,100,0,Feuil1
20.0,الرغم,1996.0,سيدي سالم القارصي,مرناق,70.0,100,12,12,88,Feuil1
21.0,القصبايا,1997.0,الكبوطي,مرناق,240.0,100,50,50,50,Feuil1
22.0,الكاف لحمر1,1997.0,اوذنة,مرناق,245.0,170,38,22,132,Feuil1
23.0,الزيتوني2,1998.0,حي السعادة,المحمدية,40.0,95,6,6,89,Feuil1
24.0,كاف لحمر2,1998.0,اوذنة,مرناق,40.0,50,50,100,0,Feuil1
25.0,العلالقية,2000.0,اوذنة,مرناق,80.0,72,10,13,62,Feuil1
26.0,الحجاج,2000.0,الرسالة,مرناق,53.0,39,10,25,29,Feuil1
27.0,عين الصفصاف,2001.0,عين الرقاد,مرناق,233.0,62,30,48,32,Feuil1
,,,,,,1983,1207,61,776,Feuil1
