annee,non,superficier_programer_irriguee,superficier_prog_non_irrigue,total_superficier_programmer_t,superficier_realiser_irriguee_h,superficier_realiser_non_irriguee_h,total_superficier_realiserh,feuille
2020,Agrumes,83.0,,83.0,9.0,,9.0,الغراسات الجديدة
2020,vignes table,25.0,,25.0,5.0,,5.0,الغراسات الجديدة
2020,vignes trs,12.0,,12.0,2.0,,2.0,الغراسات الجديدة
2020,amandier,20.0,25,45.0,5.0,,5.0,الغراسات الجديدة
2020,abricot,8.0,,8.0,1.0,,1.0,الغراسات الجديدة
2020,peche,25.0,,25.0,23.0,,23.0,الغراسات الجديدة
2020,pistache,1.0,,1.0,,,,الغراسات الجديدة
2020,Awina,15.0,,15.0,1.0,,1.0,الغراسات الجديدة
2020,pommes,11.0,,11.0,4.0,,4.0,الغراسات الجديدة
2020,poires,,,,,,,الغراسات الجديدة
2020,grenade,20.0,,20.0,3.25,,3.25,الغراسات الجديدة
2020,figue,,5,5.0,2.0,2,4.0,الغراسات الجديدة
2020,autre,6.0,,6.0,0.5,,0.5,الغراسات الجديدة
2021,Agrumes,44.0,,44.0,3.5,,3.5,الغراسات الجديدة
2021,vignes table,15.0,,15.0,8.0,,8.0,الغراسات الجديدة
2021,vignes trs,4.0,,4.0,,,,الغراسات الجديدة
2021,amandier,30.0,5,35.0,9.0,,9.0,الغراسات الجديدة
2021,abricot,8.0,,8.0,,,,الغراسات الجديدة
2021,peche,20.0,,20.0,2.0,,2.0,الغراسات الجديدة
2021,pistache,1.0,,1.0,,,,الغراسات الجديدة
2021,Awina,10.0,,10.0,,,,الغراسات الجديدة
2021,pommes,6.0,,6.0,,,,الغراسات الجديدة
2021,poires,5.0,,5.0,2.75,,2.75,الغراسات الجديدة
2021,grenade,12.0,,12.0,7.0,,7.0,الغراسات الجديدة
2021,figue,5.0,5,10.0,2.0,,2.0,الغراسات الجديدة
2021,autre,1.0,,1.0,1.0,,1.0,الغراسات الجديدة
2022,Agrumes,40.0,,40.0,,,,الغراسات الجديدة
2022,vignes table,10.0,,10.0,2.0,,2.0,الغراسات الجديدة
2022,vignes trs,2.0,,2.0,4.0,,4.0,الغراسات الجديدة
2022,amandier,11.0,8,19.0,1.0,17,18.0,الغراسات الجديدة
2022,abricot,5.0,,5.0,,,,الغراسات الجديدة
2022,peche,15.0,,15.0,,,,الغراسات الجديدة
2022,pistache,,,,,,,الغراسات الجديدة
2022,Awina,7.0,,7.0,,,,الغراسات الجديدة
2022,pommes,5.0,,5.0,0.5,,0.5,الغراسات الجديدة
2022,poires,5.0,,5.0,,,,الغراسات الجديدة
2022,grenade,9.0,,9.0,7.5,,7.5,الغراسات الجديدة
2023,Agrumes,42.0,,42.0,16.25,,16.25,الغراسات الجديدة
2023,vignes table,15.0,,15.0,23.0,,23.0,الغراسات الجديدة
2023,vignes trs,2.0,,2.0,,,0.0,الغراسات الجديدة
2023,amandier,16.0,15,31.0,5.5,,5.5,الغراسات الجديدة
2023,abricot,5.0,,5.0,1.0,,1.0,الغراسات الجديدة
2023,peche,19.0,0,19.0,13.5,0,13.5,الغراسات الجديدة
2023,pistache,2.0,0,2.0,0.0,0,0.0,الغراسات الجديدة
2023,Awina,7.0,0,7.0,2.0,0,2.0,الغراسات الجديدة
2023,pommes,2.0,0,2.0,0.0,0,0.0,الغراسات الجديدة
2023,poires,3.0,0,3.0,2.5,0,2.5,الغراسات الجديدة
2023,grenade,7.0,0,7.0,0.0,0,0.0,الغراسات الجديدة
2023,figue,5.0,5,10.0,0.0,0,0.0,الغراسات الجديدة
2023,autre,7.0,0,7.0,0.0,0,0.0,الغراسات الجديدة
2024,Agrumes,47.0,0,47.0,2.5,2.5,5.0,الغراسات الجديدة
2024,vignes table,5.0,0,5.0,11.0,11,22.0,الغراسات الجديدة
2024,vignes trs,5.0,0,5.0,0.0,0,0.0,الغراسات الجديدة
2024,amandier,14.0,10,24.0,0.0,1,1.0,الغراسات الجديدة
2024,abricot,6.0,0,6.0,0.0,0,0.0,الغراسات الجديدة
2024,peche,23.0,0,23.0,2.0,0,2.0,الغراسات الجديدة
2024,pistache,1.0,3,4.0,0.0,0,0.0,الغراسات الجديدة
2024,Awina,12.0,0,12.0,0.0,0,0.0,الغراسات الجديدة
2024,pommes,9.0,0,9.0,2.5,2.5,5.0,الغراسات الجديدة
2024,poires,12.0,0,12.0,1.5,1.5,3.0,الغراسات الجديدة
2024,grenade,7.0,0,7.0,0.0,0,0.0,الغراسات الجديدة
2024,figue,10.0,10,20.0,0.0,0,0.0,الغراسات الجديدة
2024,autre,8.0,0,8.0,0.0,0,0.0,الغراسات الجديدة
2025,Agrumes,47.0,0,47.0,2.5,2.5,5.0,الغراسات الجديدة
2025,vignes table,5.0,0,5.0,11.0,11,22.0,الغراسات الجديدة
2025,vignes trs,5.0,0,5.0,0.0,0,0.0,الغراسات الجديدة
2025,amandier,14.0,10,24.0,0.0,1,1.0,الغراسات الجديدة
2025,abricot,6.0,0,6.0,0.0,0,0.0,الغراسات الجديدة
2025,peche,23.0,0,23.0,2.0,0,2.0,الغراسات الجديدة
2025,pistache,1.0,3,4.0,0.0,0,0.0,الغراسات الجديدة
2025,Awina,12.0,0,12.0,0.0,0,0.0,الغراسات الجديدة
2025,pommes,9.0,0,9.0,2.5,2.5,5.0,الغراسات الجديدة
2025,poires,12.0,0,12.0,1.5,1.5,3.0,الغراسات الجديدة
2025,grenade,7.0,0,7.0,0.0,0,0.0,الغراسات الجديدة
2025,figue,10.0,10,20.0,0.0,0,0.0,الغراسات الجديدة
2025,autre,8.0,0,8.0,0.0,0,0.0,الغراسات الجديدة
