annee,delegation,nbre_de_huileries,capacite_de_transformation_tonne_24_heure,capacite_de_stokage_tonne,feuille
2022,بنزرت الشمالية,2,45,30,Feuil1
2022,م.جميـــل+م. عبد الرحمان,3,67,6,Feuil1
2022,منزل بورقيبة,3,310,1225,Feuil1
2022,ماطــــــر,5,320,530,Feuil1
2022,غزالـــــة,3,282,238,Feuil1
2022,العاليـــــة,4,37,15,Feuil1
2022,راس الجبل,2,28,2,Feuil1
2022,الولاية,22,1089,2046,Feuil1
2023,بنزرت الشمالية,2,45,30,Feuil1
2023,م.جميـــل+م. عبد الرحمان,3,67,6,Feuil1
2023,منزل بورقيبة,3,310,1225,Feuil1
2023,ماطــــــر,5,320,530,Feuil1
2023,غزالـــــة,3,282,238,Feuil1
2023,العاليـــــة,4,37,15,Feuil1
2023,راس الجبل,2,28,2,Feuil1
2023,الولاية,22,1089,2046,Feuil1
