النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
بطاطا,pomme de terre,,,,1400.0,1700.0,Feuil1
بصل,oignon sec,,,,1300.0,1580.0,Feuil1
,oignon vert,,,,750.0,1050.0,Feuil1
فلفل حار,piment piquant,,,,1600.0,2860.0,Feuil1
فلفل حلو,piment doux,,,,1700.0,2600.0,Feuil1
لوبية حمراء,Haricot en gousse,,,,2500.0,3600.0,Feuil1
جزر,Carottes,,,,800.0,1180.0,Feuil1
لفت,Navets,,,,1000.0,1280.0,Feuil1
بروكلو,Choux Fleur,,,,800.0,1480.0,Feuil1
كرمب,Choux,,,,700.0,950.0,Feuil1
قنارية,Artichaut,,,,6000.0,12000.0,Feuil1
طماطم,tomate,,,,1100.0,1980.0,Feuil1
رمان,Grenade,,,,1400.0,3200.0,Feuil1
,Citron,,,,1180.0,1750.0,Feuil1
برتقال طمسون,thomson,,,,800.0,2600.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين (شنوة),clémentine,,,,2000.0,3890.0,Feuil1
دقلة,Dattes,,,,5000.0,10000.0,Feuil1
تفاح,pommes,,,,1400.0,4500.0,Feuil1
اجاص,poires,,,,1680.0,3600.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5600.0,6800.0,Feuil1
غزال,Gazel,,,,7500.0,7500.0,Feuil1
نازلي,Nazali,,,,6800.0,11800.0,Feuil1
ورقة,Dorade,,,,10400.0,14800.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
