النوع,variete,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,1200.0,2200.0,Feuil1
البصل,oignon sec,900.0,1280.0,Feuil1
,oignon vert,600.0,1120.0,Feuil1
فلفل حار,piment piquant,1000.0,2200.0,Feuil1
فلفل حلو,piment doux,1400.0,2180.0,Feuil1
الطماطم,tomate,1180.0,1680.0,Feuil1
لوبية حمراء,Haricot en gousse,3400.0,3980.0,Feuil1
جزر,Carottes,600.0,1200.0,Feuil1
لفت,Navets,850.0,1180.0,Feuil1
برتقال طمسون,thomson,,,Feuil1
برتقال مالطي,maltaise,,,Feuil1
كليمنتين(شنوة),clémentine,2500.0,4200.0,Feuil1
تفاح,pommes,1480.0,4600.0,Feuil1
اجاص,poires,1380.0,3800.0,Feuil1
سردينة,sardine,3600.0,4000.0,Feuil1
شورو,saurel,4500.0,5600.0,Feuil1
غزال,Gazel,9000.0,10800.0,Feuil1
نزالي,Nazali,6800.0,12600.0,Feuil1
ورقة,Dorade,11200.0,13800.0,Feuil1
بوري,Bouri,7800.0,12800.0,Feuil1
