annee,nom_de_la_nappe,delegation,puits_equipes_avec_electricite,puits_equipes_avec_mazout,nombre_total_equipes,nombre_de_puits_non_equipes,nombre_total_des_puits,ressources_million_m3,exploitation_million_m3,taux_dexploitation,salinite_g_l,feuille
2020,كاف عباد12110,سجنان,15,105,120,180,300,1.0,0.62,0.62,1 – 3,الموارد المائية الموائد السطحية
2020,بنزرت الشمالية12210,بنزرت الشمالية,153,36,189,375,564,3.32,2.0,0.6024096385542169,1 – 4,الموارد المائية الموائد السطحية
2020,رأس الجبل12310,رأس الجبل,929,21,950,640,1590,8.44,9.9,1.1729857819905214,2 – 5,الموارد المائية الموائد السطحية
2020,عوسجة غر الملح 12320,غار الملح أوتيك,1215,15,1230,260,1490,7.0,14.0,2.0,1.5 – 6,الموارد المائية الموائد السطحية
2020,وادي القرع 13110,بنزرت الجنوبية,369,4,373,84,457,3.0,3.0,1.0,1 – 3,الموارد المائية الموائد السطحية
2020,قنيش 13120,العالية-منزل جميل,1210,40,1250,317,1567,7.5,13.0,1.7333333333333334,1.5 – 7,الموارد المائية الموائد السطحية
2020,منزل بورقيبة 13130,منزل بورقيبة,277,80,357,383,740,2.0,1.7,0.85,1.5 – 2,الموارد المائية الموائد السطحية
2020,وادي بن حسين 13140,منزل بورقيبة,34,18,52,40,92,1.0,0.48,0.48,1 – 2,الموارد المائية الموائد السطحية
2020,وادي سجنان 13210,سجنان,58,198,256,467,723,2.9,1.6,0.5517241379310345,1 – 1.5,الموارد المائية الموائد السطحية
2020,ماطر رأس العين 13510,ماطر,183,290,473,267,740,8.0,6.0,0.75,1.5– 4,الموارد المائية الموائد السطحية
2020,جومين الأعلى 13520,جومين,40,178,218,111,329,2.0,1.0,0.5,0.5 – 1.5,الموارد المائية الموائد السطحية
2020,وادي الطين 13620,جومين,16,102,118,116,234,2.9,0.9,0.3103448275862069,1 – 3,الموارد المائية الموائد السطحية
2020,مجردة السفلى26020,أوتيك,131,159,290,36,326,3.0,1.5,0.5,2.5 – 4,الموارد المائية الموائد السطحية
2020,مجموع الولاية,,4630,1246,5876,3276,9152,52.059999999999995,55.699999999999996,1.069919323857088,"7-0,5",الموارد المائية الموائد السطحية
2021,كاف عباد12110,سجنان,15,105,120,180,300,1.0,0.62,62.0,1 – 3,الموارد المائية الموائد السطحية
2021,بنزرت الشمالية12210,بنزرت الشمالية,153,36,189,375,564,3.32,2.0,60.24,1 – 4,الموارد المائية الموائد السطحية
2021,رأس الجبل12310,رأس الجبل,929,21,950,640,1590,8.44,9.9,117.3,2 – 5,الموارد المائية الموائد السطحية
2021,عوسجة غر الملح 12320,غار الملح أوتيك,1215,15,1230,260,1490,7.0,14.0,200.0,1.5 – 6,الموارد المائية الموائد السطحية
2021,وادي القرع 13110,بنزرت الجنوبية,369,4,373,84,457,3.0,3.0,100.0,1 – 3,الموارد المائية الموائد السطحية
2021,قنيش 13120,العالية-منزل جميل,1210,40,1250,317,1567,7.5,13.0,173.3,1.5 – 7,الموارد المائية الموائد السطحية
2021,منزل بورقيبة 13130,منزل بورقيبة,277,80,357,383,740,2.0,1.7,85.0,1.5 – 2,الموارد المائية الموائد السطحية
2021,وادي بن حسين 13140,منزل بورقيبة,34,18,52,40,92,1.0,0.48,48.0,1 – 2,الموارد المائية الموائد السطحية
2021,وادي سجنان 13210,سجنان,58,198,256,467,723,2.9,1.6,55.2,1 – 1.5,الموارد المائية الموائد السطحية
2021,ماطر رأس العين 13510,ماطر,183,290,479,267,746,8.0,6.0,75.0,1.5– 4,الموارد المائية الموائد السطحية
2021,جومين الأعلى 13520,جومين,40,178,218,111,329,2.0,1.0,50.0,0.5 – 1.5,الموارد المائية الموائد السطحية
2021,وادي الطين 13620,جومين,16,102,118,116,234,2.9,0.9,31.0,1 – 3,الموارد المائية الموائد السطحية
2021,مجردة السفلى26020,أوتيك,131,159,290,36,326,3.0,1.5,50.0,2.5 – 4,الموارد المائية الموائد السطحية
2021,مجموع الولاية,,4630,1246,5882,3276,9158,52.059999999999995,55.2,1.060315021129466,"7-0,5",الموارد المائية الموائد السطحية
2022,كاف عباد12110,سجنان,15,105,120,180,300,1.0,0.62,0.62,1 – 3,الموارد المائية الموائد السطحية
2022,بنزرت الشمالية12210,بنزرت الشمالية,153,36,189,375,564,3.32,2.0,0.6024096385542169,1 – 4,الموارد المائية الموائد السطحية
2022,رأس الجبل12310,رأس الجبل,929,21,950,640,1590,8.44,9.9,1.1729857819905214,2 – 5,الموارد المائية الموائد السطحية
2022,عوسجة غر الملح 12320,غار الملح أوتيك,1215,15,1230,260,1490,7.0,14.0,2.0,1.5 – 6,الموارد المائية الموائد السطحية
2022,وادي القرع 13110,بنزرت الجنوبية,369,4,373,84,457,3.0,3.0,1.0,1 – 3,الموارد المائية الموائد السطحية
2022,قنيش 13120,العالية-منزل جميل,1210,40,1250,317,1567,7.5,13.0,1.7333333333333334,1.5 – 7,الموارد المائية الموائد السطحية
2022,منزل بورقيبة 13130,منزل بورقيبة,277,80,357,383,740,2.0,1.7,0.85,1.5 – 2,الموارد المائية الموائد السطحية
2022,وادي بن حسين 13140,منزل بورقيبة,34,18,52,40,92,1.0,0.48,0.48,1 – 2,الموارد المائية الموائد السطحية
2022,وادي سجنان 13210,سجنان,58,198,256,467,723,2.9,1.6,0.5517241379310345,1 – 1.5,الموارد المائية الموائد السطحية
2022,ماطر رأس العين 13510,ماطر,183,290,479,267,746,8.0,6.0,0.75,1.5– 4,الموارد المائية الموائد السطحية
2022,جومين الأعلى 13520,جومين,40,178,218,111,329,2.0,1.0,0.5,0.5 – 1.5,الموارد المائية الموائد السطحية
2022,وادي الطين 13620,جومين,16,102,118,116,234,2.9,0.9,0.3103448275862069,1 – 3,الموارد المائية الموائد السطحية
2022,مجردة السفلى26020,أوتيك,131,159,290,36,326,3.0,1.5,0.5,2.5 – 4,الموارد المائية الموائد السطحية
2022,مجموع الولاية,,4630,1246,5882,3276,9158,52.059999999999995,55.699999999999996,1.069919323857088,0.5- 7,الموارد المائية الموائد السطحية
2023,كاف عباد12110,سجنان,15,105,120,180,300,1.0,0.62,0.62,1 – 3,الموارد المائية الموائد السطحية
2023,بنزرت الشمالية12210,بنزرت الشمالية,153,36,189,375,564,3.32,2.0,0.6024096385542169,1 – 4,الموارد المائية الموائد السطحية
2023,رأس الجبل12310,رأس الجبل,929,21,950,640,1590,8.44,9.9,1.1729857819905214,2 – 5,الموارد المائية الموائد السطحية
2023,عوسجة غر الملح 12320,غار الملح أوتيك,1215,15,1230,260,1490,7.0,14.0,2.0,1.5 – 6,الموارد المائية الموائد السطحية
2023,وادي القرع 13110,بنزرت الجنوبية,369,4,373,84,457,3.0,3.0,1.0,1 – 3,الموارد المائية الموائد السطحية
2023,قنيش 13120,العالية-منزل جميل,1210,40,1250,317,1567,7.5,13.0,1.7333333333333334,1.5 – 7,الموارد المائية الموائد السطحية
2023,منزل بورقيبة 13130,منزل بورقيبة,277,80,357,383,740,2.0,1.7,0.85,1.5 – 2,الموارد المائية الموائد السطحية
2023,وادي بن حسين 13140,منزل بورقيبة,34,18,52,40,92,1.0,0.48,0.48,1 – 2,الموارد المائية الموائد السطحية
2023,وادي سجنان 13210,سجنان,58,198,256,467,723,2.9,1.6,0.5517241379310345,1 – 1.5,الموارد المائية الموائد السطحية
2023,ماطر رأس العين 13510,ماطر,183,290,479,267,746,8.0,6.0,0.75,1.5– 4,الموارد المائية الموائد السطحية
2023,جومين الأعلى 13520,جومين,40,178,218,111,329,2.0,1.0,0.5,0.5 – 1.5,الموارد المائية الموائد السطحية
2023,وادي الطين 13620,جومين,16,102,118,116,234,2.9,0.9,0.3103448275862069,1 – 3,الموارد المائية الموائد السطحية
2023,مجردة السفلى26020,أوتيك,131,159,290,36,326,3.0,1.5,0.5,2.5 – 4,الموارد المائية الموائد السطحية
2023,مجموع الولاية,Total gouvernorat,4630,1246,5882,3276,9158,52.059999999999995,55.699999999999996,1.069919323857088,0.5- 7,الموارد المائية الموائد السطحية
