annee,delegation,lait_bovin,lait_caprin,viande_bovin,viande_ovin,viande_caprin,viande_camelides,viande_avicole,viande_cunicoles,viande_caille,œufs_milliers,miel,laine,peaux,feuille
2024,,,auto-consommation,,,,,,,,,,,,Feuil1
2024,قابس المدينة,2800.0,,86.0,9.0,3.0,,0.0,,,,0.0,5.0,8.0,Feuil1
2024,قابس الغربية,2400.0,,74.0,26.0,15.0,,0.0,1.5,,,0.0,16.0,17.0,Feuil1
2024,قابس الجنوبية,6300.0,,200.0,32.0,19.0,,1200.0,1.25,,8472.0,0.5,17.0,33.0,Feuil1
2024,غنوش,650.0,,22.0,17.0,12.0,,884.0,1.0,,20205.0,0.5,16.0,2.0,Feuil1
2024,المطوية,699.0,,23.0,31.0,22.0,,1269.0,1.25,,0.0,1.0,22.0,5.0,Feuil1
2024,منزل الحبيب,0.0,,,73.0,50.0,11.0,686.0,1.3,,0.0,0.0,65.0,19.0,Feuil1
2024,الحامة,1795.0,,54.0,112.0,59.0,170.0,635.0,2.25,,15500.0,2.0,90.0,20.0,Feuil1
2024,مطماطة القديمة,0.0,,,22.0,14.0,,0.0,2.0,,0.0,1.0,12.0,5.0,Feuil1
2024,مطماطة الجديدة,0.0,,,33.0,23.0,,0.0,2.0,,0.0,2.0,31.0,7.0,Feuil1
2024,مارث,1355.0,,42.0,38.0,28.0,49.0,1346.0,7.0,,18823.0,1.0,35.0,11.0,Feuil1
2024,دخيلة توجان,,,,21.0,18.0,,,1.0,,,2.0,11.0,3.0,Feuil1
2024,المجموع,16000.0,0,501.0,414.0,245.0,230.0,6020.0,19.55,0.0,63000.0,10.0,320.0,130.0,Feuil1
