annee,delegation,nombre_serres,superficie_serres_ha,superficie_cultivee_ha,production_t,exportation_t,feuille
2023,قابس الغربية,13.0,0.65,0.65,32.0,,Feuil1
2023,قابس الجنوبية,7.0,0.35,0.35,17.0,,Feuil1
2023,المطوية,34.0,1.7,1.7,83.0,,Feuil1
2023,منزل الحبيب,17.0,0.85,0.85,42.0,,Feuil1
2023,الحامة والحامة الغربية,,162.35,162.35,30592.0,24309.0,Feuil1
2023,مارث,25.0,1.25,1.25,61.0,,Feuil1
2023,دخيلة توجان,5.0,0.25,0.25,12.0,,Feuil1
2023,المجموع,101.0,167.4,167.4,30839.0,24309.0,Feuil1
2024,قابس المدينة,,,,,,Feuil1
2024,قابس الغربية,31.0,1.55,1.55,91.0,,Feuil1
2024,قابس الجنوبية,5.0,0.25,0.25,13.0,,Feuil1
2024,غنوش,,,,,,Feuil1
2024,المطوية,35.0,1.75,1.75,92.0,,Feuil1
2024,وذرف,,,,,,Feuil1
2024,منزل الحبيب,7.0,0.35,0.35,18.0,,Feuil1
2024,الحامة,,163.05,163.05,32425.0,24555.0,Feuil1
2024,الحامة الغربية,,,,,,Feuil1
2024,مطماطة القديمة,,,,,,Feuil1
2024,مطماطة الجديدة,,,,,,Feuil1
2024,مارث,19.0,0.95,0.95,47.0,,Feuil1
2024,دخيلة توجان,5.0,5.1,5.1,10.0,,Feuil1
2024,المجموع,102.0,173.0,173.0,32696.0,24555.0,Feuil1
