annee,delegation,bovins,ovins,caprins,camelins,ruches,poules_pondeuses,poulets_chair,unites_cunicoles,nbre_lapines,feuille
2024,قابس المدينة,2399,7300,1200,0.0,410,0.0,0.0,0.0,50.0,Feuil1
2024,قابس الغربية,1122,19000,5000,18.0,420,50000.0,0.0,6.0,100.0,Feuil1
2024,قابس الجنوبية,3991,28000,9000,0.0,510,114000.0,0.0,5.0,100.0,Feuil1
2024,غنوش,206,10000,3000,0.0,210,0.0,0.0,3.0,50.0,Feuil1
2024,المطوية,190,10000,3000,5.0,210,0.0,189900.0,3.0,100.0,Feuil1
2024,وذرف,51,24000,9000,27.0,210,,,,,Feuil1
2024,منزل الحبيب,0,60000,20000,26.0,0,50000.0,0.0,1.0,200.0,Feuil1
2024,الحامة,366,75000,25000,,210,0.0,72000.0,6.0,150.0,Feuil1
2024,الحامة الغربية,135,80000,30000,1000.0,160,,,,,Feuil1
2024,مطماطة القديمة,0,17000,8000,0.0,1280,0.0,0.0,4.0,100.0,Feuil1
2024,مطماطة الجديدة,6,25000,20000,0.0,1240,0.0,0.0,3.0,200.0,Feuil1
2024,مارث,374,75000,30000,603.0,980,20000.0,165000.0,1.0,200.0,Feuil1
2024,دخيلة توجان,0,25000,18000,23.0,1060,0.0,0.0,4.0,50.0,Feuil1
2024,المجموع,8840,455300,181200,1702.0,6900,234000.0,426900.0,36.0,1300.0,Feuil1
