campagne,delegation,arrondissement,bovin_race_pure,bovin_race_locale_et_croisee,nombre_eleveurs_bovins,ovin,nombre_eleveurs_ovin,caprin,nombre_eleveurs_caprin,camelides,nombre_eleveurs_camelides,equine_race_pure,equine_race_locale_et_croisee,nombre_eleveur_equine,anes_et_mules,nombre_eleveurs_anes_et_mules,chien,nombre_eleveur_chien,feuille
2020-2021,قابـس المدينة,المنطقة1,1009.0,0.0,80.0,1200.0,40.0,225.0,40.0,0.0,0.0,2.0,8.0,10.0,20.0,18.0,100.0,80.0,Feuil1
2020-2021,قابـس المدينة,المنطقة2,268.0,0.0,24.0,1269.0,45.0,234.0,45.0,0.0,0.0,2.0,18.0,18.0,30.0,30.0,100.0,80.0,Feuil1
2020-2021,قابـس المدينة,المنطقة3,148.0,,20.0,1664.0,127.0,441.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,Feuil1
2020-2021,قابـس المدينة,المنطقة4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,Feuil1
2020-2021,قابـس المدينة,شط سيدي عبد السلام,688.0,0.0,58.0,2264.0,133.0,315.0,133.0,0.0,0.0,3.0,17.0,19.0,20.0,17.0,100.0,80.0,Feuil1
2020-2021,قابـس الغربية,شنني الشمالية,0.0,0.0,0.0,577.0,53.0,251.0,53.0,0.0,0.0,5.0,15.0,18.0,60.0,55.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,شنني الشرقية,383.0,0.0,37.0,3328.0,234.0,1020.0,234.0,0.0,0.0,5.0,35.0,34.0,60.0,50.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,شنني الغربية,0.0,0.0,0.0,9.0,2.0,26.0,2.0,0.0,0.0,4.0,15.0,18.0,40.0,30.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,النحال,9.0,0.0,2.0,383.0,43.0,134.0,43.0,0.0,0.0,2.0,5.0,7.0,10.0,8.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,الجواولة,72.0,0.0,4.0,1296.0,86.0,352.0,86.0,0.0,0.0,1.0,45.0,45.0,20.0,18.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,الرماثي,11.0,0.0,2.0,6302.0,477.0,2790.0,477.0,0.0,0.0,1.0,5.0,5.0,20.0,20.0,100.0,85.0,Feuil1
2020-2021,قابـس الغربية,بوشمة,303.0,0.0,30.0,5561.0,365.0,1883.0,365.0,0.0,0.0,3.0,25.0,20.0,70.0,65.0,100.0,90.0,Feuil1
2020-2021,قابـس الجنوبية,المدو,87.0,0.0,3.0,4210.0,276.0,2060.0,276.0,0.0,0.0,2.0,2.0,4.0,40.0,35.0,200.0,180.0,Feuil1
2020-2021,قابـس الجنوبية,الموازير,0.0,0.0,0.0,2418.0,169.0,705.0,169.0,0.0,0.0,1.0,2.0,3.0,20.0,18.0,150.0,130.0,Feuil1
