سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2011,تزويد مشروع الركائز البيض بالماء الصالح للشراب,البرنامج الوطني,1.0,757.037,تقدم الإنجاز 100%,Feuil1
2011,تعهد شبكة الماء الصالح للشراب وادي لصفر,البرنامج الوطني,1.0,599.0,تقدم الإنجاز 100%,Feuil1
2011,حفر بئر الانطلاقة 2,البرنامج الوطني,1.0,121.575,"تقدم الإنجاز 100% (14 ل/ث 0,4 غ /ل)",Feuil1
2011,حفر بئر العلندة 2,البرنامج الوطني,1.0,123.275,تقدم الإنجاز 100%,Feuil1
2011,تهيئة مسالك فلاحية داخل الواحة,البرنامج الوطني,,1125.0,تقدم الإنجاز 100%,Feuil1
2011,تزويد منطقة السعايدية بالماء ص ش,المشروع الجهوي للتنمية,1.0,599.0,تقدم الإنجاز 100%,Feuil1
2011,أشغال سد وادي الكبير,الإدارة العامة للسدود,1.0,32000.0,تقدم الإنجاز 100 %,Feuil1
2011,حفر البئر العميقة وادي لصفر,المشروع الثاني للتنمية الفلاحية المندمجة,1.0,101.275,تقدم الإنجاز 100% بئر إيجابية (12 ل/ث ملوحة 1 غ/ل),Feuil1
2012,قسط عدد 1 : تعهد شبكة الماء الصالح للشراب بخد رابح (300 ساكن),المشروع الجهوي للتنمية,1.0,443.7331,تقدم الإنجاز 100%,Feuil1
2012,حفر بئر عميقة للري بضيعة الإرشاد الفلاحي بالعقيلة,مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,156.04,تقدم الإنجاز 100%,Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة مكررGSR 2),البرنامج الوطني,1.0,162.9,تقدم الإنجاز 100%,Feuil1
2012,تدعي الري بواحة قفصة (احداث بئر عميقة ثلاثيGSR3),البرنامج الوطني,1.0,162.9,تقدم الإنجاز 100%,Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة GSR 8),البرنامج الوطني,1.0,175.725,تقدم الإنجاز 100%,Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة GSR7),البرنامج الوطني,1.0,175.725,تقدم الإنجاز 100%,Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة الراقوبة  RP14 مكرر),البرنامج الوطني,1.0,310.99,تقدم الإنجاز 100%,Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة الراقوبة  RP8 مكرر),البرنامج الوطني,1.0,320.0,تقدم الإنجاز 100% (100ل/ث),Feuil1
2012,تدعيم الري بواحة قفصة (احداث بئر عميقة الراقوبة  RP13 مكرر),البرنامج الوطني,1.0,439.0,تقدم الإنجاز 100%,Feuil1
2012,حفر البئر العميقة فيض البلوم-كاف دربي,البرنامج الوطني,1.0,193.03,تقدم الإنجاز 100% (11 ل/ث),Feuil1
2012,صيانة محطات الضخ بالراقوبة,البرنامج الوطني,1.0,1331.63,تقدم الإنجاز 100%,Feuil1
2012,تعهد شبكة الري الرئيسية بواحة قفصة,البرنامج الوطني,1.0,1342.8768,تقدم الإنجاز 100%,Feuil1
2013,تزويد منطقة هنشير قطيف بالماء الصالح للشراب,BAD,1.0,1313.1866000000002,تقدم الإنجاز 100%,Feuil1
2013,قسط عدد 3 : مد شبكة الماء الصالح للشراب بمشروع  مجموعة شوية مجموعة طريق سيدي بوبكر ومجموعة عبد العزيز رحال,المشروع الجهوي للتنمية,1.0,180.0,تقدم الإنجاز 100%,Feuil1
2013,حفر بئر بخد رابح - الناظور,البرنامج الوطني,1.0,138.0,"تقدم الإنجاز 100% (0,6غ/ل  و15 ل/ث)",Feuil1
2014,حفر بئر العثامنية الناظور للماء الصالح للشرب (200م),البرنامج الوطني,1.0,229.0,تقدم الإنجاز 100 %  (04 ل/ث),Feuil1
2014,حفر بئر تعوضية القطار 1,البرنامج الوطني,1.0,450.0,تقدم الإنجاز 100 %  (35 ل/ث),Feuil1
2014,حفر بئر عميقة تعويضية بكاف دربي المركز (180م),مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,173.97,تقدم الإنجاز 100% (11 ل/ث   و1غ/ل),Feuil1
2014,حفر بئر عميقة للماء الصالح للشرب بهنشير بروكة (250م),مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,307.7,تقدم الإنجاز 100% (3 ل/ث),Feuil1
2014,حفر بئر عميقة بمنطقة حفرة السدر(180م),برنامج التنمية المندمجة,1.0,181.3,تقدم الإنجاز 100% (11 ل/ث),Feuil1
2014,حفر بئر عميقة بمنطقة العظلة الحمراء(220م),برنامج التنمية المندمجة,1.0,207.8,تقدم الإنجاز 100% (8 ل/ث 1غ/ل),Feuil1
2014,إحداث منطقة سقوية للري التكميلي  بمنطقة حفرة السدر(100 هك),برنامج التنمية المندمجة,1.0,586.5,تم فرز عروض الدراسة و ارسالها للولاية لتحضير BC,Feuil1
2014,إحداث منطقة سقوية للري التكميلي  بمنطقة العظلة الحمراء(100 هك),برنامج التنمية المندمجة,1.0,586.5,في طور تقييم العروض,Feuil1
2015,احداث البئر التعويضية واد عيسى,مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,225.0,تقدم الإنجاز 100% (18 ل/ث   و2غ/ل),Feuil1
2015,احداث البئر العميقة الطفل,مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,225.0,"تقدم الإنجاز 100% (19 ل/ث   و4,2غ/ل)",Feuil1
2015,احداث بئر لأشغال سد وادي الكبير,البرنامج الوطني,1.0,140.0,"تقدم الإنجاز 100% (11 ل/ث   و0,75غ/ل)",Feuil1
2015,تهيئة مسالك فلاحية,مشروع شمال الولاية,,2391.8999999999996,"تقدم الإنجاز 100 %(لإنجاز: 4,5  كلم مسلك االقيطنة في اتجاه الترشيح وخلية الإرشاد الفلاحي القصبة -  9 كلم مسلك من GP3 في اتجاه عجال الخمايلية - 1 كلم مسلك رملة الكرمة - 2,5 كلم مسلك خلية الإرشاد قفصة الجنوبية في اتجاه بية",Feuil1
2016,احداث البئر العميقة اولاد سلامة,مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,230.0,تقدم الإنجاز 100% (18 ل/ث ),Feuil1
2016,إحداث منطقة سقوية للري التكميلي  بخد رابح,البرنامج الوطني,,416.3158,تقدم الإنجاز 90%:  وجود تعطيلات من طرف المواطنين لاضافتهم بالمشروع,Feuil1
2016,تزويد منطقة فيض البلوم بالماء الصالح للشرب,البرنامج الوطني,1.0,600.0,"steg:انتهت الاشغال , الكهربة 40%",Feuil1
2016,تعهد مشروع الماء الصالح للشراب الإنطلاقة,البرنامج الوطني,1.0,1000.0,تم الاعلان عن طلب العروض,Feuil1
2016,تعهد مشروع الماء الصالح للشراب القطار 1 (1500 ساكن),البرنامج الوطني,1.0,1000.0,تم الاعلان عن طلب العروض,Feuil1
2016,دراسة إعادة تهيئة واحة الجنوب الغربي (709 هك) وواحة القصبة (698 هك),البرنامج الوطني,1.0,192.0,في طور مناقشة المرحلة الثانية من الدراسة بالنسبة لقفصة الجنوبية والمرحلة الثالثة بالنسبة للقصبة,Feuil1
2017,حفر بئر عميقة بمنطقة العظلة الحمراء(تيرونيان 500م),برنامج المجلس الجهوية (تمويل شركة فسفاط قفصة),1.0,380.0,1,Feuil1
2017,حفر بئر عميقة بمنطقة هنشير قطيف (تيرونيان 500م),برنامج المجلس الجهوية (تمويل شركة فسفاط قفصة),1.0,380.0,"(6ل/ث و 2,5 غ/ل )    %100",Feuil1
2017,حفر بئر عميقة بالواحة GSR9 (200م),برنامج المجلس الجهوية (تمويل شركة فسفاط قفصة),1.0,180.0,"(16ل/ث و 2,6غ/ل )100%",Feuil1
2017,حفر بئر عميقة بسد العرش بالطفل(200م),برنامج المجلس الجهوية (تمويل شركة فسفاط قفصة),1.0,180.0,"100% (2,5ل/ث و 5,4 غ/ل)",Feuil1
2017,حفر بئر عميقة بكاف دربي 3(200م),برنامج المجلس الجهوية (تمويل شركة فسفاط قفصة),1.0,180.0,في انتظار انطلاق الأشغال,Feuil1
2017,مد خط رئيسي لكهربة الأبار العميقة العمومية والآبار السطحية,مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,1780.0,بصدد إتمام إجراءات إبرام صفقة بالتفاوض المباشر,Feuil1
2017,تزويد منطقة هنشير بروكة (200ساكن),مشروع التنمية الفلاحية لشمال ولاية قفصة,1.0,780.0,1,Feuil1
2017,تعهد مشروع منطقة كاف دربي (700 ساكن) للماء الصالح للشرب,البرنامج الوطني,1.0,1040.0,تقدم الانجاز:90%,Feuil1
2017,تهيئة مسالك فلاحية,مشروع شمال الولاية,,1940.0,"تقدم الإنجاز : بصدد تسجيل الصفقة (6 كلم بمسلك الإنطلاقة-  3,4 كلم بمسلك البلوم - 2,7 كلم بمسلك بئر الغراب -  2,1  كلم بمسلك العوايشية",Feuil1
2018,تزويد منطقة العثامنية  (500ساكن),البرنامج الوطني,1.0,800.0,في طور الانجاز 50%,Feuil1
2018,احداث بئر استكشافية بواد العلندة العليا (400م),البرنامج الوطني الإستكشافي,1.0,500.0,مقترح بميزانية 2018,Feuil1
