سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2011,تزويد منطقة سقي الخمايلية بالماء ص ش,المشروع الجهوي للتنمية,1,253.7962,تقدم الإنجاز 100%,Feuil1
2012,حفر بئر تعوضية وادي السهيلي,البرنامج الوطني,1,1000.0,تقدم الإنجاز 100% (60/ل/ث),Feuil1
2013,إحداث منطقة سقوية  : الحجولية (50 هك) (PISEAU 2),المشروع الثاني للتنمية الفلاحية المندمجة,1,448.97294,تقدم الإنجاز 100%,Feuil1
2013,تجهيز محطة الضخ للبئر العميقة بسقي المتلوي بالطاقة الشمسية,البرنامج الوطني,1,120.5,تقدم الإنجاز 100%,Feuil1
2014,حفر بئر للإستغلال بريشة النعام 6,برنامج المجلس الجهوي (القسط الأول لشركة فسفاط قفصة),1,300.0,"تقدم الإنجاز 100% (7,5 ل/ث – 1غ/ل)",Feuil1
2014,حفر بئر الإستغلال العجرمية (800 م),برنامج المجلس الجهوي (القسط الأول لشركة فسفاط قفصة),1,903.0,تقدم الإنجاز 5%(تعطلت الاشغال بسبب المواطنين),Feuil1
2016,إعادة تهيئة شبكة تزويد المنطقة السقوية  بريشة النعام بمياه الري من رؤوس العيون,البرنامج الوطني,1,2998.875,تقدم الإنجاز 40% . الأشغال متوقفة على مستوى gorge  الثالجة  (وتم فتح اعتمادات إضافية 268 أ.د في شهر جويلية لخلاص معلوم شركة السكك الحديدية وحاليا الأشغال متوقفة الأضرار الناتجة عن الأمطار),Feuil1
2017,استصلاح شبكات وتجهيزات الري لواحة وادي السهيلي,البرنامج الوطني,60 هك,900.0,انطلاق الأشغال,Feuil1
2018,بعث مشروع لتدعيم التنمية الفلاحية بمناطق السقي الموجودة جنوب ولاية قفصة بكلفة 111 مليون دينار,,,440.0,تم اقتراح الدراسات الأولية للمشروع  في سنة 2018,Feuil1
2020,استصلاح شبكات وتجهيزات الري لواحة وادي النقاز,البرنامج الوطني,70 هك,1100.0,برنامج  سنة 2020: إنتهت الدراسة,Feuil1
