سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2012.0,تعويض االبئر العميقة سقدودCT2 مكرر (برنامج DGGR),البرنامج الوطني على مستوى مركزي,1.0,1091.06,تقدم الإنجاز 100 % (65 ل/ث),Feuil1
2012.0,إحداث منطقة سقوية هنشير الصنب (30 هك),البرنامج الوطني,1.0,400.0,في المرحلة الثانية من الدراسة,Feuil1
2012.0,إحداث منطقة سقوية الصوالحية (40 هك),البرنامج الوطني,1.0,679.0,تقدم الإنجاز 100 %,Feuil1
2013.0,حفر بئر عميقة إستكشافية بهنشير شيحة (PISEAU2),المشروع الثاني للتنمية الفلاحية المندمجة,1.0,486.91,تقدم الإنجاز 100% (بئر سلبية),Feuil1
2011.0,إعادة تهيئة المنطقة السقوية بمنطقة الحمام 1 تبديت (35 هك),برنامج التنمية المندمجة,1.0,289.218,تقدم الإنجاز 100%,Feuil1
2014.0,حفر بئر تعويضية للري بسقدود CT6,برنامج المجلس الجهوي,1.0,1100.0,تقدم الإنجاز 100 %             (55 ل/ث و 3 غ/ل),Feuil1
2016.0,حفر بئر تعويضية للري بسقدود CT5 مكرر,البرنامج الوطني,1.0,1520.0,تقدم الإنجاز 100 % (55 ل/ث),Feuil1
2016.0,حفر بئر سيدي منصور 2 (300م),برنامج مقاومة الإرهاب,1.0,450.0,"تقدم الإنجاز 100 %                        (8 ل/ث و 1,8  غ/ل)",Feuil1
2017.0,حفر بئر  بالضهيرة (400م),مشروع التنمية الفلاحية المندمجة بالشريط الحدودي,1.0,400.0,بئر سلبية 40%,Feuil1
2017.0,حفر بئر بسقدود PQ(250م),المجلس الجهوي (شركة فسفاط قفصة),1.0,190.0,أشغال متوقفة بسبب اختلاف المواطنين في تحديد الموقع,Feuil1
,,,,6606.188,,Feuil1
