سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2011.0,حفر بئر الشطايبية- البناعسية,AFD,1.0,136.05,تقدم الإنجاز 100%,زانوش
2012.0,حفر بئر  العزعازية بالبهلولة,Piseau 2,1.0,158.315,"تقدم الإنجاز 100% (1,6 غ /ل و 20 ل/ث)",زانوش
2011.0,حفر البئر العميقة باطن زانوش,تدعيم PDAI,1.0,119.4,"بئر إيجابية (10 ل/ث ملوحة 3,2 غ/ل)",زانوش
2011.0,تعهد المنطقة السقوية باطن زانوش (20 هك),Piseau 2,1.0,297.0,تقدم الإنجاز 100%,زانوش
2012.0,تزويد منطقة العواينية بالماء الصالح للشراب,BAD,1.0,978.0,تقدم الإنجاز 100% (في انتظار خلاص الدين لدى STEG لتجربة الشبكة),زانوش
2012.0,تعهد مشروع الماء الصالح للشراب بمنشر الظواهر,BAD,1.0,245.0,تقدم الإنجاز 100%,زانوش
2012.0,تعهد مشروع الماء الصالح للشراب أولاد دلاج,BAD,1.0,982.5,تقدم الإنجاز 100%,زانوش
2012.0,تمديد شبكتي الماء ص ش -البهلولة AFD,AFD,1.0,122.45,تقدم الإنجاز 100%,زانوش
2012.0,إحداث منطقة سقوية الفاريت,البرنامج الوطني,1.0,377.13626,تقدم الإنجاز 100%,زانوش
2012.0,تدعيم منطقة سقوية عبد الصادق,البرنامج الوطني,1.0,156.67,تقدم الإنجاز 100%,زانوش
2012.0,تزويد منطقة أم العلق  بالماء الصالح للشراب,BAD,1.0,1486.0,تقدم الإنجاز 100% (وفي انتظار التجربة بمولد كهربائي),زانوش
2014.0,حفر بئر للماء الصالح للشرب بالجديدة الحصب  (400م),مشروع شمال الولاية,1.0,433.1,تقدم الإنجاز 100% (10ل/ث  2 غ/ل),زانوش
2014.0,حفر بئر بالعرعارية-القطيات- الأفاريت (300م),مشروع شمال الولاية,1.0,307.7,"تقدم الإنجاز 100%  (11ل/ث  3,2 غ/ل)",زانوش
2011.0,تزويد منطقة الجديدة الجرارة بالماء ص ش (القسط الأول),المشروع الجهوي للتنمية,1.0,249.511,تقدم الإنجاز 100%,زانوش
2014.0,تزويد منطقة الجديدة الجرارة للقسط الثاني بالماء ص ش,المشروع الجهوي للتنمية,1.0,500.0,تقدم الإنجاز 100%,زانوش
2013.0,قسط عدد 2 : مد شبكة الماء الصالح للشراب بالخلايفية والجديدة  واولاد بلقاسم  والمناصرية والصوادقية,المشروع الجهوي للتنمية,1.0,222.666,تقدم الإنجاز 100%,زانوش
2015.0,حفر بئر للماء الصالح للشرب بالجديدة الجرارة 2,البرنامج الوطني,1.0,403.75,تقدم الإنجاز 100 %  (بئر سلبية),زانوش
2015.0,مد شبكة الماء الصالح للشرب العزعازية,المشروع الجهوي للتنمية,1.0,500.0,تقدم الإنجاز 100%,زانوش
2015.0,مد شبكة الماء الصالح للشرب بمشروع أولاد مبارك,المشروع الجهوي للتنمية,1.0,500.0,تقدم الإنجاز 100%,زانوش
2015.0,تهيئة مسالك فلاحية,مشروع شمال الولاية,,1600.0,"تقدم الإنجاز 100 % (  7,5 كلم مسلك في اتجاه زانوش- الثلايجية و 4 كلم مسلك زانوش في اتجاه القطيات )",زانوش
2016.0,احداث منطقة للري التكميلي بباطن زانوش 200 هك,البرنامج الوطني,1.0,426.07558,تقدم الإنجاز 100 %,زانوش
2016.0,مد شبكة لتزويد منطقة الشطايبية بالماء الصالح للشرب (1100 ساكن),البرنامج الوطني,1.0,1300.0,تم التخلي عن تمويل المشروع بعد تحليل المياه (لا يمكن تمويله من طرف  BAD)وتمت برمجة البئر للري التكميلي,زانوش
2016.0,تعهد مشروع الماء الصالح للشرب عبد الصادق (1200ساكن),البرنامج الوطني,1.0,1000.0,ألغي ماء غير صالح للشرب,زانوش
2016.0,احداث  البئر العميقة  للماء الصالح للشرب أولاد حامد (300م),مشروع شمال الولاية,1.0,230.0,"تقدم الإنجاز 100% (6 ل/ث  و الملوحة 2,5 غ/ل)",زانوش
2016.0,احداث  البئر العميقة للماء الصالح للشرب اولاد بلقاسم (500م),البرنامج الوطني,1.0,593.0,تقدم الإنجاز 100% (9 ل/ث ملوحة 2 غ/ل),زانوش
2016.0,تهيئة مسالك فلاحية,البرنامج الوطني,,2300.0,"القسط عدد 1  : تقدم الإنجاز 100%(  4,3 كلم مسلك بئر الزلوف - العلايفية ، 3,2 كلم مسلك زانوش-  عظلة القراف  و 4,4 كلم مسلك أم العلق - سوايسية  و 4 كلم مسلك أم العلق - الهبايلية",زانوش
2017.0,إحداث بئر البناعسية,المجلس الجهوي بتمويل شركة فسفاط قفصة (القسط الثاني),1.0,170.0,"تقدم الإنجاز 100%(5ل/ث, 3,5غ/ل)",زانوش
2017.0,إحداث بئر الجرارة 3,,1.0,260.0,تقدم الإنجاز 100%(بئر سلبية),زانوش
2017.0,تهيئة مسالك فلاحية داخل المناطق السقوية (non butimé),مشروع شمال الولاية,,900.2,"تقدم الإنجاز : 80%(3,3 كلم بمنطقة عبد الصادق - 2 كلم بهنشير لفراح - 0,7 كلم بمقسم السند - 2,2 كلم ببوشمال - 1,2 كلم بزانوش)",زانوش
,,,,16954.52384,,زانوش
