سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2012,تزويد منطقة الحمايدية  بالماء الصالح للشراب,BAD,1.0,837.0,تقدم الإنجاز 100%,Feuil1
2012,تزويد منطقة الرحايلية  بالماء الصالح للشراب,BAD,1.0,1239.0,(ماء غير صالح للشرب مع وجود إشكال في كيفية الإستغلال وتحديد المنتفعين ) تم فسخ الصفقة بالتراضي,Feuil1
2012,إحداث منطقة للري التكميلي بالشبيبة (50 هك),البرنامج الوطني,1.0,277.2292,تقدم الإنجاز 100%,Feuil1
2012,تعهد المنطقة السقوية المتكيدس  (45 هك),البرنامج الوطني,1.0,773.63,تقدم الإنجاز 100%,Feuil1
2012,تزويد مواطني منطقة النوايل - اولاد بلقاسم والحناشية بالماء الصالح للشرب وتمديد شبكة وادي الماجن,AFD,1.0,137.15,تقدم الإنجاز 100%,Feuil1
2011,البئر الإستكشافية اولاد احمد بن سعد,PISEAU 2,1.0,164.8,"تقدم الإنجاز 100% (20ل/ث 2,6غ/ل)",Feuil1
2011,حفر بئر للري : المتكيدس (العبايدية- الخلايفية),البرنامج الوطني,1.0,136.3,تقدم الإنجاز 100%,Feuil1
2012,إحداث المنطقة السقوية  الزعابطية (50 هك),البرنامج الوطني,1.0,494.0,تقدم الإنجاز 100%,Feuil1
2012,إحداث المنطقة السقوية  اولاد زيد (50 هك),البرنامج الوطني,1.0,500.0,تقدم الإنجاز 100%,Feuil1
2012,أشغال المحافظة على المياه والتربة,AFD,1.0,519.2,تقدم الإنجاز 100%,Feuil1
2012,حفر البئر الإستكشافية أولاد صالح 2,البرنامج الوطني,1.0,225.0,تقدم الإنجاز 100%        (21 ل/ث),Feuil1
2012,حفر بئر بالمتكيدس الخذايرية,البرنامج الوطني,1.0,181.89,تقدم الإنجاز 100%      (1غ/ل و16 ل/ث),Feuil1
2012,حفر بئر بالمريطبة,البرنامج الوطني,1.0,193.03,تقدم الإنجاز 100%,Feuil1
2017,احداث منطقة سقوية للري التكميلي المريطبة (200هك),البرنامج الوطني,,700.0,"انطلقت الاشغال مع مكتب المراقبة (تقدم الاشغال80%)الكهربة:في انتظار التعهد بالاعتمادات التكميلية,التجهيز:وقع التزود وحاليا الاشغال متوقفة",Feuil1
2012,حفر بئر تعويضية بالفج,البرنامج الوطني,1.0,109.45,"تقدم الإنجاز 100%         (12 ل/ث-1,2غ/ل)",Feuil1
2013,حفر بئر بالحناشية,البرنامج الوطني,1.0,173.0,تقدم الإنجاز 100%,Feuil1
2013,حفر بئر للماء الصالح للشرب بمنزل ميمون,البرنامج الوطني,1.0,172.962,تقدم الإنجاز 100 %,Feuil1
2014,حفر بئر بالرحايلية,مشروع شمال الولاية,1.0,272.72,تقدم الإنجاز 100%       (15 ل/ث و1،2 غ/ل),Feuil1
2014,حفر بئر قرار النوايل المزارة,مشروع شمال الولاية,1.0,202.3,تقدم الإنجاز 100 %         (18 ل/ث),Feuil1
2014,حفر بئر بالعبادلية أولاد زيد (400م),مشروع شمال الولاية,1.0,433.075,تقدم الإنجاز 100 %          ( 4ل/ث),Feuil1
2014,إحداث منطقة سقوية للري التكميلي  بمنطقة منزل ميمون(100 هك),برنامج التنمية المندمجة,1.0,586.5,تم الاعلان عن طلب العروض للمرة الثانية,Feuil1
2014,كهربة آبار سطحية خاصة بمنطقة السواعي (21 بئرا),برنامج التنمية المندمجة,21.0,122.0,بصدد تحديد المنتفعين والدراسة,Feuil1
2011,تزويد منطقة أولاد وهيبة الغمايشية أولاد علي القطاري والنوايل  عضلة الرابطة بالماء ص ش,المشروع الجهوي للتنمية,1.0,300.0,تقدم الإنجاز 100%,Feuil1
2014,حفر بئر الإستغلال المتكيدس (الصغايرية البيباي),برنامج المجلس الجهوي,1.0,250.0,تقدم الإنجاز 100% (18 ل/ث و1غ/ل),Feuil1
2015,حفر بئر للماء الصالح للشراب أولاد وهيبة,مشروع شمال الولاية,1.0,330.0,تقدم الإنجاز 20%,Feuil1
2015,احداث وتعهد المنطقة السقوية بأولاد صالح 1,مشروع شمال الولاية,,600.0,تقدم الإنجاز 100%,Feuil1
2015,احداث منطقة سقوية بأولاد احمد بنسعد,مشروع شمال الولاية,,470.0,تقدم الإنجاز 100% (في القبول الوقتي للأشغال),Feuil1
2015,تهيئة وصيانة شبكات الماء الصالح للشرب بالحناشية,مشروع شمال الولاية,1.0,385.0,تقدم الإنجاز 100%,Feuil1
2015,احداث بئر تعويضية  بالزعابطية مكرر,البرنامج الوطني,1.0,300.0,تقدم الإنجاز 100%          (23 ل/ث),Feuil1
2015,تهيئة مسالك فلاحية,مشروع شمال الولاية,,3034.5,"نسبة تقدم الإنجاز 100% ( 5,5  كلم مسلك الزمول السعايدية -  4,5 كلم مسلك السواعي اولاد موسى  - 6,5 كلم مسلك عظلة مسعود الجلايلية - 4,5 كلم مسلك RN3 أولاد الضاوي)",Feuil1
2017,احداث بئر تعويضية  بالزعابطية مكرر  للماء الصالح للشرب,البرنامج الوطني,1.0,320.0,"تقدم الإنجاز 100% (17,5ل/ث 1,2 غ/ل)",Feuil1
2014,حفر بئرهنشير بوعلام الشبيبة,مشروع شمال الولاية,1.0,212.91,تقدم الإنجاز 100%         (24 ل/ث),Feuil1
2016,احداث  بئر بسوق العيثة منزل ميمون,مشروع شمال الولاية,1.0,280.0,تقدم الانجاز 100% (6ل/ث),Feuil1
2016,احداث  بئر بالشبيبة 150 م,مشروع شمال الولاية,1.0,170.0,تقدم الإنجاز 100% (24ل/ث),Feuil1
2016,احداث  بئر برأس الحصب 150 م,مشروع شمال الولاية,1.0,170.0,تقدم الإنجاز 100% (14ل/ث 2 غ/ل),Feuil1
2016,إحداث بئر للماء الصالح للشراب بالمؤسسات التربوية (بئر بأولاد عمران),البرنامج الوطني,1.0,69.92,"تقدم الإنجاز 100%             (6 ل/ث و1,5 غ/ل)",Feuil1
2016,إحداث بئر للماء الصالح للشراب بالمؤسسات التربوية (بئر بالسواعي),البرنامج الوطني,1.0,69.92,"تقدم الإنجاز 100%      (8ل/ث و1,5 غ/ل)",Feuil1
2016,احداث منطقة للري التكميلي 200 هك العبادلية الخلايفية,البرنامج الوطني,,311.0421,%100 ( البئر بصدد التجهيز الكهربة:تمت ),Feuil1
2016,تعهد مشروع الماء الصالح للشراب الزعابطية (600 ساكن),البرنامج الوطني,1.0,300.0,préavis,Feuil1
2016,تعهد مشروع الماء الصالح للشراب اولاد زيد,البرنامج الوطني,1.0,700.0,ألغي لعدم التزام المواطنين,Feuil1
2016,تهيئة مسالك فلاحية,البرنامج الوطني,,2775.0,"تقدم الإنجاز 100% ( 2,9  كلم مسلك أولاد دلال 1 -  1,7  كلم مسلك أولاد دلال 2 - 3,5 كلم مسلك النوايل 1 -  5,5 كلم مسلك النوايل 2 - - 4,9 كلم مسلك منزل زرواني - اولاد احمد بنسعد)",Feuil1
2017,تهيئة مسالك فلاحية (non butimé) داخل المنطقة السقوية أولاد موسى,مشروع شمال الولاية,,466.218,تقدم الإنجاز :50%,Feuil1
2017,تهيئة مسالك فلاحية,مشروع شمال الولاية,,608.7,"تقدم الإنجاز :50%(4,5 كلم بمسلك أولاد احمد بن سعد)",Feuil1
2017,إحداث منطقة سقوية مكثفة 30 هك الخذايرية,البرنامج الوطني,,700.0,تجهيز البئر:بصدد التزود- الكهربة:بصدد فتح الاعتمادات التكميلية ) 100%,Feuil1
2017,إحداث  بئر بفالتة مباركة بمنزل ميمون 250 م,المجلس الجهوي (ممول عن طريق شركة فسفاط قفصة),1.0,190.0,تقدم الانجاز 100% (30ل/ث),Feuil1
2017,إحداث  بئر باولاد احمد بنسعد 250 م,المجلس الجهوي (ممول عن طريق شركة فسفاط قفصة),1.0,190.0,بصدد اكساء البئر 60%,Feuil1
2017,إحداث  بئر بقرار النوايل 250 م,المجلس الجهوي (ممول عن طريق شركة فسفاط قفصة),1.0,190.0,"100%(12ل/ث و 2,6 غ/ل)",Feuil1
2017,إحداث  بئر نفيضة الذيب بالمتكيدس 200 م,المجلس الجهوي (ممول عن طريق شركة فسفاط قفصة),1.0,180.0,تقدم الإنجاز 100% (13ل/ث 1 غ/ل),Feuil1
2017,إحداث  بئر بالزعابطية3( 300م),المجلس الجهوي (ممول عن طريق شركة فسفاط قفصة),1.0,210.0,"تقدم الانجاز 100 % (13ل/ث  2,6غ/ل)",Feuil1
2016,تعهد شبكة الماء الصالح للشراب لمشروع الزعابطية (BAD),BAD,1.0,300.0,"انتهت الدراسة, بصدد اعداد كراس الشروط",Feuil1
2019,استصلاح المنطقة السقوية قرعة اولاد موسى,البرنامج الوطني,,800.0,اوقفت الدراسة في مرحلتها الاولى لاعتراض المواطنين,Feuil1
