annee,ressources,ressources_disponibles_million_m3_an,ressources_exploitees_million_m3_an,taux_dexploitation,nombre_de_puits,nombre_de_puits_equipes,feuille
2020,المياه الجوفية,128.39999999999998,173.47,1.3510124610591903,9182,6945.0,Ressources en eau
2020,المائدة السطحية,33.3,52.25,1.5690690690690692,8802,6695.0,Ressources en eau
2020,المائدة العميقة,95.1,118.405,1.2450578338590959,693,495.0,Ressources en eau
2020,مياه السيلان,100.0,49.6,0.496,,,Ressources en eau
2020,المياه المستعملة,2.4,1.14,0.475,,,Ressources en eau
2020,المجموع,230.79999999999998,224.20999999999998,0.9714471403812824,9182,7190.0,Ressources en eau
2021,المياه الجوفية,128.39999999999998,168.38,1.3113707165109036,9719,7611.0,Ressources en eau
2021,المائدة السطحية,33.3,53.52,1.6072072072072074,8906,6991.0,Ressources en eau
2021,المائدة العميقة,95.1,114.86,1.2077812828601473,813,620.0,Ressources en eau
2021,مياه السيلان,100.0,49.6,0.496,,,Ressources en eau
2021,المياه المستعملة,2.4,1.141,0.4754166666666667,,,Ressources en eau
2021,المجموع,230.79999999999998,219.12099999999998,0.949397746967071,9719,7611.0,Ressources en eau
2022,المياه الجوفية,128.39999999999998,192.86,1.5020249221183803,9725,6991.0,Ressources en eau
2022,المائدة السطحية,33.3,54.39,1.6333333333333335,8906,6991.0,Ressources en eau
2022,المائدة العميقة,95.1,138.47,1.4560462670872767,819 (+966 عشوائي),,Ressources en eau
2022,مياه السيلان,100.0,49.6,0.496,,,Ressources en eau
2022,المياه المستعملة,2.4,1.0,0.4166666666666667,,,Ressources en eau
2022,المجموع,230.79999999999998,243.46,1.0548526863084924,9725,6991.0,Ressources en eau
2023,المياه الجوفية,128.39999999999998,192.86,1.5020249221183803,9725,6991.0,Ressources en eau
2023,المائدة السطحية,33.3,54.39,1.6333333333333335,8906,6991.0,Ressources en eau
2023,المائدة العميقة,95.1,138.47,1.4560462670872767,819 (+966 عشوائي),,Ressources en eau
2023,مياه السيلان,100.0,49.6,0.496,,,Ressources en eau
2023,المياه المستعملة,2.4,1.6,0.6666666666666667,,,Ressources en eau
2023,المجموع,230.79999999999998,244.06,1.0574523396880418,9725,6991.0,Ressources en eau
2024,المياه الجوفية,128.39999999999998,192.86,1.5020249221183803,9725,6991.0,Ressources en eau
2024,المائدة السطحية,33.3,54.39,1.6333333333333335,8906,6991.0,Ressources en eau
2024,المائدة العميقة,95.1,138.47,1.4560462670872767,819 (+966 عشوائي),,Ressources en eau
2024,مياه السيلان,100.0,49.6,0.496,,,Ressources en eau
2024,المياه المستعملة,2.4,1.0,0.4166666666666667,,,Ressources en eau
2024,المجموع,230.79999999999998,243.46,1.0548526863084924,9725,6991.0,Ressources en eau
