المشروع,الشركة,المعتمدية,اسم_البير,عمق_الحفرم,الدفق_ل_ث,عمق_المنسوب_الماييم,الانخفاض_متر,الملوحة_غرام_لتر,feuille
مشروع التنمية الفلاحية المندمجة بشمال ولاية قفصة لسنة 2014,التجهيز المائي,السند,الجديدة الحصب,372.0,10.0,26.27,125.0,2.0,Feuil1
التنمية المندمجة بولاية قفصة لسنة 2014,شركة بلحسن,سيدي عيش,سيدي عيش المركز 2,232.0,12.0,94.47,8.0,0.8,Feuil1
البرنامج الجهوي لسنة 2014,التجهيز المائي,أم العرائس,برج رابح 02,,2.5,122.0,23.0,1.2,Feuil1
مشروع التنمية الفلاحية المندمجة بشمال ولاية قفصة لسنة 2016,سلامة للحفر و الصيانة,قفصة الشمالية,سوق العيثة منزل ميمون,210.0,54.0,54.0,35.0,1.0,Feuil1
مشروع التنمية الفلاحية المندمجة بشمال ولاية قفصة لسنة 2016,الاحياء,زانوش,اولاد حامد,300.0,6.0,66.0,53.0,2.6,Feuil1
البنك الافريقي للتنمية  لسنة 2017,الاحياء,السند,السند الجبل,250.0,8.0,109.0,4.0,1.7,Feuil1
البرنامج الوطني لسنة 2017 (تعويض),التنقيب عن المياه,زانوش,البهلولة مكرر,143.63,35.0,44.0,1.0,1.2,Feuil1
البرنامج الوطني   (احداث ابار عميقة للري ) لسنة 2017,الاحياء,ام العرائس,هنشير العزازة,212.0,25.0,48.0,4.0,2.0,Feuil1
البرنامج الوطني   (احداث ابار عميقة للري ) لسنة 2017,نيزار,سيدي عيش,العوانسية,400.0,17.0,94.0,7.0,1.6,Feuil1
البرنامج الوطني (مشروع التنمية الريفية المندمجة للشريط الحدودي) لسنة 2017,نيزار,الرديف,الظهيرة,,,,,,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2017,التجهيز المائي,قفصة الجنوبية,العظلة الحمراء  تيرونيان,500.0,20.0,144.3,11.0,1.0,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2018,التجهيز المائي,قفصة الجنوبية,هنشير قطيف تيرونيان,500.0,6.0,145.0,35.0,3.0,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2019,الاحياء,السند,البياضة 4,,4.0,131.0,,,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2020,محمد الهادي الحلايسي,قفصة الشمالية,الزعابطية 3,340.0,13.0,55.0,50.0,2.6,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2021,محمد الهادي الحلايسي,قفصة الشمالية,نفيضة الذيب بالمتكيدس,202.0,13.0,55.0,73.0,1.0,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2022,محمد الهادي الحلايسي,قفصة الشمالية,قرار النوايل 2,246.0,12.0,53.7,57.0,2.6,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2023,محمد الهادي الحلايسي,قفصة الشمالية,فالتة مباركة بمنزل ميمون,136.0,30.0,72.0,1.0,1.8,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2024,نيزار,سيدي عيش,البزاينية,492.0,12.0,95.0,25.0,0.6,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2025,نيزار,سيدي عيش,الفطايمية,255.0,12.0,86.0,8.0,1.0,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2026,الاحياء,السند,الصمايرية 3,220.0,28.0,53.0,37.0,0.6,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2027,نيزار,سيدي عيش,الصغايرية,250.0,17.0,78.0,51.0,1.2,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2028,الاحياء,زانوش,البناعسيىة,200.0,5.0,70.0,64.0,3.4,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2029,عبد الوهاب المرزوقي,قفصة الجنوبية,GSR 9,200.0,16.0,35.0,35.0,2.6,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2030,عبد الوهاب المرزوقي,القصر,سيدي سالم 2,201.0,1.0,54.7,,,Feuil1
برنامج دعم التنمية بولاية قفصة لسنة 2031,عبد الوهاب المرزوقي,قفصة الجنوبية,سد العرش بالطفل,200.0,2.5,30.0,144.0,5.4,Feuil1
