annee,delegation,nombre_de_barrages,capacite_mm3_de_barrages,nombre_de_barrages_collinaires,capacite_mm3_de_barrages_collinaires,nombre_de_lacs_collinaires,capacite_mm3_de_lacs_collinaires,feuille
2023,Jendouba,,,0,0.0,4,0.208,Feuil1
2023,Jendouba Nord,,,3,3.74,10,0.82,Feuil1
2023,bousalem,,,1,0.46,4,0.19,Feuil1
2023,Baltabouauen,,,3,2.6,7,0.435,Feuil1
2023,Tabarka,3,114.96,0,0.0,0,0.0,Feuil1
2023,Aïn Draham,1,64.7,3,0.51,0,0.0,Feuil1
2023,Fernana,2,202,4,1.041,9,0.565,Feuil1
2023,Ghardimao,,,1,1.0,4,0.287,Feuil1
2023,Oued Mliz,,,2,0.15,2,0.095,Feuil1
2023,Total,6,381.65999999999997,17,9.501000000000001,40,2.6,Feuil1
2024,Jendouba,,,0,0.0,4,0.208,Feuil1
2024,Jendouba Nord,,,3,3.74,10,0.82,Feuil1
2024,bousalem,,,1,0.46,4,0.19,Feuil1
2024,Baltabouauen,,,3,2.6,7,0.435,Feuil1
2024,Tabarka,3,114.96,0,0.0,0,0.0,Feuil1
2024,Aïn Draham,1,64.7,3,0.51,0,0.0,Feuil1
2024,Fernana,2,202,4,1.041,9,0.565,Feuil1
2024,Ghardimao,,,1,1.0,4,0.287,Feuil1
2024,Oued Mliz,,,2,0.15,2,0.095,Feuil1
2024,Total,6,381.65999999999997,17,9.501000000000001,40,2.6,Feuil1
