annee,delegation,nombre_gda_eau_potable,nombre_des_familles_gda_eau_potable,nombre_gda_irriguation,superficie_gda_irriguation,nombre_gda_forets,beneficiaires_gda_forets,nombre_gda_developpement,beneficiaires_gda_developpement,feuille
2023,Jendouba,2,123,0,0,0,0,3,55,Feuil2
2023,Jendouba Nord,3,1143,6,330,1,100,2,141,Feuil2
2023,bousalem,9,1855,0,0,0,0,1,59,Feuil2
2023,Baltabouauen,8,2500,2,150,0,0,2,103,Feuil2
2023,Tabarka,10,1783,0,0,9,50,3,234,Feuil2
2023,Aïn Draham,9,1913,1,74,9,737,6,694,Feuil2
2023,Fernana,11,3402,3,146,3,215,8,969,Feuil2
2023,Ghardimaou,10,1584,1,60,3,243,8,384,Feuil2
2023,Oued Mliz,7,1157,10,925,0,0,1,100,Feuil2
2024,Jendouba,2,123,0,0,0,0,3,55,Feuil2
2024,Jendouba Nord,3,1143,6,330,1,100,2,141,Feuil2
2024,bousalem,9,1855,0,0,0,0,1,59,Feuil2
2024,Baltabouauen,8,2500,2,150,0,0,2,103,Feuil2
2024,Tabarka,10,1783,1,40,2,256,3,234,Feuil2
2024,Aïn Draham,9,1913,1,74,9,737,6,694,Feuil2
2024,Fernana,11,3402,3,146,2,215,8,969,Feuil2
2024,Ghardimaou,10,1584,1,60,2,243,8,384,Feuil2
2024,Oued Mliz,7,1157,10,925,0,0,1,100,Feuil2
