annee,type_de_navire,production_tonne,nombre_de_navires_de_peche,feuille
2010,navire_de_peche_cotiere,204.6,117.0,Feuil1
2010,navire_de_peche_profond,598.0,8.0,Feuil1
2010,navire_de_peche_avec_des_lumieres,105.9,2.0,Feuil1
2010,navire_de_peche_au_barrage,28.0,4.0,Feuil1
2009,navire_de_peche_cotiere,307.8,,Feuil1
2009,navire_de_peche_profond,602.0,,Feuil1
2009,navire_de_peche_avec_des_lumieres,75.6,,Feuil1
2009,navire_de_peche_au_barrage,30.0,,Feuil1
2011,navire_de_peche_cotiere,151.0,116.0,Feuil1
2011,navire_de_peche_profond,488.0,9.0,Feuil1
2011,navire_de_peche_avec_des_lumieres,59.0,2.0,Feuil1
2011,navire_de_peche_au_barrage,14.0,5.0,Feuil1
2012,navire_de_peche_cotiere,188.0,118.0,Feuil1
2012,navire_de_peche_profond,586.0,9.0,Feuil1
2012,navire_de_peche_avec_des_lumieres,39.0,2.0,Feuil1
2012,navire_de_peche_au_barrage,8.0,7.0,Feuil1
2013,navire_de_peche_cotiere,156.0,119.0,Feuil1
2013,navire_de_peche_profond,723.0,8.0,Feuil1
2013,navire_de_peche_avec_des_lumieres,39.2,2.0,Feuil1
2013,navire_de_peche_au_barrage,8.7,7.0,Feuil1
2014,navire_de_peche_cotiere,153.0,126.0,Feuil1
2014,navire_de_peche_profond,475.0,8.0,Feuil1
2014,navire_de_peche_avec_des_lumieres,18.0,2.0,Feuil1
2014,navire_de_peche_au_barrage,7.6,8.0,Feuil1
2015,navire_de_peche_cotiere,94.0,,Feuil1
2015,navire_de_peche_profond,407.0,,Feuil1
2015,navire_de_peche_avec_des_lumieres,39.0,,Feuil1
2015,navire_de_peche_au_barrage,19.6,,Feuil1
2016,navire_de_peche_cotiere,152.0,9.0,Feuil1
2016,navire_de_peche_profond,502.0,4.0,Feuil1
2016,navire_de_peche_avec_des_lumieres,28.0,11.0,Feuil1
2016,navire_de_peche_au_barrage,19.5,125.0,Feuil1
2017,navire_de_peche_cotiere,164.0,125.0,Feuil1
2017,navire_de_peche_profond,555.0,9.0,Feuil1
2017,navire_de_peche_avec_des_lumieres,42.0,2.0,Feuil1
2017,navire_de_peche_au_barrage,13.3,11.0,Feuil1
2019,navire_de_peche_cotiere,196.0,122.0,Feuil1
2019,navire_de_peche_profond,624.5,12.0,Feuil1
2019,navire_de_peche_avec_des_lumieres,23.0,3.0,Feuil1
2019,navire_de_peche_au_barrage,17.2,8.0,Feuil1
2020,navire_de_peche_cotiere,206.0,146.0,Feuil1
2020,navire_de_peche_profond,567.6,11.0,Feuil1
2020,navire_de_peche_avec_des_lumieres,84.0,3.0,Feuil1
2020,navire_de_peche_au_barrage,13.4,8.0,Feuil1
2021,navire_de_peche_cotiere,254.0,142.0,Feuil1
2021,navire_de_peche_profond,649.0,11.0,Feuil1
2021,navire_de_peche_avec_des_lumieres,41.0,3.0,Feuil1
2021,navire_de_peche_au_barrage,15.4,8.0,Feuil1
2022,navire_de_peche_cotiere,349.0,147.0,Feuil1
2022,navire_de_peche_profond,580.0,11.0,Feuil1
2022,navire_de_peche_avec_des_lumieres,12.0,4.0,Feuil1
2022,navire_de_peche_au_barrage,16.3,8.0,Feuil1
2023,navire_de_peche_cotiere,267.0,155.0,Feuil1
2023,navire_de_peche_profond,689.0,8.0,Feuil1
2023,navire_de_peche_avec_des_lumieres,10.0,3.0,Feuil1
2023,navire_de_peche_au_barrage,15.18,7.0,Feuil1
2024,navire_de_peche_cotiere,86.0,155.0,Feuil1
2024,navire_de_peche_profond,474.0,5.0,Feuil1
2024,navire_de_peche_avec_des_lumieres,9.5,3.0,Feuil1
2024,navire_de_peche_au_barrage,6.6,6.0,Feuil1
