annee,delegation,nombre_dunites_de_rayonnement_agricoles,nombre_de_cellules_de_la_vulgarisation_agricole,feuille
2022,Jendouba,9,1,Feuil1
2022,Jendouba Nord,3,1,Feuil1
2022,bousalem,15,2,Feuil1
2022,Baltabouauen,6,1,Feuil1
2022,Tabarka,5,1,Feuil1
2022,Aïn Draham,7,1,Feuil1
2022,Fernana,7,1,Feuil1
2022,Ghardimaou,9,1,Feuil1
2022,Oued Mliz,5,1,Feuil1
2022,Total,66,10,Feuil1
2023,Jendouba,9,1,Feuil1
2023,Jendouba Nord,3,1,Feuil1
2023,bousalem,15,2,Feuil1
2023,Baltabouauen,6,1,Feuil1
2023,Tabarka,5,1,Feuil1
2023,Aïn Draham,7,1,Feuil1
2023,Fernana,7,1,Feuil1
2023,Ghardimaou,9,1,Feuil1
2023,Oued Mliz,5,1,Feuil1
2023,Total,66,10,Feuil1
