campagne_agricole,delegation,cereales,pomme_de_terre,tomates,autre_cultures_maraicheres,legumineuses,fourrages,arboricultures,oliviers,argumes,cultures_industrielles,feuille
2021/2022,Jendouba,339800.0,12682.0,21600.0,45340.0,32665,52114.0,1450.0,1430,160.0,190.0,Feuil1
2021/2022,Jendouba Nord,229920.0,1924.0,3000.0,5670.0,23405,48382.0,1150.0,2618,190.0,50.0,Feuil1
2021/2022,bousalem,239410.0,10340.0,16380.0,14865.0,24420,78000.0,2350.0,1756,4023.0,720.0,Feuil1
2021/2022,Baltabouauen,218725.0,,,,18200,32400.0,1950.0,1780,900.0,180.0,Feuil1
2021/2022,Tabarka,4507.0,192.0,240.0,942.0,1010,23284.0,1100.0,312,1630.0,49.0,Feuil1
2021/2022,Aïn Draham,20240.0,336.0,720.0,1408.0,1430,32200.0,704.0,382,320.0,305.0,Feuil1
2021/2022,Fernana,375092.0,2498.0,240.0,1694.0,48567,61520.0,1934.0,1017,150.0,210.0,Feuil1
2021/2022,Ghardimaou,273956.0,208.0,10800.0,3540.0,4110,43530.0,2000.0,953,180.0,180.0,Feuil1
2021/2022,Oued Mliz,198350.0,1630.0,9000.0,2949.0,9358,45200.0,1279.0,704,850.0,215.0,Feuil1
2021/2022,Total,1900000.0,29810.0,61980.0,76408.0,163165,416630.0,13917.0,10952,8403.0,2098.78,Feuil1
2022/2023,Jendouba,91249.0,11500.0,8500.0,37711.0,3550,11504.0,843.38,1423,133.228,7744.0,Feuil1
2022/2023,Jendouba Nord,39004.0,1340.0,2250.0,6305.0,2075,105.0,457.44,2572,161.27,,Feuil1
2022/2023,bousalem,259695.0,8372.0,3450.0,10368.0,848,22443.0,3086.0,1798,3148.39,9752.0,Feuil1
2022/2023,Baltabouauen,,,,,4520,89725.0,1071.9,3781,848.453,3445.0,Feuil1
2022/2023,Tabarka,1385.0,100.0,0.0,560.0,1840,905.0,256.58,1256,1500.57,1235.0,Feuil1
2022/2023,Aïn Draham,9897.0,120.0,0.0,159.0,1611,1340.0,305.1,870,266.45,870.0,Feuil1
2022/2023,Fernana,155807.0,2700.0,150.0,728.0,37788,64310.0,71.6,1819,112.2,453.0,Feuil1
2022/2023,Ghardimaou,38420.0,144.0,8000.0,854.0,1225,1014.0,2307.0,2155,119.2,245.0,Feuil1
2022/2023,Oued Mliz,24543.0,600.0,11300.0,2115.0,1600,2005.0,1298.0,1517,715.225,178.0,Feuil1
2022/2023,Total,620000.0,24876.0,33650.0,58800.0,55057,193351.0,9697.0,17191,7004.986,23922.0,Feuil1
2023/2024,Jendouba,23719.7,6520.0,10500.0,32500.0,964,45547.05898499676,1020.0,834,198.0,0.0,Feuil1
2023/2024,Jendouba Nord,18513.4,1100.0,1250.0,4910.0,2244,34307.98781859443,418.0,1388,240.0,0.0,Feuil1
2023/2024,bousalem,25456.4,5320.0,2250.0,10050.0,1359,133756.02389867618,6468.0,868,4415.0,416.5,Feuil1
2023/2024,Baltabouauen,26400.0,,,,448,75124.74964905136,1298.0,2097,1315.0,0.0,Feuil1
2023/2024,Tabarka,412.2,160.0,0.0,955.0,169,1061.5476051493347,259.0,1124,1565.0,0.0,Feuil1
2023/2024,Aïn Draham,1712.1,80.0,0.0,685.0,511,2209.249798542673,317.0,800,397.0,0.0,Feuil1
2023/2024,Fernana,23126.7,2180.0,200.0,4670.0,2159,63707.21540700073,274.0,1728,115.0,0.0,Feuil1
2023/2024,Ghardimaou,16128.0,480.0,15250.0,4040.0,444,2097.0,2966.0,1671,188.0,0.0,Feuil1
2023/2024,Oued Mliz,8584.0,1160.0,17750.0,5020.0,857,2388.0,1814.0,907,1012.0,0.0,Feuil1
2023/2024,Total,144052.5,17000.0,47200.0,62830.0,9155,360198.83316201146,14834.0,11417,9445.0,416.5,Feuil1
