annee,delegation,production_oeufs_million_oeufs,cuir_tonne,laine_tonne,miel_tonne,lait_tonne,viande_blanche_tonne,viande_rouge_tonne,feuille
2021,Jendouba,0.0,2300.0,65.0,23000.0,5.0,30.0,55.0,production animale
2021,Jendouba Nord,0.0,2300.0,70.0,23000.0,10.0,30.0,60.0,production animale
2021,bousalem,0.0,2150.0,70.0,30000.0,8.0,30.0,45.0,production animale
2021,Baltabouauen,0.0,2100.0,180.0,35000.0,16.0,30.0,40.0,production animale
2021,Tabarka,17344800.0,1100.0,198.0,15000.0,10.0,34.0,35.0,production animale
2021,Aïn Draham,0.0,850.0,153.0,3000.0,18.0,20.0,15.0,production animale
2021,Fernana,0.0,1900.0,5.0,14000.0,19.0,33.0,15.0,production animale
2021,Ghardimaou,0.0,2600.0,1.0,7000.0,3.0,49.0,20.0,production animale
2021,Oued Mliz,0.0,1900.0,18.0,15000.0,1.0,34.0,15.0,production animale
2022,Jendouba,,,,,,,,production animale
2022,Jendouba Nord,,,,,,,,production animale
2022,bousalem,,,,,,,,production animale
2022,Baltabouauen,,,,,,,,production animale
2022,Tabarka,,,,,,,,production animale
2022,Aïn Draham,,,,,,,,production animale
2022,Fernana,,,,,,,,production animale
2022,Ghardimaou,,,,,,,,production animale
2022,Oued Mliz,,,,,,,,production animale
2023,Jendouba,1900.0,0.0,23000.0,3.0,34.0,40.0,0.0,production animale
2023,Jendouba Nord,2000.0,132.0,23000.0,8.0,32.0,40.0,0.0,production animale
2023,bousalem,1900.0,86.0,29000.0,5.0,30.0,25.0,0.0,production animale
2023,Baltabouauen,1800.0,270.0,34000.0,4.0,32.0,25.0,0.0,production animale
2023,Tabarka,900.0,495.0,15000.0,9.0,34.0,25.0,19843673.0,production animale
2023,Aïn Draham,800.0,265.0,3000.0,6.0,20.0,10.0,0.0,production animale
2023,Fernana,1700.0,52.0,14000.0,10.0,40.0,10.0,0.0,production animale
2023,Ghardimaou,2000.0,0.0,7000.0,10.0,52.0,20.0,0.0,production animale
2023,Oued Mliz,1700.0,0.0,14000.0,5.0,36.0,15.0,0.0,production animale
2024,Jendouba,0.0,38.0,34.0,2.496,23140.0,0.0,1800.0,production animale
2024,Jendouba Nord,0.0,40.0,32.0,6.42,23140.0,67.0,1900.0,production animale
2024,bousalem,0.0,24.0,30.0,4.347,29180.0,2.0,1600.0,production animale
2024,Baltabouauen,0.0,23.0,32.0,3.21,34205.0,170.0,1800.0,production animale
2024,Tabarka,,15.0,34.0,7.133,15090.0,303.0,900.0,production animale
2024,Aïn Draham,0.0,10.0,20.0,5.35,3020.0,127.0,700.0,production animale
2024,Fernana,0.0,25.0,40.0,8.56,14090.0,31.0,1900.0,production animale
2024,Ghardimaou,0.0,15.0,52.0,8.204,7045.0,0.0,1900.0,production animale
2024,Oued Mliz,0.0,10.0,36.0,4.28,14090.0,0.0,1200.0,production animale
