annee,delegation,terres_labourables_ha,parcours_ha,forets_ha,terres_agricoles_utiles_ha,terres_non_labourable_ha,superficie_totale_ha,feuille
2022,Jendouba,20380,1560,700,22640,1260,23900,Feuil2
2022,Jendouba Nord,20350,900,4300,25550,850,26400,Feuil2
2022,bousalem,30350,590,1500,32440,1200,33640,Feuil2
2022,Baltabouauen,21500,400,3700,25600,1890,27490,Feuil2
2022,Tabarka,8380,860,26000,35240,1660,36900,Feuil2
2022,Aïn Draham,9200,1510,38000,48710,1390,50100,Feuil2
2022,Fernana,19310,2170,18000,39480,1320,40800,Feuil2
2022,Ghardimaou,23120,2540,25300,50960,680,51640,Feuil2
2022,Oued Mliz,16060,170,2500,18730,600,19330,Feuil2
2023,Jendouba,20380,1560,700,22640,1260,23900,Feuil2
2023,Jendouba Nord,20350,900,4300,25550,850,26400,Feuil2
2023,bousalem,30350,590,1500,32440,1200,33640,Feuil2
2023,Baltabouauen,21500,400,3700,25600,1890,27490,Feuil2
2023,Tabarka,8380,860,26000,35240,1660,36900,Feuil2
2023,Aïn Draham,9200,1510,38000,48710,1390,50100,Feuil2
2023,Fernana,19310,2170,18000,39480,1320,40800,Feuil2
2023,Ghardimaou,23120,2540,25300,50960,680,51640,Feuil2
2023,Oued Mliz,16060,170,2500,18730,600,19330,Feuil2
2024,Jendouba,20380,1560,700,22640,1260,23900,Feuil2
2024,Jendouba Nord,20350,900,4300,25550,850,26400,Feuil2
2024,bousalem,30350,590,1500,32440,1200,33640,Feuil2
2024,Baltabouauen,21500,400,3700,25600,1890,27490,Feuil2
2024,Tabarka,8380,860,26000,35240,1660,36900,Feuil2
2024,Aïn Draham,9200,1510,38000,48710,1390,50100,Feuil2
2024,Fernana,19310,2170,18000,39480,1320,40800,Feuil2
2024,Ghardimaou,23120,2540,25300,50960,680,51640,Feuil2
2024,Oued Mliz,16060,170,2500,18730,600,19330,Feuil2
