annee,delegation,nombre,superficie_ha,superficie_irriguee_ha,postes_demploi_occasionelle_nombre_jours,postes_demploi_permanents_ouvriers,feuille
2023,Jendouba,,,,,,Feuil1
2023,Jendouba Nord,2,1007,182,7500,45,Feuil1
2023,bousalem,3,5249,1606,31200,400,Feuil1
2023,Baltabouauen,2,1393,705,19500,171,Feuil1
2023,Tabarka,,,,,,Feuil1
2023,Aïn Draham,,,,,,Feuil1
2023,Fernana,,,,,,Feuil1
2023,Ghardimaou,,,,,,Feuil1
2023,Oued Mliz,,,,,,Feuil1
2023,Total Gouvernorat,7,7649,2493,58200,616,Feuil1
2024,Jendouba,,,,,,Feuil1
2024,Jendouba Nord,2,1007,182,7500,45,Feuil1
2024,bousalem,3,5249,1606,31200,400,Feuil1
2024,Baltabouauen,2,1393,705,19500,171,Feuil1
2024,Tabarka,,,,,,Feuil1
2024,Aïn Draham,,,,,,Feuil1
2024,Fernana,,,,,,Feuil1
2024,Ghardimaou,,,,,,Feuil1
2024,Oued Mliz,,,,,,Feuil1
2024,Total Gouvernorat,7,7649,2493,58200,616,Feuil1
