annee,ain_draham,taux_approvisionnement_eau_potable,nombre_benificiaires,feuille
2023,Jendouba,92.02,35496,Feuil2
2023,Jendouba Nord,98.75,27733,Feuil2
2023,Baltabouen bousselem,99.83,53191,Feuil2
2023,Tabarka,90.1,26156,Feuil2
2023,Aïn Draham,98.1,25179,Feuil2
2023,Fernana,90.6,38943,Feuil2
2023,Ghardimaou,80.7,35972,Feuil2
2023,Oued Mliz,96.2,14828,Feuil2
2024,Jendouba,94.6,38579,Feuil2
2024,Jendouba Nord,98.18,28973,Feuil2
2024,Baltabouen bousselem,97.89,53452,Feuil2
2024,Tabarka,90.71,29116,Feuil2
2024,Aïn Draham,97.41,25244,Feuil2
2024,Fernana,94.62,42990,Feuil2
2024,Ghardimaou,80.3,44629,Feuil2
2024,Oued Mliz,96.25,15417,Feuil2
