annee,delegation,superficies_des_cereales_irrigues_ha,feuille
2013,القيروان الشمالية,1440.0,مساحة الحبوب المروية
2013,القيروان الجنوبية,3520.0,مساحة الحبوب المروية
2013,السبيخة,5260.0,مساحة الحبوب المروية
2013,الوسلاتية,180.0,مساحة الحبوب المروية
2013,الشبيكة,4030.0,مساحة الحبوب المروية
2013,حفوز,70.0,مساحة الحبوب المروية
2013,العلا,5.0,مساحة الحبوب المروية
2013,حاجب العيون,180.0,مساحة الحبوب المروية
2013,عين جلولة,,مساحة الحبوب المروية
2013,نصرالله,2650.0,مساحة الحبوب المروية
2013,منزل المهيري,,مساحة الحبوب المروية
2013,بوحجلة,2750.0,مساحة الحبوب المروية
2013,الشراردة,250.0,مساحة الحبوب المروية
2013,المجمــوع,20335.0,مساحة الحبوب المروية
2014,القيروان الشمالية,1328.0,مساحة الحبوب المروية
2014,القيروان الجنوبية,3230.0,مساحة الحبوب المروية
2014,السبيخة,6243.0,مساحة الحبوب المروية
2014,الوسلاتية,180.0,مساحة الحبوب المروية
2014,الشبيكة,4720.0,مساحة الحبوب المروية
2014,حفوز,80.0,مساحة الحبوب المروية
2014,العلا,0.0,مساحة الحبوب المروية
2014,حاجب العيون,180.0,مساحة الحبوب المروية
2014,عين جلولة,,مساحة الحبوب المروية
2014,نصرالله,2720.0,مساحة الحبوب المروية
2014,منزل المهيري,,مساحة الحبوب المروية
2014,بوحجلة,2810.0,مساحة الحبوب المروية
2014,الشراردة,250.0,مساحة الحبوب المروية
2014,المجمــوع,21741.0,مساحة الحبوب المروية
2015,القيروان الشمالية,1420.0,مساحة الحبوب المروية
2015,القيروان الجنوبية,3515.0,مساحة الحبوب المروية
2015,السبيخة,4300.0,مساحة الحبوب المروية
2015,الوسلاتية,222.0,مساحة الحبوب المروية
2015,الشبيكة,6010.0,مساحة الحبوب المروية
2015,حفوز,80.0,مساحة الحبوب المروية
2015,العلا,0.0,مساحة الحبوب المروية
2015,حاجب العيون,180.0,مساحة الحبوب المروية
2015,عين جلولة,,مساحة الحبوب المروية
2015,نصرالله,3427.0,مساحة الحبوب المروية
2015,منزل المهيري,,مساحة الحبوب المروية
2015,بوحجلة,2650.0,مساحة الحبوب المروية
2015,الشراردة,80.0,مساحة الحبوب المروية
2015,المجمــوع,21884.0,مساحة الحبوب المروية
2016,القيروان الشمالية,1630.0,مساحة الحبوب المروية
2016,القيروان الجنوبية,3550.0,مساحة الحبوب المروية
2016,السبيخة,5625.0,مساحة الحبوب المروية
2016,الوسلاتية,180.0,مساحة الحبوب المروية
2016,الشبيكة,4350.0,مساحة الحبوب المروية
2016,حفوز,75.0,مساحة الحبوب المروية
2016,العلا,20.0,مساحة الحبوب المروية
2016,حاجب العيون,140.0,مساحة الحبوب المروية
2016,عين جلولة,,مساحة الحبوب المروية
2016,نصرالله,3140.0,مساحة الحبوب المروية
2016,منزل المهيري,,مساحة الحبوب المروية
2016,بوحجلة,2500.0,مساحة الحبوب المروية
2016,الشراردة,150.0,مساحة الحبوب المروية
2016,المجمــوع,21360.0,مساحة الحبوب المروية
2017,القيروان الشمالية,1400.0,مساحة الحبوب المروية
2017,القيروان الجنوبية,4510.0,مساحة الحبوب المروية
2017,السبيخة,5455.0,مساحة الحبوب المروية
2017,الوسلاتية,175.0,مساحة الحبوب المروية
2017,الشبيكة,5050.0,مساحة الحبوب المروية
2017,حفوز,70.0,مساحة الحبوب المروية
2017,العلا,0.0,مساحة الحبوب المروية
2017,حاجب العيون,180.0,مساحة الحبوب المروية
2017,عين جلولة,,مساحة الحبوب المروية
2017,نصرالله,938.0,مساحة الحبوب المروية
2017,منزل المهيري,,مساحة الحبوب المروية
2017,بوحجلة,2500.0,مساحة الحبوب المروية
2017,الشراردة,102.0,مساحة الحبوب المروية
2017,المجمــوع,20380.0,مساحة الحبوب المروية
2018,القيروان الشمالية,1550.0,مساحة الحبوب المروية
2018,القيروان الجنوبية,5305.0,مساحة الحبوب المروية
2018,السبيخة,6760.0,مساحة الحبوب المروية
2018,الوسلاتية,190.0,مساحة الحبوب المروية
2018,الشبيكة,4600.0,مساحة الحبوب المروية
2018,حفوز,65.0,مساحة الحبوب المروية
2018,العلا,0.0,مساحة الحبوب المروية
2018,حاجب العيون,120.0,مساحة الحبوب المروية
2018,عين جلولة,,مساحة الحبوب المروية
2018,نصرالله,550.0,مساحة الحبوب المروية
2018,منزل المهيري,,مساحة الحبوب المروية
2018,بوحجلة,2450.0,مساحة الحبوب المروية
2018,الشراردة,140.0,مساحة الحبوب المروية
2018,المجمــوع,21730.0,مساحة الحبوب المروية
2019,القيروان الشمالية,1300.0,مساحة الحبوب المروية
2019,القيروان الجنوبية,6002.0,مساحة الحبوب المروية
2019,السبيخة,8540.0,مساحة الحبوب المروية
2019,الوسلاتية,280.0,مساحة الحبوب المروية
2019,الشبيكة,4530.0,مساحة الحبوب المروية
2019,حفوز,50.0,مساحة الحبوب المروية
2019,العلا,0.0,مساحة الحبوب المروية
2019,حاجب العيون,140.0,مساحة الحبوب المروية
2019,عين جلولة,,مساحة الحبوب المروية
2019,نصرالله,500.0,مساحة الحبوب المروية
2019,منزل المهيري,830.0,مساحة الحبوب المروية
2019,بوحجلة,2520.0,مساحة الحبوب المروية
2019,الشراردة,350.0,مساحة الحبوب المروية
2019,المجمــوع,25042.0,مساحة الحبوب المروية
2020,القيروان الشمالية,1650.0,مساحة الحبوب المروية
2020,القيروان الجنوبية,8400.0,مساحة الحبوب المروية
2020,السبيخة,6000.0,مساحة الحبوب المروية
2020,الوسلاتية,290.0,مساحة الحبوب المروية
2020,الشبيكة,4850.0,مساحة الحبوب المروية
2020,حفوز,80.0,مساحة الحبوب المروية
2020,العلا,0.0,مساحة الحبوب المروية
2020,حاجب العيون,160.0,مساحة الحبوب المروية
2020,عين جلولة,0.0,مساحة الحبوب المروية
2020,نصرالله,300.0,مساحة الحبوب المروية
2020,منزل المهيري,610.0,مساحة الحبوب المروية
2020,بوحجلة,2600.0,مساحة الحبوب المروية
2020,الشراردة,250.0,مساحة الحبوب المروية
2020,المجمــوع,25190.0,مساحة الحبوب المروية
2021,القيروان الشمالية,1700.0,مساحة الحبوب المروية
2021,القيروان الجنوبية,7300.0,مساحة الحبوب المروية
2021,السبيخة,9715.0,مساحة الحبوب المروية
2021,الوسلاتية,220.0,مساحة الحبوب المروية
2021,الشبيكة,4400.0,مساحة الحبوب المروية
2021,حفوز,75.0,مساحة الحبوب المروية
2021,العلا,0.0,مساحة الحبوب المروية
2021,حاجب العيون,140.0,مساحة الحبوب المروية
2021,عين جلولة,20.0,مساحة الحبوب المروية
2021,نصرالله,250.0,مساحة الحبوب المروية
2021,منزل المهيري,530.0,مساحة الحبوب المروية
2021,بوحجلة,2900.0,مساحة الحبوب المروية
2021,الشراردة,170.0,مساحة الحبوب المروية
2021,المجمــوع,27420.0,مساحة الحبوب المروية
2022,القيروان الشمالية,2000.0,مساحة الحبوب المروية
2022,القيروان الجنوبية,8003.0,مساحة الحبوب المروية
2022,السبيخة,6722.0,مساحة الحبوب المروية
2022,الوسلاتية,260.0,مساحة الحبوب المروية
2022,الشبيكة,4900.0,مساحة الحبوب المروية
2022,حفوز,60.0,مساحة الحبوب المروية
2022,العلا,0.0,مساحة الحبوب المروية
2022,حاجب العيون,130.0,مساحة الحبوب المروية
2022,عين جلولة,20.0,مساحة الحبوب المروية
2022,نصرالله,150.0,مساحة الحبوب المروية
2022,منزل المهيري,260.0,مساحة الحبوب المروية
2022,بوحجلة,2800.0,مساحة الحبوب المروية
2022,الشراردة,155.0,مساحة الحبوب المروية
2022,المجمــوع,25460.0,مساحة الحبوب المروية
2023,القيروان الشمالية,2230.0,مساحة الحبوب المروية
2023,القيروان الجنوبية,7840.0,مساحة الحبوب المروية
2023,السبيخة,7638.0,مساحة الحبوب المروية
2023,الوسلاتية,220.0,مساحة الحبوب المروية
2023,الشبيكة,4854.0,مساحة الحبوب المروية
