المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,feuille
القيروان الشمالية,951,973,1001.5,1001.5,1001.5,1162,1822,1841,1866,1876,مساحة الأشجار المثمرة السقوية
القيروان الجنوبية,1968,2009,2109.0,2109.0,2109.0,2426,2791,3554,3629,3842,مساحة الأشجار المثمرة السقوية
السبيخة,3347,3454,3588.5,3588.5,3588.5,4073,4376,4493,4639,4924,مساحة الأشجار المثمرة السقوية
الوسلاتية,894,998,999.0,999.0,999.0,1061,1313,1393,1456,1431,مساحة الأشجار المثمرة السقوية
الشبيكة,4102,4204,4325.0,4325.0,4325.0,4774,5049,5126,5186,5364,مساحة الأشجار المثمرة السقوية
حفوز,3137,3240,3271.5,3271.5,3271.5,3401,3695,3745,4034,4044,مساحة الأشجار المثمرة السقوية
العلا,121,190,190.0,190.0,190.0,202,206,215,220,220,مساحة الأشجار المثمرة السقوية
حاجب العيون,4047,4142,4142.0,4142.0,4142.0,4253,4310,4317,4072,4029,مساحة الأشجار المثمرة السقوية
نصرالله,1552,1619,1640.0,1640.0,1640.0,1699,1898,1950,1964,2584,مساحة الأشجار المثمرة السقوية
بوحجلة,1486,1555,1598.5,1598.5,1598.5,1690,1829,2053,2203,2590,مساحة الأشجار المثمرة السقوية
الشراردة,168,189,202.5,202.5,202.5,529,531,546,1164,1364,مساحة الأشجار المثمرة السقوية
المجمــوع,21773,22573,23067.5,24310.0,24310.0,25270,27820,29233,30433,32268,مساحة الأشجار المثمرة السقوية
