annee,delegation,superficie_pomme_de_terre_ha,production_pomme_de_terre_tonne,superficie_tomate_ha,production_tomate_tonne,superficie_piment_ha,production_piment_tonne,superficie_concombre_ha,production_concombre_tonne,superficie_courge_ha,production_courge_tonne,superficie_totale_ha,production_totale_tonne,feuille
2020,القيروان الشمالية,0,0,0,0,0,0,0,0,0,0,0.0,0.0,إنتاج الخضر الخريفية
2020,القيروان الجنوبية,80,1440,30,1200,0,0,0,0,0,0,110.0,2640.0,إنتاج الخضر الخريفية
2020,الشبيكة,20,360,250,10000,150,2100,10,300,0,0,430.0,12760.0,إنتاج الخضر الخريفية
2020,السبيخة,140,2520,50,2000,0,0,10,300,0,0,200.0,4820.0,إنتاج الخضر الخريفية
2020,حفوز,130,2340,80,3200,90,1260,5,150,3,60,308.0,7010.0,إنتاج الخضر الخريفية
2020,حاجب العيون,200,3600,0,0,0,0,0,0,0,0,200.0,3600.0,إنتاج الخضر الخريفية
2020,بوحجلة,80,1440,0,0,0,0,0,0,0,0,80.0,1440.0,إنتاج الخضر الخريفية
2020,نصرالله,10,180,10,400,0,0,0,0,0,0,20.0,580.0,إنتاج الخضر الخريفية
2020,الشراردة,950,17100,0,0,5,70,0,0,0,0,955.0,17170.0,إنتاج الخضر الخريفية
2020,الوسلاتية,0,0,0,0,5,70,5,150,2,40,12.0,260.0,إنتاج الخضر الخريفية
2020,العلا,0,0,0,0,0,0,0,0,0,0,0.0,0.0,إنتاج الخضر الخريفية
2020,المجموع,1610,28980,420,16800,250,3500,30,900,5,100,2315.0,50280.0,إنتاج الخضر الخريفية
2021,القيروان الشمالية,0,0,0,0,0,0,0,0,0,0,0.0,0.0,إنتاج الخضر الخريفية
2021,القيروان الجنوبية,30,540,0,0,0,0,0,0,0,0,30.0,540.0,إنتاج الخضر الخريفية
2021,الشبيكة,10,180,290,11600,200,2800,13,390,29,580,542.0,15560.0,إنتاج الخضر الخريفية
2021,السبيخة,110,1980,75,3000,0,0,40,1200,15,300,240.0,6480.0,إنتاج الخضر الخريفية
2021,حفوز,155,2790,90,3600,110,1540,4,120,2,40,361.0,8090.0,إنتاج الخضر الخريفية
2021,حاجب العيون,230,4140,0,0,0,0,0,0,0,0,230.0,4140.0,إنتاج الخضر الخريفية
