annee,ressources_en_eaux,ressources_mobilisables_millions_m3,ressources_mobilisees_millions_m3,taux_de_mobilisation,ressources_exploitees_millions_m3,taux_dexploitation,feuille
2023,السطحية,179.0,172.5,96,146.0,85,Feuil1
2023,الجوفية قليلة العمق,63.5,63.5,100,119.0,188,Feuil1
2023,الجوفية العميقة,89.8,85.0,95,110.0,121,Feuil1
2023,مجموع الموارد التقليدية,332.3,321.0,96,373.0,114,Feuil1
2023,مجموع الموارد غير التقليدية,12.0,5.44,45,1.69,31,Feuil1
2023,المجموع العام,344.3,326.4,95,374.7,115,Feuil1
2024,السطحية,179.0,172.5,96,146.0,85,Feuil1
2024,الجوفية قليلة العمق,63.5,63.5,100,119.0,188,Feuil1
2024,الجوفية العميقة,89.8,85.0,95,110.0,121,Feuil1
2024,مجموع الموارد التقليدية,332.3,321.0,96,373.0,114,Feuil1
2024,مجموع الموارد غير التقليدية,12.0,5.44,45,1.69,31,Feuil1
2024,المجموع العام,344.3,326.4,95,374.7,115,Feuil1
