annee,delegation,secteur,effectif,capacite_litre_par_jour,quantite_collectee_mille_litre_par_annee,quantite_transformee_mille_litre_par_annee,feuille
2022,القصرين الشمالية,خاص,1,20,5753.848,5687.951,Feuil2
2022,القصرين الجنوبية,خاص,1,22,2165.279,2149.198,Feuil2
2022,سبيطلة,خاص,2,36,3669.088,3687.552,Feuil2
2022,فريانة,خاص,1,15,2904.835,2878.996,Feuil2
2022,ماجل بلعباس,خاص,2,53,6253.463,6225.254,Feuil2
2022,القصرين الشمالية,عام,1,9,1442.862,1316.954,Feuil2
2023,القصرين الشمالية,خاص,1,22000,4122.0,4088.0,Feuil2
2023,القصرين الجنوبية,خاص,1,20000,1630.0,1581.0,Feuil2
2023,سبيطلة,خاص,2,36000,3584.0,3501.0,Feuil2
2023,فريانة,خاص,1,15000,3445.0,3408.0,Feuil2
2023,ماجل بلعباس,خاص,1,32000,4359.0,4344.0,Feuil2
2023,القصرين الشمالية,عام,1,4000,975.0,873.0,Feuil2
