annee,delegation,production_luzerne_tonne,superficie_luzerne_recoltee_ha,superficie_luzerne_ensemencee_ha,production_mais_fourragere_tonne,superficie_mais_fourragere_recoltee_ha,superficie_mais_fourragere_ensemencee_ha,production_sorgho_fourrager_tonne,superficie_sorgho_fourrager_recoltee_ha,superficie_sorgho_fourrager_ensemencee_ha,production_foin_davoine_tonne,superficie_foin_davoine_recoltee_ha,superficie_foin_davoine_ensemencee_ha,production_densillage_tonne,superficie_densillage_recoltee_ha,superficie_densillage_ensemencee_ha,production_fourrage_vert_tonne,superficie_fourrage_vert_recoltee_ha,superficie_fourrage_vert_ensemencee_ha,feuille
2022,Tela,225.0,5.0,5,0.0,0.0,0.0,0,0.0,0.0,5330.0,1550,1900.0,0.0,0.0,0.0,1450,100,150,Feuil2
2022,Foussena,5850.0,130.0,130,1750.0,50.0,50.0,800,20.0,20.0,7520.0,1010,1010.0,0.0,0.0,0.0,4000,200,250,Feuil2
2022,Sbitla,450.0,10.0,10,175.0,5.0,5.0,4000,100.0,100.0,1500.0,200,200.0,0.0,0.0,0.0,1800,150,250,Feuil2
2022,Ayoun,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,337.5,160,210.0,0.0,0.0,0.0,200,20,25,Feuil2
2022,Heidra,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,459.5,240,300.0,0.0,0.0,0.0,1180,70,75,Feuil2
2022,Jedliane,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,250.0,90,150.0,0.0,0.0,0.0,2700,160,200,Feuil2
2022,Kasserine Sud,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,93.75,25,25.0,0.0,0.0,0.0,950,50,60,Feuil2
2022,Feriana,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,62.5,10,10.0,0.0,0.0,0.0,950,50,50,Feuil2
2022,Sbiba,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,93.75,15,15.0,0.0,0.0,0.0,800,40,40,Feuil2
2022,Mejel,675.0,15.0,15,0.0,0.0,0.0,0,0.0,0.0,437.5,70,70.0,0.0,0.0,0.0,200,10,60,Feuil2
2022,Hassi Ferid,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,Feuil2
2022,Kasserine Nord,0.0,0.0,0,0.0,0.0,0.0,200,5.0,5.0,187.5,50,50.0,6625.0,265.0,265.0,1000,50,90,Feuil2
2023,Tela,10.0,10.0,450,,,,5,5.0,200.0,2100.0,160,660.0,,,,115,50,1000,Feuil2
2023,Foussena,50.0,50.0,2250,,,,10,10.0,400.0,1030.0,1020,6290.0,,,,0,0,0,Feuil2
2023,Sbitla,15.0,15.0,675,,,,72,72.0,2880.0,600.0,300,2250.0,,,,50,40,800,Feuil2
2023,Ayoun,,,0,,,,1,1.0,40.0,285.0,10,37.5,,,,0,0,0,Feuil2
2023,Heidra,,,0,,,,4,4.0,160.0,290.0,20,75.0,,,,10,0,0,Feuil2
2023,Jedliane,,,0,,,,4,4.0,160.0,170.0,5,15.0,,,,20,10,150,Feuil2
2023,Kasserine Sud,,,0,,,,12,12.0,480.0,40.0,20,75.0,,,,15,10,200,Feuil2
2023,Feriana,,,0,,,,7,7.0,280.0,195.0,120,450.0,,,,25,15,225,Feuil2
2023,Sbiba,,,0,,,,2,2.0,80.0,100.0,20,75.0,,,,15,10,200,Feuil2
2023,Mejel,15.0,15.0,675,,,,11,11.0,440.0,100.0,60,375.0,,,,10,10,150,Feuil2
2023,Hassi Ferid,5.0,5.0,225,,,,25,25.0,1000.0,50.0,50,150.0,,,,500,200,3000,Feuil2
2023,Kasserine Nord,30.0,30.0,1350,,,,27,27.0,1080.0,50.0,50,250.0,260.0,165.0,1980.0,70,50,1000,Feuil2
2024,Tela,450.0,10.0,10,0.0,0.0,0.0,280,7.0,7.0,1660.0,690,1250.0,0.0,0.0,0.0,1350,80,100,Feuil2
2024,Foussena,4500.0,100.0,100,0.0,0.0,0.0,360,9.0,9.0,7240.0,920,1020.0,0.0,0.0,0.0,1000,50,85,Feuil2
2024,Sbitla,1350.0,30.0,30,0.0,0.0,0.0,1600,40.0,40.0,2800.0,350,450.0,0.0,0.0,0.0,880,40,60,Feuil2
2024,Ayoun,0.0,0.0,0,0.0,0.0,0.0,240,6.0,6.0,37.5,15,15.0,0.0,0.0,0.0,100,5,5,Feuil2
2024,Heidra,450.0,10.0,10,0.0,0.0,0.0,200,5.0,5.0,312.5,50,100.0,0.0,0.0,0.0,840,40,60,Feuil2
2024,Jedliane,0.0,0.0,0,0.0,0.0,0.0,300,7.5,7.5,17.5,15,135.0,0.0,0.0,0.0,200,20,30,Feuil2
2024,Kasserine Sud,1125.0,25.0,25,0.0,0.0,0.0,1060,26.5,26.5,180.0,30,50.0,0.0,0.0,0.0,880,40,60,Feuil2
2024,Feriana,450.0,10.0,10,0.0,0.0,0.0,340,8.5,8.5,875.0,140,140.0,0.0,0.0,0.0,400,20,30,Feuil2
2024,Sbiba,0.0,0.0,0,0.0,0.0,0.0,300,7.5,7.5,500.0,100,120.0,0.0,0.0,0.0,0,0,0,Feuil2
2024,Mejel,1350.0,30.0,30,0.0,0.0,0.0,320,8.0,8.0,800.0,100,120.0,0.0,0.0,0.0,1100,50,50,Feuil2
2024,Hassi Ferid,0.0,0.0,0,0.0,0.0,0.0,420,10.5,10.5,312.5,50,50.0,0.0,0.0,0.0,1900,100,150,Feuil2
2024,Kasserine Nord,0.0,0.0,0,0.0,0.0,0.0,580,14.5,14.5,60.0,10,10.0,2400.0,150.0,150.0,950,50,75,Feuil2
