annee,delegation,cheptel_bovin_nombre_femelles_productive,cheptel_ovin_nombre_femelles_productives,cheptel_caprin_nombre_femelles_productives,feuille
2022,القصرين الشمالية,300,7000,800,Feuil1
2022,القصرين الجنوبية,300,37000,7000,Feuil1
2022,الزهور,0,500,600,Feuil1
2022,حاسي الفريد,850,44500,4200,Feuil1
2022,سبيطلة,1200,45500,8700,Feuil1
2022,سبيبة,230,30000,5200,Feuil1
2022,جدليان,230,9500,2700,Feuil1
2022,العيون,190,27500,4200,Feuil1
2022,تالة,350,37000,4200,Feuil1
2022,حيدرة,100,23500,5700,Feuil1
2022,فوسانة,400,43500,5700,Feuil1
2022,فريانة,850,47000,10000,Feuil1
2022,ماجل بلعباس,1200,45500,9000,Feuil1
2022,المجموع,6200,398000,68000,Feuil1
2023,القصرين الشمالية,300,6500,500,Feuil1
2023,القصرين الجنوبية,300,35000,5000,Feuil1
2023,الزهور,0,500,500,Feuil1
2023,حاسي الفريد,850,40500,3000,Feuil1
2023,سبيطلة,900,42000,8000,Feuil1
2023,سبيبة,230,28000,4000,Feuil1
2023,جدليان,230,9000,2000,Feuil1
2023,العيون,190,25500,3000,Feuil1
2023,تالة,350,35000,3000,Feuil1
2023,حيدرة,100,21500,5000,Feuil1
2023,فوسانة,400,40500,5000,Feuil1
2023,فريانة,850,44000,8000,Feuil1
2023,ماجل بلعباس,1000,42000,8000,Feuil1
2023,المجموع,5700,370000,55000,Feuil1
2024,القصرين الشمالية,250,6000,500,Feuil1
2024,القصرين الجنوبية,350,32000,4500,Feuil1
2024,الزهور,0,500,500,Feuil1
2024,حاسي الفريد,1000,37000,2500,Feuil1
2024,سبيطلة,1100,37000,7500,Feuil1
2024,سبيبة,240,24000,3700,Feuil1
2024,جدليان,230,8000,1800,Feuil1
2024,العيون,240,22000,2700,Feuil1
2024,تالة,400,32000,2500,Feuil1
2024,حيدرة,140,18000,4500,Feuil1
2024,فوسانة,400,34500,4500,Feuil1
2024,فريانة,900,41000,7300,Feuil1
2024,ماجل بلعباس,1000,38000,7500,Feuil1
2024,المجموع,6250,330000,50000,Feuil1
