annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,laits_1000_litres,feuille
2022,القصرين الشمالية,175,27.5,1837.5,Feuil1
2022,القصرين الجنوبية,608,38.0,876.0,Feuil1
2022,الزهور,10,20.3,122.5,Feuil1
2022,حاسي الفريد,563,46.2,1932.0,Feuil1
2022,سبيطلة,1082,184.0,4562.0,Feuil1
2022,سبيبة,384,89.0,471.0,Feuil1
2022,جدليان,222,30.0,245.0,Feuil1
2022,العيون,455,71.5,471.0,Feuil1
2022,تالة,758,59.0,1498.0,Feuil1
2022,حيدرة,290,35.0,367.5,Feuil1
2022,فوسانة,710,36.0,1847.0,Feuil1
2022,فريانة,725,40.0,2450.0,Feuil1
2022,ماجل بلعباس,1060,57.5,7821.0,Feuil1
2022,المجموع,7042,734.0,24500.5,Feuil1
2023,القصرين الشمالية,161,25.1,1836.0,Feuil1
2023,القصرين الجنوبية,558,34.7,875.2,Feuil1
2023,الزهور,9,18.5,122.5,Feuil1
2023,حاسي الفريد,517,42.2,1930.3,Feuil1
2023,سبيطلة,994,168.2,4558.2,Feuil1
2023,سبيبة,352,81.4,470.6,Feuil1
2023,جدليان,204,27.4,244.8,Feuil1
2023,العيون,418,65.5,470.6,Feuil1
2023,تالة,696,54.0,1496.7,Feuil1
2023,حيدرة,266,32.0,367.2,Feuil1
2023,فوسانة,652,33.0,1845.5,Feuil1
2023,فريانة,666,36.5,2447.9,Feuil1
2023,ماجل بلعباس,974,52.5,7814.5,Feuil1
2023,المجموع,6467,671.0,24480.000000000004,Feuil1
2024,القصرين الشمالية,140,23.2,1650.0,Feuil1
2024,القصرين الجنوبية,510,32.0,950.0,Feuil1
2024,الزهور,9,17.1,122.5,Feuil1
2024,حاسي الفريد,490,39.0,2100.0,Feuil1
2024,سبيطلة,950,155.5,5000.0,Feuil1
2024,سبيبة,300,75.3,480.0,Feuil1
2024,جدليان,190,25.3,240.0,Feuil1
2024,العيون,390,60.5,600.0,Feuil1
2024,تالة,630,50.0,1700.0,Feuil1
2024,حيدرة,211,29.6,470.0,Feuil1
2024,فوسانة,600,30.5,1845.5,Feuil1
2024,فريانة,620,33.3,2580.0,Feuil1
2024,ماجل بلعباس,920,48.6,7762.0,Feuil1
2024,المجموع,5960,620.0,25500.0,Feuil1
