annee,delegation,superficie_ensemencee_ble_dur_ha,superficie_recoltee_ble_dur_ha,production_ble_dur_quintaux,superficie_ensemence_orge_ha,superficie_recoltee_orge_ha,production_orge_quintaux,feuille
2022,Tela,8010,510,3200,15730,2600,22000,Feuil2
2022,Foussena,8250,700,28000,17170,2000,70000,Feuil2
2022,Sbeitla,900,0,0,3710,200,8000,Feuil2
2022,El Ayoun,4000,1000,6000,8050,2540,18500,Feuil2
2022,Heidra,3005,1005,7100,8135,2470,15450,Feuil2
2022,Jedliane,4015,465,3000,7530,2520,17800,Feuil2
2022,Kasserine Sud,505,5,100,2750,160,3200,Feuil2
2022,Feriana,500,0,0,1025,10,200,Feuil2
2022,Sbiba,1000,50,300,2500,100,600,Feuil2
2022,Mejel Bel Abbess,515,15,450,575,10,300,Feuil2
2022,Hassi Ferid,500,0,0,1150,70,1400,Feuil2
2022,Kasserine nord,100,0,0,375,20,400,Feuil2
2023,Tela,8105,105,3675,16460,150,3000,Feuil2
2023,Foussena,5275,750,30750,15250,1000,30000,Feuil2
2023,Sbeitla,325,125,5625,1150,150,5250,Feuil2
2023,El Ayoun,3530,3,90,7650,25,375,Feuil2
2023,Heidra,2510,10,300,8140,30,600,Feuil2
2023,Jedliane,3505,2,40,7060,15,250,Feuil2
2023,Kasserine Sud,55,5,150,675,100,2000,Feuil2
2023,Feriana,190,60,2400,410,5,100,Feuil2
2023,Sbiba,175,15,450,1015,5,100,Feuil2
2023,Mejel Bel Abbess,130,130,5200,1060,40,1200,Feuil2
2023,Hassi Ferid,100,80,2000,2200,0,0,Feuil2
2023,Kasserine nord,0,0,0,30,15,375,Feuil2
2024,Tela,7130,1130,10200,7020,1350,12450,Feuil2
2024,Foussena,2950,900,43200,5250,1500,52500,Feuil2
2024,Sbeitla,675,525,10150,690,350,6250,Feuil2
2024,El Ayoun,2040,840,4600,5060,560,3500,Feuil2
2024,Heidra,630,330,2010,2080,45,1575,Feuil2
2024,Jedliane,610,210,1100,1555,540,2720,Feuil2
2024,Kasserine Sud,135,135,5400,70,50,1700,Feuil2
2024,Feriana,185,185,7955,65,15,405,Feuil2
2024,Sbiba,10,5,150,20,10,200,Feuil2
2024,Mejel Bel Abbess,285,285,13680,90,50,1500,Feuil2
2024,Hassi Ferid,85,80,2560,100,20,500,Feuil2
2024,Kasserine nord,55,55,2255,10,10,300,Feuil2
2024,Total,14790,4680,103260,22010,4500,83600,Feuil2
