annee,delegation,effectif_de_smsa,nom_de_smsa,feuille
2022,ماجل بلعباس,9.0,ماجل بلعباس,Feuil1
2022,ماجل بلعباس,,التعاون- ماجل  بلعباس,Feuil1
2022,ماجل بلعباس,,الأمل -ماجل بلعباس,Feuil1
2022,ماجل بلعباس,,الانتاج ماجل بالعباس,Feuil1
2022,ماجل بلعباس,,الوفاق ماجل بالعباس,Feuil1
2022,ماجل بلعباس,,التيسير ماجل بالعباس,Feuil1
2022,ماجل بلعباس,,الامتياز ماجل بالعباس,Feuil1
2022,ماجل بلعباس,,العالمية العصرية ماجل بالعباس,Feuil1
2022,ماجل بلعباس,,الاخلاص  الفلاحي ماجل بلعباس,Feuil1
2022,العيون,1.0,هندي بيوالبرك العيون,Feuil1
2022,حاسي الفريد,2.0,الدخلة حاسي الفريد,Feuil1
2022,حاسي الفريد,,النور -الكامور -حاسي الفريد,Feuil1
2022,سبيطلة,6.0,الوفاء الشرايع سبيطلة,Feuil1
2022,سبيطلة,,تنمية المستغلات الفلاحية سبيطلة,Feuil1
2022,سبيطلة,,الاثار سبيطلة,Feuil1
2022,سبيطلة,,النجاح سبيطلة,Feuil1
2022,سبيطلة,,فيحاء,Feuil1
2022,سبيطلة,,الازدهار -  سبيطلة,Feuil1
2022,حيدرة,1.0,عين الدفلة حيدرة,Feuil1
2022,سبيبة,2.0,التحدي- سبيبة,Feuil1
2022,سبيبة,,الأمل سبيبة,Feuil1
2022,تالة,2.0,دار  الفلاح - تالة,Feuil1
2022,تالة,,الرحمة تالة,Feuil1
2022,فريانة,7.0,النور- أولاد إبراهيم- فريانة,Feuil1
2022,فريانة,,المروج فريانة,Feuil1
2022,فريانة,,النماء الفلاحي فريانة,Feuil1
2022,فريانة,,اليسر فريانة,Feuil1
2022,فريانة,,الثراء فريانة,Feuil1
2022,فريانة,,الجودة فريانة,Feuil1
2022,فوسانة,6.0,بودرياس فوسانة,Feuil1
2022,فوسانة,,الامتياز- عين جنان,Feuil1
2022,فوسانة,,زلفان فوسانة,Feuil1
2022,فوسانة,,الشعانبي فوسانة,Feuil1
2022,فوسانة,,زهرة  زلفا ن  فوسانة,Feuil1
2022,فوسانة,,الفلاحة الذكية خمودة,Feuil1
2022,القصرين,6.0,الإنطلاقة (الامل),Feuil1
2022,القصرين,,عين نوبة- القصرين  الجنوبية,Feuil1
2022,القصرين,,الفردوس القصرين الجنوبية,Feuil1
2022,القصرين,,الامان بولعابة القصرين الجنوبية,Feuil1
2022,القصرين,,مقدودش القصرين الجنوبية,Feuil1
2022,القصرين,,البستان -القصرين ج,Feuil1
2022,جدليان,1.0,المراعي بجدليان,Feuil1
