annee,delegation,pomme_de_terre_de_saison_production_tonne,pomme_de_terre_de_saison_superficie_ha,pomme_de_terre_arrierre_saison_production_tonne,pomme_de_terre_arrierre_saison_superficie_ha,carotte_production_tonne,carotte_superficie_ha,navet_production_tonne,navet_superficie_ha,feve_production_tonne,feve_superficie_ha,petit_pois_production_tonne,petit_pois_superficie_ha,oignon_production_tonne,oignon_superficie_ha,ail_production_tonne,ail_superficie_ha,divers_production_tonne,divers_superficie_ha,feuille
2023,Sbiba,,,150.0,10.0,300,15,300,15,300,30,5,5,250,10,100,10,100,20,Feuil1
2023,Foussena,,,4810.0,260.0,800,40,800,40,500,50,10,10,1000,40,400,40,225,45,Feuil1
2023,Sbeitla,,,7020.0,390.0,500,25,400,20,1000,100,5,5,3000,120,1100,110,200,40,Feuil1
2023,Feriana,,,0.0,0.0,80,4,100,5,50,5,2,2,50,2,50,5,25,5,Feuil1
2023,Elmejel,,,150.0,10.0,100,5,100,5,200,20,3,3,250,10,100,10,50,10,Feuil1
2023,Tela,,,0.0,0.0,100,5,100,5,30,3,5,5,375,15,150,15,100,20,Feuil1
2023,Kasserine_sud,,,0.0,0.0,300,15,200,10,100,10,5,5,125,5,50,5,75,15,Feuil1
2023,Heidra,,,0.0,0.0,60,3,60,3,20,2,0,0,75,3,0,0,10,2,Feuil1
2023,Kasserine_Nord,,,0.0,0.0,100,5,100,5,30,3,3,2,125,5,50,5,50,10,Feuil1
2023,Hassi_Ferid,,,0.0,0.0,100,5,100,5,100,10,2,3,250,10,40,4,25,5,Feuil1
2023,Jedliane,,,0.0,0.0,60,3,40,2,30,3,0,0,125,5,30,3,15,3,Feuil1
2023,Elayoun,,,0.0,0.0,100,5,100,5,40,4,0,0,125,5,30,3,25,5,Feuil1
2024,Sbiba,215.0,12.0,,,125,5,125,5,200,20,2,2,150,5,50,5,60,10,Feuil1
2024,Foussena,6300.0,315.0,,,500,20,250,10,400,40,4,4,600,20,300,30,150,25,Feuil1
2024,Sbeitla,9680.0,440.0,,,375,15,375,15,900,90,5,5,4500,150,1200,120,150,25,Feuil1
2024,Feriana,85.0,5.0,,,25,1,25,1,10,1,1,1,30,1,20,2,18,3,Feuil1
2024,Elmejel,100.0,6.0,,,50,2,75,3,150,15,2,2,60,2,100,10,60,10,Feuil1
2024,Tela,30.0,2.0,,,50,2,50,2,30,3,5,5,90,3,100,10,30,5,Feuil1
2024,Kasserine_sud,0.0,0.0,,,500,20,500,20,50,5,3,3,300,10,50,5,150,25,Feuil1
2024,Heidra,0.0,0.0,,,25,1,25,1,10,1,0,0,30,1,0,0,6,1,Feuil1
2024,Kasserine_Nord,0.0,0.0,,,125,5,75,3,30,3,1,1,60,2,20,2,30,5,Feuil1
2024,Hassi_Ferid,0.0,0.0,,,50,2,75,3,50,5,1,1,300,10,100,10,18,3,Feuil1
2024,Jedliane,0.0,0.0,,,50,2,50,2,20,2,1,1,60,2,20,2,18,3,Feuil1
2024,Elayoun,0.0,0.0,,,125,5,125,5,50,5,5,5,120,4,40,4,30,5,Feuil1
