annee,delegation,superficie_irriguee_public_ha,superficie_irriguee_privee_ha,superficie_irriguee_public_equipee_en_materiel_deconomie_deau_ha,superficie_irriguee_privee_equipee_en_materiel_deconomie_deau_ha,superficie_exploitable_public_ha,superficie_exploitable_privee_ha,superficie_exploitee_public_ha,superficie_exploitee_privee_ha,feuille
2022,Kasserine nord,397,0.0,90.0,0.0,397.0,0.0,368,0.0,Feuil2
2022,Kasserine sud,1903,4149.0,910.0,4010.0,1903.0,4149.0,982,4070.0,Feuil2
2022,Hassi Ferid,367,148.0,70.0,110.0,367.0,148.0,106,138.0,Feuil2
2022,Sbeitla,1078,6194.0,866.0,5976.0,1078.0,6194.0,921,6070.0,Feuil2
2022,Sbiba,2448,5665.0,1820.0,5251.0,2448.0,5665.0,2405,5330.0,Feuil2
2022,Jedliane,595,232.0,300.0,188.0,595.0,232.0,520,208.0,Feuil2
2022,El Ayoun,501,990.0,250.0,911.0,501.0,990.0,264,945.0,Feuil2
2022,Tela,457,1402.0,180.0,1255.0,457.0,1402.0,249,1320.0,Feuil2
2022,Heidra,215,645.0,40.0,568.0,215.0,645.0,63,593.0,Feuil2
2022,Foussena,665,9694.0,250.0,9362.0,665.0,9694.0,266,9496.0,Feuil2
2022,Feriana,1309,1732.0,870.0,1526.0,1309.0,1732.0,950,1680.0,Feuil2
2022,Mejel Belabbes,650,1412.0,548.0,1275.0,650.0,1412.0,567,1320.0,Feuil2
2022,Office des terres domaniales (OTD),1260,0.0,808.0,0.0,1260.0,0.0,957,0.0,Feuil2
2023,Kasserine nord,397,0.0,,,,,368,,Feuil2
2023,Kasserine sud,1903,4880.0,,,,,990,4562.0,Feuil2
2023,Hassi Ferid,419,230.0,,,,,126,216.0,Feuil2
2023,Sbeitla,1078,6220.0,,,,,927,6095.0,Feuil2
2023,Sbiba,2532,5565.0,,,,,2435,4985.0,Feuil2
2023,Jedliane,595,244.0,,,,,522,180.0,Feuil2
2023,El Ayoun,501,1196.0,,,,,268,1026.0,Feuil2
2023,Tela,457,1458.0,,,,,249,910.0,Feuil2
2023,Heidra,215,645.0,,,,,63,593.0,Feuil2
2023,Foussena,665,9773.0,,,,,270,8211.0,Feuil2
2023,Feriana,1309,1992.0,,,,,955,1710.0,Feuil2
2023,Mejel Belabbes,773,1442.0,,,,,627,1094.0,Feuil2
2023,Office des terres domaniales (OTD),1260,0.0,,,,,958,,Feuil2
2024,Kasserine nord,397,0.0,145.0,0.0,397.0,0.0,368,0.0,Feuil2
2024,Kasserine sud,1953,5040.0,1762.0,4284.0,1953.0,5040.0,1015,4706.0,Feuil2
2024,Hassi Ferid,419,250.0,225.0,212.0,419.0,250.0,126,234.0,Feuil2
2024,Sbeitla,1078,6230.0,452.0,5295.0,1078.0,6230.0,927,6103.0,Feuil2
2024,Sbiba,2532,5565.0,1127.0,4730.0,2532.0,5565.0,2435,4985.0,Feuil2
2024,Jedliane,595,254.0,70.0,170.0,595.0,595.0,522,187.0,Feuil2
2024,El Ayoun,554,1231.0,432.0,1046.0,554.0,554.0,292,1055.0,Feuil2
2024,Tela,457,1483.0,197.0,1260.0,457.0,457.0,249,925.0,Feuil2
2024,Heidra,215,650.0,75.0,552.0,215.0,215.0,63,597.0,Feuil2
2024,Foussena,665,9818.0,432.0,8345.0,665.0,665.0,270,8245.0,Feuil2
2024,Feriana,1372,2022.0,1023.0,1860.0,1372.0,1372.0,998,1737.0,Feuil2
2024,Mejel Belabbes,773,1442.0,463.0,1297.0,773.0,773.0,627,1094.0,Feuil2
2024,Office des terres domaniales (OTD),1260,,808.0,,1260.0,,958,,Feuil2
